tid,artist,category,genre,id,title,tracks,year
0,backstreet boys,blues,pop,10000,millennium,larger than life i want it that way show me the meaning of being lonely it s gotta be you i need you tonight don t want you back don t wanna lose you now the one back to your heart spanish eyes no one else comes close the perfect fan i ll be there for you ,
1,various,data,,100001,frankfurt trance vol 04 cd1,dj tom stevens vs fridge outface 2000 radio mix alice deejay better off alone signum remix tillmann uhrmacher feat peter ries bassfly original mix dj 2 l 8 too late time square invisible girl future breeze remix cirillo across the soundline dj leon jam x hold it sean dexter synthetica extended mix dj bjã rn on a mission original mix 8voice music hypnotizes 2000 alex apollo jahr 2000 headroom utopia radio mix ,
2,no return,data,data,100002,self mutilation,do or die truth and reality lost soul extractor sadistic desire the true way fanatic mind individualistic ideal one life trail of blood sect ,
3,ã â â ã â ã â ºâ ã â å ,data,pop,100003,ã æ â³ã â žã â âºã â ã â ¹ã â ã â šâ ,ã â ºâ ã â â ã â šå ã â žã â ã â ¹ã â â ã â ã â¼å ã â ã å ã âªã â šâ ã â â ã â ã âªã â žã â â ã å ã â ã å ã â ã å ã â žã â ž ã âµã â šå ã â šã â ž ã â šã â š ã â ã ëœâ ã â âºã å ã â ã â ã â â ã â â½ã â žã â â ã å å¾ã â â ã â ã â ã â šâ ã â žã â â šã â â ã â å ã â å ã ë â ã â å ã â šã âªã å ã â šâ ã â žâ ºã â ã â šâ ¹ã â ã â ã ëœâ ã â²â ã â ,1989
5,ã å â ã â ºâ ã â ºâ ºã â â ,data,musical,100005,catsã â â ã â šâªã æ âªã â šâ ã æ å ã æ â ã â½â ã â šâ ã æ â ã â šâ¹ã æ ë ,ã æ â ã æ â ã æ âªã æ â¼ ã â šâªã æ â¼ã æ â ã â šâ ã æ ã æ â ã â šâ ã â šâ ã â šâ ã æ âªã â šâ ã æ â ã â šâ½ã æ â³ã â šâ ã æ ã æ â¼ã æ å ã æ â³ã â šâ ã æ â ã â šâªã æ â ã æ â ã â šâ ã æ â ã æ æ ã æ â ž ã ë â ã å â ã â ã ã â šâ ã â šâ ã æ â ¹ã â šâ ã æ â ¹ã æ â ã æ æ ã æ â ž ã ë â ã å ã â ã â ã â šâ œã å â ã æ â ã æ â ã æ â ã â šâ ã æ â ã æ â ã â šâ ã â šâ ã æ â¼ ã ë â ã â ã â ã â ã â šå ã å â ã â šâ ã æ âªã â šâ ã æ â ã æ â ã ë â ã â â¼ã â â ã å â ã æ ã â šâ¹ã æ ë ã æ â ã â šâ ã æ â¼ã â šâ ã æ â ã æ â¼ã æ â³ã â šâº ã ë â ã â â ã âºâºã â â ã â¼å ã æ å¾ã æ â³ã â šâ ã â šâ ã â šâ ã æ âªã æ â¼ã â ã æ â ã æ â³ã æ å ã æ â ã æ â ã â šâ ã æ â¼ã â šâ ã ë â ã â ã â³â ã â â ã æ â ã æ â ã æ ë ã æ â ã æ å½ã æ å ã æ â¼ ã ë â ã â â ã â ã å â ã â šâ ã â šâ ã æ âªã â šâ ã æ â ã ë å¾ã â ã â¼å ã æ â ã æ â ã æ âªã æ â¼ ,
6,luv lite massive,data,electronic,100006,one love,temple of dehli from naw till a mornin shock afghani lick you bad freestyle fiki fuko i m here yeah ww5 one love ,
8,dmbq,data,rock,100008,dmbq,small hours rock a cola ohh baby teenage limbo little leaf i movement little leaf ii swell little leaf iii etude sayonara no season altered rock can peace migrate to midnight e means eternal data track ,2002
10,various,data,,100010,frankfurt trance vol 05 cd1,dj tom stevens violet steam single cut liquid child diving faces original mix vimana we came edit lac terra after dark fridge vs vectrex remix steve baltes thoughts original mix star party i m in love ferry corsten robert smit rmx gate iv give all you got radio edit dj stigma baby sunshine stig s original club mix synchronic minds all i need club mix astral inc remember green court edit x trance friends 2000 tom stevens rmx ravelab send me an angel club mix ,
12,rumania montevideo,data,pop,100012,mo better tracks,i ll be with you hard rain free tender rain rain sleeper life style taxi take my pain away my life album version all by myself start all over again album version ,
13,modern talking,data,pop,100014,univers,tv makes the superstar iâ m no rockefeller mystery eyerybody needs somebody heart of an angel who will be there knocking on my door should i would i could i blackbird life is so short nothing but the truth superstar ,1997
14,keedy,data,data,100015,chase the clouds,save some love wishing on the same star never neverland sorry only your heart gettin around don t turn away pretty boy mama lazy day save some love hot remix ,
15, ,data,rock,100016,subway express, ,
17,bill evans,data,,100019,alone,here s that rainy day a time for love midnight mood on a clear day you can see forever never let me go the two lonely people aka the man and the woman here s that rainy day alternative take a time for love alternative take midnight mood alternative take on a clear day you can see forever alternative take never let me go alternative take medley all the things you are midnight mood ,1968
18,nature destroyed,data,,100020,shades,enter the realm dream of fear word of trust unforeseen desire shades bound imprisoned cold vengeance disease leaving the shadow ,
19,pearl jam,data,hard rock,100021,yield,brain of j faithfull no way given to fly wishlist pilate do the evolution untitled mfc low light in hiding push me pull me all those yesterdays ,1998
20,dingdong avanzado,data,,100022,the best of dingdong avanzado,ikaw lamang tatlong beinte singko maghihintay sa yo makapiling ka sana break kung break love at first sight basta t kasama kita paano sasabihin here i am i think i love you bakit hangang ngayon say amen ,
22,variousce italiennes disc 1 ,data,,100025,la dolce vita les tubes dance italiens les chansons dance italiennes disc 1 ,boys summertime love sabrina one for you one for me la bionda i m a lover andrea dolce vita ryan paris tarzan boy jungle boy masterpiece gazebo comanchero moon ray don t cry tonight savage disco band scotch around my dream silver pozzoli future brain den harrow b project pink project ,
26,bernadã te bidã ude,data,data,100029,pomme d amour,ouverture margot les paroles gelã es le banquet belle d un bord adã le trente six pã pins la quãªte d adã le ambroise le pommier extraordinaire la quãªte d ambroise retour en gã tine ,
27,ã â â ã â ã â â¾ã âµ,data,jpop,100030,disc13 ã å â ã â ã â ¹ã â šå ,ã å â ã â â ã â â ã â â ã â â½ã â ã â šã å ã â šâ ¹ã â šã â œ ã â šâ²ã â ëœã å â ã â â ã â š ã â ã å ã å â ã â ã â žã â¾å ã â â ã â šâ ã â šâ ã â šâ ã æ â³ã â šâ ã æ â ã â â ºã â â ã â ã å ã â šå ã â â ¹ ã â â ¹ã â å ã â šã â¾ã â šå ã â šå ã â ã æ â ã æ â ã â šâ ã æ â ã æ â ã æ â ã æ â¼ 1 2 3 ã å â ã â¾å ã â ã â ã â â ã â â ,2003
