theta,delta,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
0.5,1,83,1.00,0.83,152,32,184,0,5,45,0.00041622642717638396,0.8666666666666667,0.0008320532514080901,0.000308546744831842,0.9411764705882353,0.0006168912536386945
0.5,0.6,87,1.00,0.83,152,32,184,0,5,45,0.000462353736173845,0.8666666666666667,0.0009242144177449168,0.0003655972945800201,0.9411764705882353,0.0007309106690116718
0.5,0.4,68,1.00,0.83,152,32,184,0,5,45,0.000462353736173845,0.8666666666666667,0.0009242144177449168,0.0003655972945800201,0.9411764705882353,0.0007309106690116718
0.5,0.25,83,1.00,0.83,152,32,184,0,5,45,0.000462353736173845,0.8666666666666667,0.0009242144177449168,0.00036561400301631555,0.9411764705882353,0.0007309440599374131
0.5,0.2,74,1.00,0.83,152,32,184,0,5,45,0.0004297378599054577,0.8666666666666667,0.0008590497588052601,0.00031382394476698575,0.9411764705882353,0.0006274386776729869
0.5,0.15,79,1.00,0.83,152,32,184,0,5,45,0.00040030792917628943,0.8666666666666667,0.0008002462296091104,0.0002978961087320797,0.9411764705882353,0.0005956037001879873
0.5,0.1,76,1.00,0.83,152,32,184,0,5,45,0.00040030792917628943,0.8666666666666667,0.0008002462296091104,0.0002979072019066061,0.9411764705882353,0.0005956258724988368
1,1,68,0.99,0.87,160,24,183,1,4,34,0.0004056589422443081,0.9696969696969697,0.0008109786231103565,0.00024404380586315243,0.9411764705882353,0.000487961085103463
1,0.6,67,0.99,0.87,160,24,183,1,4,34,0.0004056589422443081,0.9696969696969697,0.0008109786231103565,0.00024404380586315243,0.9411764705882353,0.000487961085103463
1,0.4,60,0.99,0.87,160,24,183,1,4,34,0.00039478878799842083,0.9696969696969697,0.0007892562493063178,0.00022342624141205385,0.9411764705882353,0.00044674642951877036
1,0.25,60,0.99,0.87,160,24,183,1,4,34,0.0003684852951336911,0.9696969696969697,0.0007366906474820144,0.0001989406410862159,0.9411764705882353,0.0003977971980159865
1,0.2,57,0.99,0.87,160,24,183,1,4,34,0.0003684852951336911,0.9696969696969697,0.0007366906474820144,0.0001989406410862159,0.9411764705882353,0.0003977971980159865
1,0.15,65,0.99,0.87,160,24,183,1,4,34,0.0003712296983758701,0.9696969696969697,0.0007421752693284473,0.00021081479919890376,0.9411764705882353,0.0004215351784279372
1,0.1,67,0.99,0.87,160,24,183,1,4,34,0.0003917727717923604,0.9696969696969697,0.0007832291067516796,0.0002104930800399937,0.9411764705882353,0.0004208920280419314
1.5,1,68,0.98,0.91,167,17,181,3,4,34,0.0001926782273603083,0.9696969696969697,0.00038527989982722606,9.964749697943524,0.9411764705882353,0.00019927389574238866
