sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,9,0.98,0.93,1275,101,1352,24,2,14,0.23344284973197302,0.9642857142857143,0.3758875121815397
1,2,9,0.99,0.93,922,71,980,13,2,14,0.2172272870166614,0.9759887005649718,0.35536127539213164
1,3,10,0.99,0.92,1223,101,1306,18,2,14,0.6770126091173618,0.9810260014054814,0.8011477761836441
1,4,9,0.98,0.92,1015,85,1080,20,2,14,0.23344284973197302,0.9642857142857143,0.3758875121815397
1,5,9,0.99,0.92,833,69,894,8,1,7,0.9019607843137255,0.9583333333333334,0.9292929292929293
2,1,9,0.98,0.92,923,78,985,16,2,14,0.258452461992285,1.0,0.4107464839523981
2,2,9,0.96,0.50,626,630,1232,24,2,14,0.05446789893907908,0.9330210772833724,0.10292711912573953
2,3,9,0.99,0.91,1176,115,1280,11,1,7,0.9151670951156813,0.9678296329859538,0.9407619467077737
2,4,9,0.99,0.90,881,101,974,8,2,14,0.47912087912087914,0.978017048003589,0.6431627083640655
2,5,8,0.99,0.87,922,141,1058,5,2,14,0.8064759036144579,0.9692307692307692,0.8803945745992602
3,1,9,0.98,0.48,544,579,1114,9,2,14,0.08686418179887438,0.9429394812680115,0.15907433516456806
3,2,9,0.99,0.91,1059,110,1158,11,1,7,0.9277238403451996,0.967923466516601,0.9473974111814927
3,3,9,0.98,0.98,996,21,998,19,3,21,0.12971386647101982,0.9816768461965575,0.22914911541701774
3,4,9,0.99,0.96,1091,50,1131,10,2,14,0.3121367521367521,0.9978142076502732,0.4755208333333333
3,5,10,0.97,0.93,929,70,972,27,3,21,0.056656346749226004,0.9989082969432315,0.10723075120121879
4,1,9,0.99,0.96,681,27,702,6,3,21,0.0865984978734956,0.9608433734939759,0.1588777288951606
4,2,9,0.99,0.96,951,37,980,8,2,14,0.42369121561668144,0.9597989949748744,0.587873191751308
4,3,8,0.99,0.91,788,79,860,7,2,14,0.4942583732057416,0.9990328820116054,0.6613316261203586
4,4,9,0.98,0.98,1020,17,1012,25,3,21,0.06919374247894103,1.0,0.12943162633652222
4,5,9,0.99,0.87,789,116,897,8,2,14,0.37436299490395925,0.9597989949748744,0.5386350817822899
5,1,9,0.99,0.95,918,53,959,12,2,14,0.1379880452753402,0.9730941704035875,0.24170193807083984
5,2,11,0.99,0.91,1207,126,1324,9,1,7,0.8121632024634334,0.9590909090909091,0.8795331388078366
5,3,9,0.98,0.56,556,437,981,12,2,14,0.07006614860959476,0.9758497316636852,0.1307448019653664
5,4,9,0.99,0.85,825,151,965,11,1,7,0.8121632024634334,0.9590909090909091,0.8795331388078366
5,5,9,1.00,0.87,882,133,1012,3,1,7,0.8121632024634334,0.9590909090909091,0.8795331388078366
