sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,9,0.99,0.91,1259,117,1360,16,2,14,0.3721567552754179,0.9672364672364673,0.5375024737779537
1,2,9,0.99,0.92,918,75,982,11,2,14,0.3721567552754179,0.9672364672364673,0.5375024737779537
1,3,9,0.98,0.94,1250,74,1304,20,2,14,0.363317464294663,1.0,0.5329902591435398
1,4,9,0.98,0.92,1015,85,1080,20,2,14,0.23344284973197302,0.9642857142857143,0.3758875121815397
1,5,8,0.99,0.92,833,69,894,8,1,7,0.9019607843137255,0.9583333333333334,0.9292929292929293
2,1,9,0.98,0.92,923,78,985,16,2,14,0.258452461992285,1.0,0.4107464839523981
2,2,9,0.96,0.50,626,630,1232,24,2,14,0.05446789893907908,0.9330210772833724,0.10292711912573953
2,3,9,0.99,0.91,1176,115,1280,11,1,7,0.9151670951156813,0.9678296329859538,0.9407619467077737
2,4,8,0.99,0.95,937,45,973,9,2,14,0.258452461992285,1.0,0.4107464839523981
2,5,9,0.98,0.89,941,122,1046,17,2,14,0.1200939282120094,0.9706281066425666,0.21374197721279664
3,1,9,0.98,0.48,544,579,1114,9,2,14,0.08686418179887438,0.9429394812680115,0.15907433516456806
3,2,9,0.99,0.91,1059,110,1158,11,1,7,0.9277238403451996,0.967923466516601,0.9473974111814927
3,3,9,0.98,0.98,996,21,998,19,3,21,0.12971386647101982,0.9816768461965575,0.22914911541701774
3,4,9,0.99,0.94,1068,73,1134,7,2,14,0.5300613496932516,0.970241437394722,0.685578258282087
3,5,9,0.97,0.90,895,104,976,23,3,21,0.15681371673513128,0.9782729805013928,0.27029939198029707
4,1,9,0.99,0.62,442,266,702,6,3,21,0.04432849563730434,0.9882697947214076,0.0848510281158204
4,2,9,0.99,0.96,950,38,981,7,2,14,0.37436299490395925,0.9597989949748744,0.5386350817822899
4,3,9,0.98,0.93,803,64,854,13,2,14,0.1269735969218522,0.9608433734939759,0.22430563693894295
4,4,8,0.98,0.98,1020,17,1012,25,3,21,0.06919374247894103,1.0,0.12943162633652222
4,5,8,0.99,0.91,823,82,898,7,2,14,0.6834437086092715,0.9985486211901307,0.8114802437586004
5,1,9,0.99,0.95,918,53,959,12,2,14,0.13388450148075023,0.9730941704035875,0.23538344722854973
5,2,11,0.99,0.91,1207,126,1324,9,1,7,0.8121632024634334,0.9590909090909091,0.8795331388078366
5,3,9,0.99,0.89,882,111,983,10,2,14,0.13388450148075023,0.9730941704035875,0.23538344722854973
5,4,8,0.99,0.85,825,151,965,11,1,7,0.8121632024634334,0.9590909090909091,0.8795331388078366
5,5,9,1.00,0.87,882,133,1012,3,1,7,0.8121632024634334,0.9590909090909091,0.8795331388078366
