sample,sub_sample,test_precision,test_recall,test_f1
1,1,0.907185628742515,0.9105935386927122,0.9088863892013497
1,2,0.8938053097345132,0.9105935386927122,0.9021213248976554
1,3,0.907185628742515,0.9105935386927122,0.9088863892013497
1,4,0.8938053097345132,0.9105935386927122,0.9021213248976554
2,1,0.9259645464025026,0.8761716822890971,0.9003802281368821
2,2,0.8478468899521531,0.8750617283950617,0.861239368165249
2,3,0.8485139022051774,0.8745059288537549,0.8613138686131387
2,4,0.8894472361809045,0.8745059288537549,0.8819133034379671
3,1,0.8933500627352572,0.8741559238796808,0.8836487744337572
3,2,0.8518518518518519,0.8748466257668711,0.8631961259079903
3,3,0.8933500627352572,0.8741559238796808,0.8836487744337572
3,4,0.8933500627352572,0.8741559238796808,0.8836487744337572
4,1,0.7521663778162911,0.9122438255386233,0.8245072429351697
4,2,0.7406143344709898,0.9122438255386233,0.8175182481751826
4,3,0.7406143344709898,0.9122438255386233,0.8175182481751826
4,4,0.7406143344709898,0.9122438255386233,0.8175182481751826
5,1,0.851593625498008,0.855,0.8532934131736527
5,2,0.8284883720930233,0.855,0.8415354330708662
5,3,0.8288201160541586,0.8561438561438561,0.8422604422604423
5,4,0.8288201160541586,0.8561438561438561,0.8422604422604423
