theta,delta,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
0.5,1,328,0.85,0.17,2882,14106,16479,509,,341,0.21035386631716907,0.41392649903288203,0.2789485118401043,0.24511002444987776,0.5584958217270195,0.340696686491079
0.5,0.6,320,0.85,0.17,2882,14106,16481,507,,341,0.22016460905349794,0.41392649903288203,0.2874412357286769,0.24215809284818068,0.5432793807178043,0.33499674549793884
0.5,0.4,325,0.85,0.17,2882,14106,16481,507,,341,0.22016460905349794,0.41392649903288203,0.2874412357286769,0.24215809284818068,0.5432793807178043,0.33499674549793884
0.5,0.25,309,0.86,0.14,2417,14571,16602,386,,170,0.7815126050420168,0.3697813121272366,0.5020242914979757,0.4659248956884562,0.48905109489051096,0.4772079772079772
0.5,0.2,319,0.87,0.13,2143,14845,16676,312,,112,0.9130434782608695,0.2916666666666667,0.4421052631578948,0.8649350649350649,0.4868421052631579,0.6230121608980355
0.5,0.15,223,0.90,0.02,412,16576,16940,48,,36,1.0,0.046068308181096106,0.08807896735003795,1.0,0.10786106032906764,0.19471947194719472
0.5,0.1,248,0.91,0.01,105,16883,16978,10,,11,1.0,0.009708737864077669,0.01923076923076923,1.0,0.015340364333652923,0.03021718602455146
1,1,378,0.84,0.30,5170,11818,16013,975,,290,0.09840333217632767,0.6310517529215359,0.17025748817656333,0.10639175257731959,0.6653771760154739,0.18345035996800285
1,0.6,399,0.84,0.30,5170,11818,16015,973,,290,0.1674542232722977,0.6310517529215359,0.26467499124752014,0.10639175257731959,0.6653771760154739,0.18345035996800285
1,0.4,398,0.84,0.30,5170,11818,16015,973,,290,0.1674542232722977,0.6310517529215359,0.26467499124752014,0.10639175257731959,0.6653771760154739,0.18345035996800285
1,0.25,427,0.88,0.28,4799,12189,16321,667,,211,0.6013513513513513,0.6054421768707483,0.6033898305084745,0.42628774422735344,0.6336633663366337,0.5096894080169896
