idDBLP,idScholar
conf/sigmod/AbadiC02,f2Lea-RN8dsJ
conf/sigmod/AggarwalWY99,wjKnsQWl5ZoJ
conf/sigmod/AgichteinGV01,z8s4kW1y7LMJ
conf/sigmod/ChakrabartiM99,Jg81WYtxtZoJ
conf/sigmod/ChandrasekaranCDFHHKMRS03,MNuT46WJZaQJ
conf/sigmod/ChaudhuriD97,D7w6TQwatE0J
conf/sigmod/ChaudhuriD97,gY652XXjHB8J
conf/sigmod/DeligiannakisR03,zMgbS5u_GwYJ
conf/sigmod/DewanSHH94,GUdXGx4blW8J
conf/sigmod/DogacHKOONDMAKE96,_4ARkdpRArQJ
conf/sigmod/DogacHKOONDMAKE96,SYV3r4_a5EsJ
conf/sigmod/FegarasM95,LSWVPfB8TC4J
conf/sigmod/FegarasM95,ykGQlI-IaJkJ
conf/sigmod/FukudaMMT96a,fSKep047pbgJ
conf/sigmod/FukudaMMT96a,WOCgxlV_LgoJ
conf/sigmod/GaoW02,PZTESZecfnQJ
conf/sigmod/GeorgeH97,Ah9B3bWU0jEJ
conf/sigmod/GotoK03,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D872837%26type%3Dpdf%26dl%3Dportal%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222
conf/sigmod/GrayHOS96,_EUlTfqD0q0J
conf/sigmod/GrayHOS96,5cw83MyqYrMJ
conf/sigmod/GrayHOS96,jH3KeKroDfQJ
conf/sigmod/GreenwaldK01,8but_7FuryIJ
conf/sigmod/HanPY00,l4SlX8_cAeQJ
conf/sigmod/HanWDPW02,nwWpGh3Mx7MJ
conf/sigmod/IpeirotisGS01,bo7ArXlXypQJ
conf/sigmod/Ivinskis95,9FaaDi_zGnEJ
conf/sigmod/Jagadish94,eH69_dCm18wJ
conf/sigmod/JajodiaSSB97,s3CWa_4OiW0J
conf/sigmod/KornackerSH98,08hpWyqMTqAJ
conf/sigmod/MogiK96,ybgxHuCAS_8J
conf/sigmod/Mohan96,14cgU3tAHtgJ
conf/sigmod/Mohan96,f9JfEpe5a24J
conf/sigmod/Mylopoulos98,2R-2i60g4MsJ
conf/sigmod/NgWY01,TShyzmLNvtoJ
conf/sigmod/QuassW97,9nkD3JyhE1kJ
conf/sigmod/QuassW97,TfIJHxpZeJIJ
conf/sigmod/RafieiM97,IlN1Z8UC688J
conf/sigmod/SelfridgeSW96,V2Wysmw3ti4J
conf/sigmod/SzalayGKT00,1kKap3JyndkJ
conf/sigmod/SzalayGKT00,4yvrgPBJUBYJ
conf/sigmod/SzalayGKT00,YVCi81Vp9KAJ
conf/sigmod/SzalayGKT00,zxOI0ZD8jeIJ
conf/sigmod/TheodoulidisAACKS94,JFOg1ntEUvMJ
conf/vldb/AgarwalADGNRS96,OMzQ1Ah1IVQJ
conf/vldb/AggarwalHWY03,yFMUnqONfGwJ
conf/vldb/AgrawalPWZ95,mB8W6em6zi8J
conf/vldb/AgrawalS94,551mHiCJRjoJ
conf/vldb/AgrawalS94,e5SJ3zgdwgEJ
conf/vldb/AgrawalS94,XzSqN32OqgMJ
conf/vldb/Amer-YahiaCD98,W0L9nOcuhmIJ
conf/vldb/AmsalegFG95,-9bXTTM_M4cJ
conf/vldb/BettiniJWW02,tFuA828CptUJ
conf/vldb/BohannonGKNS02,9BuBq-Tj0TUJ
conf/vldb/ChakrabartiDAR97,zuIhKVPjN_IJ
conf/vldb/ChakrabartiRS02,idfox84uNHUJ
conf/vldb/ChangG97,bZlpjMDZD5UJ
conf/vldb/ChangG97,wDrwjYtI4uEJ
conf/vldb/ChatziantoniouR96,46FVYbhr0WoJ
conf/vldb/DillKMRST01,_dtqcPU4NdkJ
conf/vldb/FlodinR95,WmtiDGY_BdoJ
conf/vldb/FlorescuHKLRWCSA03,1KSfxI44iGUJ
conf/vldb/GarofalakisG01,rcSfDxBif40J
conf/vldb/GoldmanSVG98,b3H6Yt4f7hAJ
conf/vldb/HvasshovdTBH95,LVitsyrkl9AJ
conf/vldb/IpeirotisG02,3CSFFlEVviMJ
conf/vldb/KamelF94,Gr7nw0PAH1sJ
conf/vldb/KnorrN98,oCPpSbHhL3IJ
conf/vldb/LakshmiZ98,3XwLBVHUBvAJ
conf/vldb/LevyRO96,bbeft23FHAkJ
conf/vldb/LevyRO96,biHvq8aD3_QJ
conf/vldb/LuSL95,AvfsXnSTA24J
conf/vldb/LuSL95,h7_7SZrI7M0J
conf/vldb/NaumannLF99,gvua8jbnHPkJ
conf/vldb/NaumannLF99,spErtT_VfeEJ
conf/vldb/OuzzaniAB94,CgoUJ7DogcwJ
conf/vldb/PapadimitriouBF03,pAvCmcv_-lMJ
conf/vldb/PereiraFLS00,e60hJN21ZO0J
conf/vldb/PolyzotisG02,krAZ7iDMEOQJ
conf/vldb/RaoR99,N8XkcmIO0ysJ
conf/vldb/RastogiS98,yztQfwBZU6EJ
conf/vldb/SavasereON95,c4m40zywvWsJ
conf/vldb/SavasereON95,r-BkIPtpff4J
conf/vldb/SavasereON95,y1hmJODjq7UJ
conf/vldb/Schoning03,4NM5WR1WtPcJ
conf/vldb/SeligmanBNSW95,T6a86CQCuHoJ
conf/vldb/SimonD95,lLARMvKaIQMJ
conf/vldb/SrikantA95,nPkMLSiC3JQJ
conf/vldb/TorloneA03,v6kudD3ItEoJ
conf/vldb/Tygar98,lWMzZgqNlSEJ
conf/vldb/Tygar98,Q8cPIOWKZZ4J
conf/vldb/VenkataramanZ98,RGh6Gep4ym8J
conf/vldb/YanA94,8j5i7YJQnNAJ
journals/sigmod/AtkinsonDJPS96,5tuINV43CDUJ
journals/sigmod/BestavrosLS96,RalvsjDuKzsJ
journals/sigmod/BoscMP01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D959085%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222
journals/sigmod/CaplinskasEV02,Axu6UlX-pPYJ
journals/sigmod/ChienTZ01,cjBpI3TcSWsJ
journals/sigmod/EisenbergM99,Ciq01lHglkAJ
journals/sigmod/FrankGGJKLMNPSSSTW99,ERqqWPMwU2sJ
journals/sigmod/FreemanG96,RzHjAQK7XTsJ
journals/sigmod/GruenwaldBDGSSV99,url:http://portal.acm.org/citation.cfm%3Fid%3D333607.333616%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222
journals/sigmod/LeeC00,Knzz_bkGA00J
journals/sigmod/ONeilG95,51gKshu0CWcJ
journals/sigmod/OukselS99,S-LYnzS1K70J
journals/sigmod/RashidS00,e0GH54HirssJ
journals/sigmod/RosenthalS99,ZYnsLI6mz2cJ
