sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,37,1.00,0.66,812,421,1230,2,3,27,0.9612903225806452,0.7602040816326531,0.8490028490028491
1,2,34,0.99,0.64,793,452,1233,11,5,45,0.896969696969697,0.7570332480818415,0.8210818307905686
1,3,32,1.00,0.68,813,387,1196,4,4,36,0.8895348837209303,0.7727272727272727,0.827027027027027
2,1,34,1.00,0.68,880,418,1292,4,5,45,0.8797814207650273,0.8277634961439588,0.8529801324503312
2,2,37,1.00,0.65,811,434,1242,2,4,36,0.8797814207650273,0.8277634961439588,0.8529801324503312
2,3,34,1.00,0.66,802,414,1214,2,5,45,0.8797814207650273,0.8277634961439588,0.8529801324503312
3,1,32,0.99,0.65,784,430,1204,8,5,45,0.8770949720670391,0.8602739726027397,0.8686030428769018
3,2,35,0.99,0.66,808,420,1223,5,5,45,0.9127906976744186,0.8602739726027397,0.8857545839210155
3,3,32,0.99,0.67,854,413,1259,5,4,36,0.8820224719101124,0.8602739726027397,0.8710124826629682
4,1,33,0.99,0.65,842,447,1283,5,5,45,0.8596491228070176,0.8212290502793296,0.84
4,2,38,0.99,0.63,814,479,1286,6,5,45,0.8596491228070176,0.8212290502793296,0.84
4,3,33,0.99,0.64,798,444,1235,5,4,36,0.8647058823529412,0.8212290502793296,0.8424068767908309
5,1,30,0.99,0.65,823,447,1262,6,4,36,0.875,0.8259587020648967,0.849772382397572
5,2,32,0.99,0.67,863,428,1279,9,4,36,0.875,0.8259587020648967,0.849772382397572
5,3,30,1.00,0.66,836,430,1260,4,5,45,0.7921348314606742,0.8294117647058824,0.810344827586207
