idDBLP,idScholar
conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,eBnT7lhV2LwJ
conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,gBVNSFeS4P8J
conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,VuY9Y49GqXgJ
conf/sigmod/AbiteboulBCMM03,AxpQwgyRyLgJ
conf/sigmod/AbiteboulBCMM03,Rjb06zlxbLIJ
conf/sigmod/AbiteboulCM95,cu9DXtjeF24J
conf/sigmod/AbiteboulCM95,DakOA4Ew-poJ
conf/sigmod/AcharyaFZ97,9OEjtHuRUzsJ
conf/sigmod/AcharyaFZ97,FDPwbRQbfIAJ
conf/sigmod/AcharyaFZ97,NDzryNtTyL8J
conf/sigmod/AcharyaFZ97,umGxlKvzLoUJ
conf/sigmod/AcharyaGPR99,5vntH4boqdgJ
conf/sigmod/AcharyaGPR99,a1esMNRsK_UJ
conf/sigmod/AcharyaGPR99,mOngiXbKrNkJ
conf/sigmod/AcharyaGPR99,s064OghlyIUJ
conf/sigmod/AcharyaPR99,-k0cD5NwXnoJ
conf/sigmod/AdaliBSS98,69JsZwNpla0J
conf/sigmod/AdaliBSS98,YQ90BYSVqbsJ
conf/sigmod/AdaliCPS96,_CkpzhLiR30J
conf/sigmod/AdaliCPS96,BpZjLfob1eIJ
conf/sigmod/AdaliCPS96,npAaKsmFlpcJ
conf/sigmod/AdaliCPS96,Ra8-qY_qjZoJ
conf/sigmod/AdaliCPS96,uMmcsye0YCkJ
conf/sigmod/AdaliCPS96,zE4iM0h4W2sJ
conf/sigmod/AdaliSS99,7OvO0Y3IU8gJ
conf/sigmod/AdaliSS99,bhWLVCoDuNQJ
conf/sigmod/AdaliSS99,c2dH5RxNj6kJ
conf/sigmod/AdaliSS99,Cbwq3JSxrSAJ
conf/sigmod/AdyaGLM95,7YMi5qKSe2EJ
conf/sigmod/AdyaGLM95,bfcbZlt6vngJ
conf/sigmod/AdyaGLM95,EP8u32KwMe4J
conf/sigmod/AdyaGLM95,FlE1JdgElGQJ
conf/sigmod/AfratiLU01,k7zpSukSfYsJ
conf/sigmod/AfratiLU01,U8adXFUIr3EJ
conf/sigmod/Agarwal96,ALk7huiKjWAJ
conf/sigmod/Agarwal96,Fd0jPlSwFWcJ
conf/sigmod/Aggarwal02,tK1_3wGUIHsJ
conf/sigmod/AggarwalPWYP99,5uimonC4q_QJ
conf/sigmod/AggarwalPWYP99,G3dX_RTA26MJ
conf/sigmod/AggarwalY00,dfSPs7YoyWsJ
conf/sigmod/AggarwalY00,OV5GSHDaYNMJ
conf/sigmod/AggarwalY00,x5jeMyauzWgJ
conf/sigmod/AggarwalY01,6i8hYEhbelEJ
conf/sigmod/AggarwalY01,QkTd5WogN-AJ
conf/sigmod/AgichteinGV01,GDoFPiEzEhQJ
conf/sigmod/AgichteinGV01,z8s4kW1y7LMJ
conf/sigmod/AgrawalCFGHIIMMSS94,bXnzC8MN_joJ
conf/sigmod/AmbiteABKMMMPT98,L7XmLpQLXBIJ
conf/sigmod/AmbiteABKMMMPT98,YAkpVC1qgaIJ
conf/sigmod/Amer-YahiaCLS01,DFubU20j1OIJ
conf/sigmod/Amer-YahiaCLS01,wGxcAPsmHgIJ
conf/sigmod/Amer-YahiaCLS01,WsCqveNDjjUJ
conf/sigmod/AndersonAF98,_EbKUPc1jYAJ
conf/sigmod/AnkerstBKS99,GFTU2PvKY_gJ
conf/sigmod/AnkerstBKS99,hEemQ37_mPcJ
conf/sigmod/AnkerstBKS99,Hj3vyh0TJVsJ
conf/sigmod/AnkerstBKS99,K1ZdQsRoNloJ
conf/sigmod/AnkerstBKS99,rgEDmTFPFY4J
conf/sigmod/AntonJLPZZ02,89P3EdEDuOEJ
conf/sigmod/ArasuBBDIRW03,1DKKwROqEeYJ
conf/sigmod/ArasuBBDIRW03,7D59wPTtkdcJ
conf/sigmod/ArasuBBDIRW03,eXulm3jwflAJ
conf/sigmod/Arpaci-DusseauACHP97,aCCAyNhJFtsJ
conf/sigmod/AshleyFHLNP95,t0Wd_YW4n3cJ
conf/sigmod/AshleyFHLNP95,tL67lYBCRO4J
conf/sigmod/AshleyFHLNP95,ZkK-ilu3tY0J
conf/sigmod/Atkinson95,url:http://portal.acm.org/citation.cfm%3Fid%3D223874
conf/sigmod/BabcockBDM03,a2wqpKma5J4J
conf/sigmod/BabcockBDM03,RFNZUHZBP_oJ
conf/sigmod/BabcockBDM03,RIDEvTXNpaAJ
conf/sigmod/BabcockBDM03,rnakKC_M9-kJ
conf/sigmod/BabcockCD03,mbhZ3gSR3NMJ
conf/sigmod/BabcockO03,acnzsOLHFywJ
conf/sigmod/BarbosaMKL02,ueKnwQCE3nIJ
conf/sigmod/BarclaySG00,6uaAB7bg6C8J
conf/sigmod/BarclaySG00,tKeGALC3uFMJ
conf/sigmod/BarclaySG00,v6Rokk9Eht8J
conf/sigmod/BaruFGHJPW95,mFOSML8c0s4J
conf/sigmod/BaruGLMPVC99,JYHcz-HpKjEJ
conf/sigmod/BaruGLMPVC99,nTC3FQGaT_YJ
conf/sigmod/BaruGLMPVC99,wsNuAYMG0QEJ
conf/sigmod/BaruGLMPVC99,wTXunETZhPwJ
conf/sigmod/BaumannDFRW98,k3WA-AE7Sh4J
conf/sigmod/Bayardo98,O05yYxasf6UJ
conf/sigmod/Bayardo98,t7cKx4raSM0J
conf/sigmod/Bayardo98,wHaeR7DBDTUJ
conf/sigmod/BenediktCFFR03,T5ZdpquqfJ0J
conf/sigmod/BerchtoldK97,lYpquDAEzrIJ
conf/sigmod/BerckenDS00,3IFlpeKgLlAJ
conf/sigmod/BerckenDS00,-3JQfRZsy8wJ
conf/sigmod/BerckenDS00,KO6M4Fc8-80J
conf/sigmod/BerensonBGMOO95,-CQaLTpGJLQJ
conf/sigmod/BerensonBGMOO95,-lYgZoLNtioJ
conf/sigmod/BerensonBGMOO95,MOGnM6t6l3MJ
conf/sigmod/BerensonBGMOO95,zguNkU2zLY0J
conf/sigmod/BergstraesserBPS99,4Ha7Bs5Vq3MJ
conf/sigmod/BergstraesserBPS99,qcZ2tYThtK0J
conf/sigmod/Bernstein96,EvuLCpyVqWgJ
conf/sigmod/BersonGMJ94,bw_c9Mk0_7IJ
conf/sigmod/BersonGMJ94,IfRMoLIaeZ0J
conf/sigmod/BersonGMJ94,wsG_Q2jbgCAJ
conf/sigmod/BettiniWBJ95,c57d3rgd3IcJ
conf/sigmod/BettiniWBJ95,wZkNJJn90yAJ
conf/sigmod/BeyerR99,6Cdfxiuibd0J
conf/sigmod/BhattacharyaMBNHS02,cg01BqanXhUJ
conf/sigmod/Bierman03,vQcfluHWCeAJ
conf/sigmod/BilirisFOP96,VakyeJZNPM0J
conf/sigmod/BilirisP94,KYhmilHkq_IJ
conf/sigmod/BlakeleyP98,yotsUgKBK44J
conf/sigmod/BlottRS96,4aSEl4haaq4J
conf/sigmod/BlottRS96,8J0wmqs6RfIJ
conf/sigmod/BlottRS96,Fz7LXJ1UckkJ
conf/sigmod/BlottRS96,jq_F3lCmTaIJ
conf/sigmod/BlottRS96,pS2unAe-n_gJ
conf/sigmod/BohannonDGKLNS03,83wqw4ciNWoJ
conf/sigmod/BohannonMR01,ChD3-mp23f8J
conf/sigmod/BohlenBD99,X2odIfnOC88J
conf/sigmod/BohmA96,978pJCGhaGoJ
conf/sigmod/BohrerBBCFHKKMNRRSUUW97,oulaZpEWkMQJ
conf/sigmod/BohrerBBCFHKKMNRRSUUW97,uPx8w3k7NyQJ
conf/sigmod/BohrerBBCFHKKMNRRSUUW97,wF2-sxlGAu4J
conf/sigmod/BohrerBBCFHKKMNRRSUUW97a,JntLVX4TPi0J
conf/sigmod/BohrerBBCFHKKMNRRSUUW97a,NiBdZXS0TCMJ
conf/sigmod/Bonnet02,bqyt1789jJ8J
conf/sigmod/BorkarDS01,8fu2bhk_i9EJ
conf/sigmod/BorkarDS01,8zFEVer1rBUJ
conf/sigmod/BornhovdAKMPR03,4qtu0-tW0IcJ
conf/sigmod/BornhovdAKMPR03,7lPu8hBgKksJ
conf/sigmod/BozkayaO97,37lliRw_cOQJ
conf/sigmod/BozkayaO97,9QOCoTIXz9kJ
conf/sigmod/BraumandlKK99,4fjXoCHhe1kJ
conf/sigmod/BraumandlKK99,X7jjMIXx8qUJ
conf/sigmod/BraumandlKK99,ywe7qzk4E5MJ
conf/sigmod/BreitbartKRSS99,XV2lpkhWCsYJ
conf/sigmod/BressanGFJHKLMPQSS97,_1drQdYrtmsJ
conf/sigmod/BressanGFJHKLMPQSS97,1akMDtKXUFAJ
conf/sigmod/BressanGFJHKLMPQSS97,jJuSPh63bZ0J
conf/sigmod/BressanGFJHKLMPQSS97,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D0294191CI
conf/sigmod/BreunigKNS00,4ZBs-U7sOk0J
conf/sigmod/BreunigKNS00,8lIwxMfoZN4J
conf/sigmod/Brewer98,k4UNrsGeUuAJ
conf/sigmod/BrinkhoffKSS94,IINRwK8hovkJ
conf/sigmod/BrinkhoffKSS94,RWhfLTpLoQUJ
conf/sigmod/BrinMUT97,APKRvVY4Ah8J
conf/sigmod/BrinMUT97,bjZ8SxYnrd0J
conf/sigmod/BrinMUT97,CnTgirrsL3EJ
conf/sigmod/BrinMUT97,FtMoh58D330J
conf/sigmod/BrinMUT97,JBB4svDpBF8J
conf/sigmod/BrinMUT97,ZAjbM4H53aUJ
conf/sigmod/BrodskyK95,SFmnhrhoQzgJ
conf/sigmod/BrodskySCE99,_cUSf4sG_28J
conf/sigmod/BrodskySCE99,34a4H8ATLxcJ
conf/sigmod/BrodskySCE99,jnBo-gBTmAcJ
conf/sigmod/BrunoCG01,8KJ9XFv1ESAJ
conf/sigmod/BrunoCG01,SGmfFHnOf4IJ
conf/sigmod/BrunoCG01,XWF4kOtaoJkJ
conf/sigmod/BryanMCLG94,nbU-wr3ivUIJ
conf/sigmod/BunemanDHS96,BQltSXRqmSEJ
conf/sigmod/BunemanDHS96,Da60jinzi-IJ
conf/sigmod/BunemanDHS96,eB6xi8_wg3QJ
conf/sigmod/BunemanDHS96,ngbxnQMSWfkJ
conf/sigmod/BunemanDHS96,R128Of6zyGgJ
conf/sigmod/BunemanDHS96,Wo7In8pIWJ4J
conf/sigmod/BunemanDHS96,ZTBiopwBpLgJ
conf/sigmod/Bussler02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D564801%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222
conf/sigmod/CallanCD99,8UP-2TRKI5wJ
conf/sigmod/CallanCD99,hqItKlvGzJIJ
conf/sigmod/CandanLLHA01,E1oiXxVyfXwJ
conf/sigmod/CandanLLHA01,T6NrBxCU2moJ
conf/sigmod/CareyDFHMNSSTTWZ94,0oPBNo-ofPkJ
conf/sigmod/CareyDFHMNSSTTWZ94,3_X-dmpUEWMJ
conf/sigmod/CareyDFHMNSSTTWZ94,5wcgt7bNx7YJ
conf/sigmod/CareyDFHMNSSTTWZ94,dP-pHDZ7oawJ
conf/sigmod/CareyDFHMNSSTTWZ94,GJ_7cqL0d70J
conf/sigmod/CareyDFHMNSSTTWZ94,jMc3U-zRTPEJ
conf/sigmod/CareyK97,2OPEy9_6BlEJ
conf/sigmod/CareyK97,b_lpj8wu7BEJ
conf/sigmod/CareyK97,G2RzED0JGvoJ
conf/sigmod/CareyK97,ucdmk8xwaTsJ
conf/sigmod/CareyK97,yuAO6FZOXmQJ
conf/sigmod/CareyMN97,dBgA1e-6LvkJ
conf/sigmod/CareyMN97,u64n4yMnma4J
conf/sigmod/CatarciS01,frbExwv4DiwJ
conf/sigmod/CatarciS94,ga4l4QhCXU4J
conf/sigmod/CatarciS94,pryJrhEGI2sJ
conf/sigmod/CatarciS94,yaaZKZCP3soJ
conf/sigmod/CeriFP98,iUGa3pKj-20J
conf/sigmod/ChakrabartiDI98,qtVVVrzTLr4J
conf/sigmod/ChandrasekaranCDFHHKMRS03,eOhZfLS25AsJ
conf/sigmod/ChandrasekaranCDFHHKMRS03,MNuT46WJZaQJ
conf/sigmod/ChandrasekaranCDFHHKMRS03,onlybp6SAAsJ
conf/sigmod/ChangBCLLS00,bqtRaOoJ87AJ
conf/sigmod/ChangBCLLS00,dM9iTzhspEUJ
conf/sigmod/ChangG99,BYkCvtDCxzcJ
conf/sigmod/ChangG99,vjxJ_rBwdMkJ
conf/sigmod/ChangH02,OuMumdGAaq8J
conf/sigmod/ChanI98,39AOIRe9qSQJ
conf/sigmod/ChanI98,VC7Jbwgn_O0J
conf/sigmod/Chaudhuri97,QkyXMep2bWsJ
conf/sigmod/ChaudhuriD97,4zZ7Lxt4PPIJ
conf/sigmod/ChaudhuriD97,ClO4zHQ7RYsJ
conf/sigmod/ChaudhuriD97,gY652XXjHB8J
conf/sigmod/ChaudhuriD97,jsapF3OoWXcJ
conf/sigmod/ChaudhuriMN98,3fEogSGG3wQJ
conf/sigmod/ChaudhuriMN98,CBKhTPuUL2kJ
conf/sigmod/ChaudhuriMN98,hvMTb3FYOjQJ
conf/sigmod/ChaudhuriMN98,Lnp1RVSzInEJ
conf/sigmod/ChaudhuriMN99,GL8XEeYm7GsJ
