theta,delta,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
0.5,1,46,0.99,0.65,1446,771,2205,11,,45,0.8918918918918919,0.8081632653061225,0.8479657387580299,0.8596491228070176,0.8212290502793296,0.84
0.5,0.8,47,0.99,0.65,1446,771,2205,11,,45,0.8918918918918919,0.8081632653061225,0.8479657387580299,0.8596491228070176,0.8212290502793296,0.84
0.5,0.5,46,0.99,0.65,1446,771,2205,11,,45,0.8918918918918919,0.8081632653061225,0.8479657387580299,0.8596491228070176,0.8212290502793296,0.84
0.5,0.25,45,0.99,0.65,1446,771,2205,11,,45,0.8918918918918919,0.8081632653061225,0.8479657387580299,0.8596491228070176,0.8212290502793296,0.84
0.5,0.1,49,0.99,0.65,1446,771,2205,11,,45,0.8918918918918919,0.8081632653061225,0.8479657387580299,0.8596491228070176,0.8212290502793296,0.84
0.5,0.08,50,0.99,0.65,1446,771,2205,11,,45,0.8918918918918919,0.8081632653061225,0.8479657387580299,0.8596491228070176,0.8212290502793296,0.84
0.5,0.05,49,0.99,0.65,1446,771,2205,11,,45,0.8918918918918919,0.8081632653061225,0.8479657387580299,0.8596491228070176,0.8212290502793296,0.84
0.5,0.025,48,0.99,0.65,1446,771,2205,11,,45,0.8918918918918919,0.8081632653061225,0.8479657387580299,0.8596491228070176,0.8212290502793296,0.84
0.8,1,49,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
0.8,0.8,47,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
0.8,0.5,49,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
0.8,0.25,49,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
0.8,0.1,50,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
0.8,0.08,50,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
0.8,0.05,49,0.99,0.65,1446,771,2205,11,,45,0.8918918918918919,0.8081632653061225,0.8479657387580299,0.8596491228070176,0.8212290502793296,0.84
0.8,0.025,50,0.99,0.65,1446,771,2205,11,,45,0.8918918918918919,0.8081632653061225,0.8479657387580299,0.8596491228070176,0.8212290502793296,0.84
1,1,49,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
1,0.8,49,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
1,0.5,48,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
1,0.25,50,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
1,0.1,45,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
1,0.08,46,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
1,0.05,47,0.99,0.65,1446,771,2205,11,,45,0.8918918918918919,0.8081632653061225,0.8479657387580299,0.8596491228070176,0.8212290502793296,0.84
1,0.025,47,0.99,0.65,1446,771,2205,11,,45,0.8918918918918919,0.8081632653061225,0.8479657387580299,0.8596491228070176,0.8212290502793296,0.84
1.5,1,48,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
1.5,0.8,47,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
1.5,0.5,49,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
1.5,0.25,46,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
1.5,0.1,46,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
1.5,0.08,46,0.98,0.65,1451,766,2191,25,,45,0.7518796992481203,0.8130081300813008,0.7812499999999999,0.7589743589743589,0.8245125348189415,0.7903871829105473
1.5,0.05,46,0.99,0.65,1446,771,2205,11,,45,0.8918918918918919,0.8081632653061225,0.8479657387580299,0.8596491228070176,0.8212290502793296,0.84
1.5,0.025,45,0.99,0.65,1446,771,2205,11,,45,0.8918918918918919,0.8081632653061225,0.8479657387580299,0.8596491228070176,0.8212290502793296,0.84
2,1,45,0.97,0.70,1552,665,2163,53,,52,0.7210884353741497,0.8412698412698413,0.7765567765567766,0.587360594795539,0.8563685636856369,0.6968026460859977
2,0.8,44,0.97,0.70,1552,665,2163,53,,52,0.7210884353741497,0.8412698412698413,0.7765567765567766,0.587360594795539,0.8563685636856369,0.6968026460859977
2,0.5,46,0.97,0.70,1552,665,2163,53,,52,0.7210884353741497,0.8412698412698413,0.7765567765567766,0.587360594795539,0.8563685636856369,0.6968026460859977
2,0.25,45,0.97,0.70,1552,665,2163,53,,52,0.7210884353741497,0.8412698412698413,0.7765567765567766,0.587360594795539,0.8563685636856369,0.6968026460859977
2,0.1,44,0.97,0.70,1552,665,2163,53,,52,0.7210884353741497,0.8412698412698413,0.7765567765567766,0.587360594795539,0.8563685636856369,0.6968026460859977
2,0.08,43,0.97,0.70,1552,665,2163,53,,52,0.7210884353741497,0.8412698412698413,0.7765567765567766,0.587360594795539,0.8563685636856369,0.6968026460859977
2,0.05,44,0.97,0.70,1552,665,2163,53,,52,0.7210884353741497,0.8412698412698413,0.7765567765567766,0.587360594795539,0.8563685636856369,0.6968026460859977
2,0.025,50,0.99,0.65,1446,771,2205,11,,45,0.8918918918918919,0.8081632653061225,0.8479657387580299,0.8596491228070176,0.8212290502793296,0.84
3,1,35,0.96,0.79,1759,458,2149,67,,25,0.6742857142857143,0.8939393939393939,0.7687296416938111,0.5152439024390244,0.8894736842105263,0.6525096525096525
3,0.8,35,0.96,0.79,1759,458,2149,67,,25,0.6742857142857143,0.8939393939393939,0.7687296416938111,0.5152439024390244,0.8894736842105263,0.6525096525096525
3,0.5,36,0.96,0.79,1759,458,2149,67,,25,0.6742857142857143,0.8939393939393939,0.7687296416938111,0.5152439024390244,0.8894736842105263,0.6525096525096525
3,0.25,36,0.96,0.79,1759,458,2149,67,,25,0.6742857142857143,0.8939393939393939,0.7687296416938111,0.5152439024390244,0.8894736842105263,0.6525096525096525
3,0.1,34,0.96,0.79,1759,458,2149,67,,25,0.6742857142857143,0.8939393939393939,0.7687296416938111,0.5152439024390244,0.8894736842105263,0.6525096525096525
3,0.08,36,0.96,0.79,1759,458,2149,67,,25,0.6742857142857143,0.8939393939393939,0.7687296416938111,0.5152439024390244,0.8894736842105263,0.6525096525096525
3,0.05,34,0.96,0.79,1759,458,2149,67,,25,0.6742857142857143,0.8939393939393939,0.7687296416938111,0.5152439024390244,0.8894736842105263,0.6525096525096525
