sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,80,1.00,1.00,102,0,99,0,1,7,0.003491771329579905,1.0,0.00695924257545923
1,2,82,1.00,1.00,85,0,81,0,1,7,0.4174757281553398,1.0,0.5890410958904109
1,3,81,1.00,1.00,90,0,90,0,1,7,0.003491771329579905,1.0,0.00695924257545923
1,4,81,1.00,1.00,125,0,117,0,1,7,0.4174757281553398,1.0,0.5890410958904109
1,5,81,1.00,1.00,96,0,90,0,1,7,0.003491771329579905,1.0,0.00695924257545923
2,1,81,1.00,1.00,71,0,63,0,1,7,0.20833333333333334,0.9933774834437086,0.34443168771526983
2,2,148,1.00,1.00,74,0,72,0,2,14,0.001364036111061256,1.0,0.002724356102019967
2,3,82,1.00,1.00,87,0,81,0,1,7,0.20833333333333334,0.9933774834437086,0.34443168771526983
2,4,82,1.00,1.00,88,0,81,0,1,7,0.20833333333333334,0.9933774834437086,0.34443168771526983
2,5,179,1.00,1.00,90,0,90,0,2,16,0.0020169151954390827,0.9933774834437086,0.004025656853009849
3,1,151,1.00,1.00,96,0,90,0,2,16,0.002729773428805409,0.9961685823754789,0.005444627095396149
3,2,150,1.00,1.00,106,0,99,0,2,14,0.0012121548597231475,1.0,0.0024213746384111343
3,3,82,1.00,1.00,109,0,108,0,1,7,0.0035153629410975447,1.0,0.007006096908760295
3,4,82,1.00,1.00,80,0,72,0,1,7,0.19726858877086495,0.9961685823754789,0.3293223559214693
3,5,81,1.00,1.00,91,0,90,0,1,7,0.19726858877086495,0.9961685823754789,0.3293223559214693
4,1,81,1.00,1.00,86,0,81,0,1,7,0.0035398614459139573,1.0,0.007054750054100844
4,2,81,1.00,1.00,98,0,90,0,1,7,0.22054794520547946,0.9938271604938271,0.36098654708520184
4,3,82,1.00,1.00,94,0,90,0,1,7,0.22054794520547946,0.9938271604938271,0.36098654708520184
4,4,82,1.00,1.00,112,0,108,0,1,7,0.22054794520547946,0.9938271604938271,0.36098654708520184
4,5,82,1.00,1.00,87,0,81,0,1,7,0.22054794520547946,0.9938271604938271,0.36098654708520184
5,1,82,1.00,1.00,78,0,72,0,1,7,0.4440894568690096,1.0,0.6150442477876106
5,2,82,1.00,1.00,103,0,99,0,1,7,0.003912186884323108,1.0,0.007793882643191568
5,3,82,1.00,1.00,101,0,99,0,1,7,0.003912186884323108,1.0,0.007793882643191568
5,4,155,1.00,0.98,103,2,99,0,2,18,N/A,N/A,0
5,5,81,1.00,1.00,110,0,108,0,1,7,0.003912186884323108,1.0,0.007793882643191568
