sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,328,1.00,0.92,382,33,414,0,5,53,0.937984496124031,0.968,0.952755905511811
1,2,87,1.00,1.00,371,0,369,0,1,9,0.9280575539568345,1.0,0.9626865671641791
1,3,87,1.00,1.00,369,0,369,0,1,9,0.9280575539568345,1.0,0.9626865671641791
1,4,229,1.00,0.99,374,5,378,0,6,62,0.01034623217922607,0.9921875,0.02047891639119568
2,1,214,1.00,0.99,373,2,369,0,1,7,0.20833333333333334,0.9933774834437086,0.34443168771526983
2,2,258,1.00,0.95,354,18,369,0,4,40,0.9254658385093167,0.9900332225913622,0.9566613162118781
2,3,244,1.00,1.00,340,1,333,0,2,20,0.003912465113852735,0.9933774834437086,0.007794232268121591
2,4,243,1.00,0.98,368,8,369,0,6,62,0.0009146653347855651,1.0,0.0018276589732644753
3,1,251,1.00,0.96,394,15,405,0,5,55,0.0023489872251233218,0.9961685823754789,0.004686922584657539
3,2,239,1.00,0.99,430,3,432,0,2,20,0.7831325301204819,0.9961685823754789,0.8768971332209106
3,3,171,1.00,0.99,382,2,378,0,1,7,0.19726858877086495,0.9961685823754789,0.3293223559214693
3,4,244,1.00,0.96,381,14,387,0,5,49,0.9618320610687023,0.980544747081712,0.9710982658959537
4,1,281,1.00,0.99,433,4,432,0,1,9,0.7351598173515982,0.9938271604938271,0.8451443569553805
4,2,220,1.00,0.99,375,2,369,0,1,7,0.22054794520547946,0.9938271604938271,0.36098654708520184
4,3,225,1.00,0.97,351,10,360,0,6,62,0.39949748743718594,0.9875776397515528,0.5688729874776387
4,4,270,1.00,0.97,370,13,378,0,6,62,0.39949748743718594,0.9875776397515528,0.5688729874776387
5,1,257,1.00,0.98,428,8,432,0,6,62,0.965034965034965,0.9963898916967509,0.9804618117229129
5,2,217,1.00,0.97,404,13,414,0,6,62,0.9647887323943662,0.9927536231884058,0.9785714285714285
