sample,sub_sample,test_precision,test_recall,test_f1
1,1,1.0,0.794392523364486,0.8854166666666666
1,2,1.0,0.821917808219178,0.9022556390977443
1,3,1.0,0.821917808219178,0.9022556390977443
1,4,1.0,0.821917808219178,0.9022556390977443
2,1,0.9739130434782609,0.8484848484848485,0.9068825910931174
2,2,0.9739130434782609,0.8484848484848485,0.9068825910931174
2,3,0.5,0.8484848484848485,0.6292134831460674
2,4,,,
3,1,0.46511627906976744,0.8658008658008658,0.6051437216338881
3,2,,,
3,3,,,
3,4,,,
4,1,,,
4,2,,,
4,3,,,
4,4,,,
5,1,,,
5,2,,,
5,3,,,
5,4,,,
1,1,1.0,0.794392523364486,0.8854166666666666
1,2,1.0,0.821917808219178,0.9022556390977443
1,3,1.0,0.821917808219178,0.9022556390977443
1,4,1.0,0.821917808219178,0.9022556390977443
2,1,0.9739130434782609,0.8484848484848485,0.9068825910931174
2,2,0.9739130434782609,0.8484848484848485,0.9068825910931174
2,3,0.5,0.8484848484848485,0.6292134831460674
2,4,,,
3,1,0.46511627906976744,0.8658008658008658,0.6051437216338881
3,2,0.9803921568627451,0.8658008658008658,0.9195402298850573
3,3,1.0,0.8658008658008658,0.9280742459396751
3,4,0.43478260869565216,0.8658008658008658,0.5788712011577424
4,1,0.975,0.8357142857142857,0.9
4,2,0.3352112676056338,0.8439716312056738,0.4798387096774193
4,3,0.9512195121951219,0.8357142857142857,0.8897338403041825
4,4,0.9512195121951219,0.8357142857142857,0.8897338403041825
5,1,0.98989898989899,0.8270042194092827,0.9011494252873564
5,2,0.98989898989899,0.8270042194092827,0.9011494252873564
5,3,0.98989898989899,0.8270042194092827,0.9011494252873564
5,4,0.98989898989899,0.8270042194092827,0.9011494252873564
