tid,titleId,ordering,title,region,isOriginalTitle
6903,tt12538541,4,Vera,PL,0
6904,tt12541101,2,Garda personală,RO,1
6905,tt0285073,1,Eunice,US,0
6907,tt12535593,3,La princesse de Clèves,FR,0
6913,tt3142914,3,Ask aglatir,TR,0
6914,tt1334247,2,Johnny Cash ja Folsom Prison,FI,0
6916,tt12543129,7,Supa Modo,IT,0
6928,tt1863203,4,Работодатель,RU,0
6929,tt0220626,1,Hölmölän kylän veijarit,FI,0
6932,tt12541101,3,Yojimbo Livvakten,SE,0
6939,tt12545484,4,The Prodigals Mother,US,0
6941,tt0043677,7,Inside the Walls of Folsom Prison,US,0
6942,tt0019035,10,Paixão Sem Freio,BR,0
6943,tt2080042,1,Peter Punk,AR,0
6950,tt0158117,14,Scrisoarea,RO,0
6955,tt0068972,12,Smrt se osmehuje ubici,XYU,0
6956,tt12541654,8,The Mystery of St Pauls Hospital,XWW,0
6958,tt12535879,2,Upptäcka kon,SE,0
6959,tt4134678,1,Tutti insieme allimprovviso,IT,0
6971,tt1268161,3,21 and a WakeUp,GB,0
6977,tt12539291,11,Sumpfwasser,AT,0
6978,tt1145500,11,Puissance planète,FR,0
6981,tt1620956,4,Sania i Wróbel,PL,0
6986,tt12538247,2,Последний вздох,RU,0
6987,tt0043677,13,Inside the Walls of Folsom Prison,CA,0
6994,tt12545329,1,Crime Does Not Pay No 19 Think It Over,US,0
6996,tt12534013,10,See Plum Run,CA,1
6997,tt1010415,4,Любовните песни на клуб Лолита,BG,0
6998,tt12541100,7,Yojimbo,NZ,1
7004,tt7203520,3,Werewolf,IN,0
7011,tt12539619,9,The Big Swell,US,1
7012,tt7773250,1,Khotat Alshaitan,EG,0
7016,tt12541592,31,Невероятният Хълк,BG,0
7017,tt12540494,1,Wicked Conclusions,US,0
7018,tt12536237,9,Dianomi kat oikon,GR,1
7031,tt12535644,1,Részletkérdések,HU,0
7039,tt0103893,6,Buffy  Vampyrdödaren,SE,0
7041,tt0063241,11,Die Wölfin,XWG,0
7050,tt12538878,1,The Forest Legends Reflection of the New Awakening,FI,0
7064,tt4852398,4,Hopomythumb,XWW,0
7069,tt8881102,1,Sweethearts,US,0
7076,tt12537070,13,バッフィ ザ・バンパイア・キラー,JP,0
7077,tt12541358,17,Tu nas jamais été vraiment là,CA,0
7082,tt12545536,3,Tormimurdja,EE,1
7090,tt12538615,7,妄執の影,JP,0
7091,tt12544866,1,La chica que cayó del cielo,ES,0
7098,tt12532295,7,Ghost Story for Christmas The Ash Tree,GB,1
7100,tt12533587,3,Χάριετ η Κατάσκοπος Ο Πόλεμος των Μπλογκ,GR,0
7101,tt0103893,24,Buffy Caçadora de Vampiros,PT,0
7102,tt0158117,11,クレーヴの奥方,JP,0
7104,tt12532254,9,GOLDFIEBER Der Ritt ins Todestal,DE,1
7107,tt0035040,3,Um Marido a Preço Fixo,PT,0
7119,tt12541101,23,Yojimbo,CA,0
7121,tt12533534,5,ステイト・オブ・ドッグス,JP,0
7125,tt12536597,1,Race 2 Race,US,0
7129,tt12544846,8,Directors Commentary Terror of Frankenstein,US,1
7130,tt12544031,1,Fuck Sasha Grey,US,0
7131,tt0350750,1,Le czar en France  défilé des troupes,FR,0
7135,tt12532885,12,Inside the Walls of Folsom Prison,GB,0
7136,tt12538541,8,Vera,US,1
7137,tt12545835,7,Chrysalis,US,1
7142,tt1078899,6,Impuls,CZ,0
7143,tt12541101,5,Le garde du corps,FR,1
7146,tt5421602,13,Anna zo Zeleného domu,SK,0
7147,tt12543668,5,Ingrop viii,RO,0
7148,tt12537070,6,Buffy la caza vampiros,AR,0
7151,tt12544520,4,Vengeance,FR,0
7154,tt7410352,5,Американска принцеса,BG,0
7156,tt12544632,8,TiM,TR,1
7157,tt12542785,10,Ni distintos ni diferentes Campeones,ES,1
7159,tt12542569,3,Tom Thumb,XWW,0
7160,tt12545536,10,Alex Rider Stormbreaker,IT,1
7162,tt12537590,6,Self Defense,US,1
7163,tt12537199,7,MasterChef Turkey,TR,0
7164,tt0494712,4,Хиллсайдские каннибалы,RU,0
7172,tt2390480,1,Wings,ES,0
7175,tt12535593,13,La lettera,IT,0
7177,tt0342492,11,Jeongyukjeomui bimil,KR,0
7180,tt0015156,1,The Price They Pay,US,0
7181,tt2180561,4,Маркетинг безумия Мы сошли с ума,RU,0
7186,tt0074235,11,Woody Guthrie  lyckans land,SE,0
7188,tt12532136,14,Tre Draaber Gift,DK,0
7190,tt12533065,7,Les rebelles du foot,FR,1
7194,tt0066461,10,Който пее зло не мисли,BG,0
7195,tt12543761,2,Marlowe and Jordan in Songs and Impressions,US,0
7196,tt12537876,1,Na Linha de Fogo,BR,1
7197,tt1078899,9,Desejo,PT,0
7198,tt12537273,10,Eebenpuutorni,FI,1
7201,tt0816629,2,Rock podvraťáků,CZ,0
7203,tt12535744,3,Wild Things,US,0
7207,tt12541101,29,Yojimbo  O Invencível,PT,0
7211,tt0169268,5,ステイト・オブ・ドッグス,JP,0
7213,tt12536431,3,The Formula,US,0
7215,tt10097954,1,Quest for Real Immunity,US,0
7216,tt12540108,4,Victoria,FR,0
7220,tt1863203,6,The Employer,US,0
7223,tt12537590,5,SelfDefense,US,0
7224,tt0068972,11,La muerte sonríe al asesino,ES,0
7227,tt0074235,9,Dicsőségre ítélve,HU,0
7233,tt7510284,1,National Theatre Live Cat on a Hot Tin Roof,AU,0
7234,tt1255975,3,Обреченные,RU,0
7238,tt0034251,9,Farligt område,SE,0
7242,tt12536103,6,Keine Angst vor Liebe,DE,0
7244,tt0063241,3,La gatta dagli artigli doro,IT,0
7250,tt12535437,1,Trick Shooting with Kenne Duncan,US,1
7254,tt12533122,8,Το Έπος του Biorn,GR,0
7259,tt12545537,8,Alex Rider Operation Stormbreaker,US,0
7260,tt12545484,9,Ik had een zoon,BE,1
7266,tt5421602,4,Anne with an E,AR,0
7268,tt12544635,4,Bröderna Dal och de mystiska spektralstenarna,SE,0
7272,tt12540397,2,南の島のデラちゃん,JP,0
7274,tt12533288,9,Männens årstid,FI,1
7278,tt12538792,7,Good Luck,US,1
7279,tt12537070,5,Buffy Caçadora de Vampiros,PT,0
7283,tt7203520,10,Werewolf,US,0
7285,tt0328820,4,Dianomi kat oikon,GR,0
7286,tt12540527,12,Código do Crime,PT,0
7288,tt0158117,3,La princesse de Clèves,FR,0
7292,tt12538615,2,Obsession,BE,1
7294,tt12536510,1,Doramundo,BR,0
7295,tt12531237,1,Transit,GB,0
7306,tt12535785,26,Eni iz Grin Gejblsa,RS,0
7309,tt0220626,5,Hölmölän kylän veijarit 1,FI,0
7311,tt12540918,8,Sweethearts,US,1
7313,tt12544618,1,The Mask,US,0
7315,tt12537070,9,Buffy der Vampir Killer,DE,1
7323,tt12543668,4,Entierro a los vivos,ES,0
7325,tt12534799,8,Flash mortal,ES,0
7327,tt12543268,6,999,KZ,0
7332,tt12535372,1,The Postman Dreams,IT,0
7333,tt12537068,1,Buffy zabíjecka upíru,CZ,0
7334,tt12537457,6,Anthropos stis rages,GR,1
7337,tt12539365,1,Stale Mate,US,0
7339,tt12532226,8,The Divergent Series Insurgent  Shatter Reality,US,0
7340,tt12543568,2,Crash Goes the Hash,IN,0
7342,tt0471839,1,Night Pastor,GB,0
7345,tt12545536,2,Pērkondārds,LV,0
7346,tt0019035,14,Tre Draaber Gift,DK,0
7347,tt0015156,5,Fiskaren på Stormskär,FI,0
7348,tt0110246,2,Kaspar Hauser  Verbrechen am Seelenleben eines Menschen,DE,0
7353,tt0034251,25,Mocvara,XYU,0
7354,tt0072308,18,Flammendes Inferno,DE,0
7356,tt0103893,13,バッフィ ザ・バンパイア・キラー,JP,0
7361,tt0105761,5,Virdzina,RS,0
7363,tt12540527,5,The Bletchley Circle,DE,0
7364,tt0034251,5,O Segredo do Pântano,BR,0
7369,tt1078899,5,Desejo e Obsessão,BR,0
7370,tt0077932,8,Dark Rider,XWG,0
7372,tt12541101,50,Straż przyboczna,PL,0
7374,tt5643380,6,Taekwondo,ES,0
7377,tt1078899,4,Импулс,BG,0
7378,tt12531253,1,Mab,GB,0
7380,tt12533122,2,To Epos tou Biorn,GR,0
7382,tt12542273,2,Balcony,GB,0
7383,tt12539278,3,Enzeva,IR,1
7384,tt12542011,10,Myungwol the Spy,XWW,1
7386,tt12535108,1,SNAP,GB,0
7387,tt2339956,1,Twin Reflex,US,0
7394,tt12532727,9,Brothers in Arms The Making of a Modern Western,US,1
7396,tt0061784,8,Terreur au Km,FR,0
7397,tt12537070,9,Buffy la cazavampiros,ES,0
7400,tt12539740,10,Der letzte Sommer der Reichen,AT,0
7403,tt12531236,1,Transit,GB,0
7405,tt3487334,1,Holly,HR,0
7407,tt0342492,15,Marinadimestari,FI,0
7408,tt5421602,17,Anne With an E,CA,0
7416,tt4266402,1,Tiflisi,GE,0
7417,tt12537252,7,Slipknot The Heretic Anthem,US,0
7418,tt12535617,26,夜になるまえに,JP,0
7420,tt0072308,8,Linferno di cristallo,IT,0
7427,tt12536678,2,Journal dun directeur décole,FR,0
7431,tt0327379,1,Pacific Paradise Police,DK,0
7441,tt12541100,43,Охоронець,UA,0
7443,tt12533952,2,Breaking the Magicians Code Magics Biggest Secrets Finally Revealed 2,US,0
7445,tt12532919,5,Cat on a Hot Tin Roof,US,1
7446,tt1558859,1,Spud,US,0
7448,tt12532350,4,Airpocalypse,GB,0
7449,tt1708505,3,Snake Charmer,GR,0
7451,tt12536239,1,The Art of Kissing 3,PT,0
7453,tt0494712,8,Dealuri canibale,RO,0
7455,tt12532814,7,Love Eterne Mourning,US,1
7457,tt7203520,7,Оборотень,RU,0
7460,tt12533288,6,Miesten vuodenaika,FI,0
7465,tt12533089,1,Nana et Kaoru,XWW,0
7473,tt12543923,1,Kiusaus,FI,0
7474,tt12532350,7,Airpocalypse,CA,0
7476,tt0015156,3,Fiskaren på Stormskär,SE,0
7477,tt12537840,6,Kornblumenblau,DK,0
7480,tt12536301,1,Las lágrimas de Eros,ES,0
7483,tt5421602,10,Anne Evel a végén,HU,0
7484,tt4852398,3,Tom Thumb,XWW,0
7485,tt12545537,7,Άλεξ Ράιντερ Μυστική αποστολή,GR,1
7486,tt0494712,3,Tromos stous lofous,GR,0
7489,tt12538899,6,Nada za vuka,RS,1
7491,tt12534908,2,Carne Fresca Procurase,PT,1
