tid,tconst,averageRating,numVotes
1,tt0374594,4.4,10
2,tt12532752,9.5,16
3,tt12543237,6.0,10
5,tt12533088,5.4,138
6,tt12538154,7.9,92
11,tt12534868,6.3,922
12,tt12541355,6.1,124
13,tt0040146,5.6,14
14,tt2578260,6.6,5
17,tt5254584,8.5,10
20,tt0108622,6.7,355
22,tt12540390,6.6,60
25,tt12533523,8.5,10
26,tt1456970,5.3,13
30,tt12540401,7.0,59
31,tt12541831,4.4,9
33,tt12533929,7.3,11
36,tt9035628,5.1,60
37,tt12531849,6.8,2
38,tt12533952,7.8,258
39,tt12539741,5.1,29
41,tt12538930,7.2,32
44,tt12535785,9.1,28006
47,tt12534667,7.6,7
48,tt12540917,5.8,432
52,tt12543032,5.6,6
53,tt0031799,6.2,128
54,tt12540418,7.2,842
55,tt12538716,5.9,39
57,tt12532968,7.0,39
58,tt12541427,8.3,12
59,tt12542918,7.0,14
60,tt12538296,5.2,6
61,tt0311234,6.8,11
62,tt12537280,7.8,25
63,tt12538434,8.6,21
64,tt12541634,5.3,15
66,tt12536025,6.3,149
67,tt12543825,4.8,24
72,tt12545396,5.7,16
73,tt12531999,5.9,13
74,tt12544709,8.3,19
77,tt12544362,7.8,89
78,tt12532254,7.4,61
79,tt12541733,5.2,64
81,tt2083932,5.9,15
83,tt12531395,5.8,28
87,tt12535533,7.3,754
89,tt6620638,6.5,8
90,tt12535633,4.5,11
93,tt12532992,5.3,17
94,tt12542350,6.7,20
95,tt0035697,7.4,8
96,tt12542144,5.7,1172
97,tt12531800,5.0,755
99,tt12539478,8.2,11
101,tt1337354,7.2,847
102,tt12538281,2.5,803
105,tt12531413,6.7,1811
107,tt0471839,5.2,31
108,tt12535644,4.9,8
111,tt3399368,5.0,290
112,tt12537316,6.6,7
114,tt12541775,6.1,18
116,tt12536172,7.0,5
117,tt0074004,8.4,690
118,tt0234528,8.6,9
119,tt12545974,6.4,143
120,tt12531195,7.9,11
121,tt12534531,4.7,68
122,tt12535718,7.7,25
125,tt12543702,7.4,165
126,tt12533194,7.3,7
127,tt12541504,4.9,243
128,tt12536078,5.3,14
129,tt12542733,7.5,66
130,tt12539070,6.0,8
132,tt12532136,7.1,76
135,tt0494712,2.3,805
136,tt12535808,6.2,28
139,tt7388830,7.7,16
140,tt12543980,5.1,17
141,tt12534020,1.5,11
142,tt12541380,4.4,1189
143,tt12540779,5.9,6
145,tt12545636,7.2,439
146,tt12533448,4.5,386
147,tt12543668,6.3,2400
148,tt12531194,7.5,17
149,tt12531668,10.0,15
150,tt1124107,7.3,21
151,tt2308048,6.6,13
152,tt12534147,6.4,7
153,tt0865634,8.4,52
154,tt12535270,8.0,12
156,tt12541379,4.4,1186
157,tt12534827,7.4,6
159,tt0828149,8.6,12
160,tt12531236,7.1,11
162,tt1674052,6.6,5
163,tt12545536,5.1,22995
165,tt12533850,6.9,10
166,tt12537406,8.2,16
167,tt12540137,5.6,1057
169,tt12532474,7.0,7
170,tt12544580,7.2,-4
171,tt12541929,6.9,0
172,tt12531231,5.0,7
173,tt8667604,8.3,12
174,tt12544455,4.2,1
175,tt12540048,7.6,9
176,tt12536968,9.1,2113
177,tt12539622,6.0,-4
178,tt0378450,8.0,23
180,tt12539386,6.2,6
181,tt12544812,6.4,114
184,tt12541915,4.4,299
187,tt7203520,6.0,909
188,tt12536369,8.0,79
190,tt12532745,6.6,7
191,tt12535271,8.2,15
192,tt12537971,5.9,5
193,tt12536124,6.5,177
196,tt0350037,6.3,149
197,tt12533903,7.1,54
198,tt12532677,8.1,91
201,tt12538572,6.9,30
202,tt12545683,5.4,188
203,tt1879071,5.5,10
204,tt12545482,7.8,53
206,tt12534789,6.0,22
208,tt1024156,9.0,111
211,tt12543923,5.6,15
212,tt12535451,8.7,6
214,tt12536429,7.6,83
215,tt12535069,5.7,21
216,tt12536445,7.0,256
217,tt12537273,6.7,149
218,tt6083652,8.4,5
219,tt12543760,4.6,12
220,tt12542760,7.5,167
221,tt12543412,8.0,45
222,tt12534923,6.7,348
224,tt12540343,7.5,56
227,tt12544403,5.9,5
228,tt3526322,7.2,5
229,tt12537583,6.6,59
231,tt12532919,7.7,176
232,tt12531870,6.3,0
233,tt12535438,5.4,55
237,tt12545129,5.3,95
238,tt12536238,7.9,17
239,tt2302511,6.8,20
240,tt12542126,5.5,15
241,tt2513610,8.0,5
243,tt12542065,7.2,17
245,tt12541919,7.1,28
246,tt12532013,6.4,7
247,tt6876646,8.5,8
248,tt12543632,5.9,8
249,tt12543415,5.0,6
250,tt12542735,7.0,66
251,tt12545321,7.4,5
253,tt12541832,4.0,11
254,tt12545611,7.1,7
255,tt12532704,1.7,26
256,tt12532279,5.4,13
258,tt0457121,7.4,43
259,tt0835031,7.0,8
261,tt0189439,6.9,29
262,tt12536044,6.5,335
263,tt12541068,6.0,231
266,tt12531325,7.3,29
267,tt0493322,3.6,552
268,tt12539664,6.1,116
270,tt12544050,6.4,92
272,tt0954423,7.8,9
273,tt0030861,6.8,24
275,tt12531863,4.6,2149
276,tt12538615,6.5,96
277,tt12538867,7.8,33
278,tt12543861,4.7,28
279,tt12534428,7.5,26
280,tt12542375,1.9,103
284,tt12543389,7.1,19
285,tt0314490,6.0,5
289,tt12537970,6.2,6
290,tt4995922,6.0,5
291,tt12537760,7.3,88
292,tt12544866,4.7,20
294,tt12545898,7.6,15
295,tt12538176,8.0,4
297,tt12533508,1.7,22
298,tt12536597,6.1,5
299,tt12539619,7.7,7
301,tt12542555,6.6,29
304,tt12539679,4.3,5
305,tt12532255,7.1,61
307,tt12536125,6.9,163
308,tt12544079,6.0,1551
310,tt12537301,6.4,36
311,tt1672376,6.4,5
312,tt1754315,8.8,11
314,tt12539242,7.0,6
315,tt12536433,8.5,13
316,tt12536045,6.5,332
317,tt12534012,8.3,12
318,tt12536696,7.0,18
319,tt12538412,5.9,14
320,tt12541065,5.7,10
323,tt12535434,7.2,24
325,tt12536682,6.7,31
326,tt12542380,6.8,11
328,tt7897052,8.2,11
330,tt0210959,7.4,7
334,tt12540918,5.6,426
336,tt0036374,7.8,44
341,tt12539456,7.1,30
342,tt12531526,5.0,835
344,tt12535285,5.9,30
345,tt12532225,6.2,940
346,tt12532388,7.0,14
347,tt12532954,6.5,88
348,tt12537456,7.9,504
350,tt9652752,7.6,13
351,tt12544011,5.6,5
352,tt12543390,7.1,13
353,tt7773250,4.0,5
354,tt12543216,8.7,7
355,tt1144924,6.2,23
357,tt0253409,6.6,36
359,tt12545773,7.3,10
360,tt12542737,6.5,5
361,tt1296418,6.4,5
362,tt12541407,8.8,53
363,tt12534492,5.5,25
365,tt12545395,5.3,16
366,tt12541123,5.9,371
367,tt12535122,8.2,7
368,tt12539290,7.5,1483
369,tt12534401,4.8,448
370,tt6829094,7.4,89
372,tt12541426,7.7,14
373,tt12535110,5.4,87
376,tt12535108,5.2,85
377,tt12535631,4.8,5
379,tt1351264,8.6,20
380,tt12533308,7.9,65
382,tt12545743,7.4,6
383,tt0816629,4.9,243
384,tt12531670,9.7,6
385,tt12539291,7.1,1475
387,tt12532955,6.2,86
388,tt12532727,6.2,6
389,tt0328285,8.4,5
390,tt0205948,7.5,11
393,tt12541032,6.2,16
395,tt12539967,6.9,219
396,tt12535557,7.9,350
398,tt0956193,7.1,30
399,tt12545793,6.1,8
400,tt12539742,5.0,29
401,tt4288938,9.2,9
404,tt12540214,6.8,19
405,tt12535618,5.2,125
406,tt12543236,5.8,6
408,tt11757862,6.4,15
410,tt7867852,6.3,6
414,tt12537090,6.2,2469
417,tt12541324,6.7,5
418,tt3554298,6.0,94
422,tt12542141,5.2,5
424,tt12536712,8.6,15
427,tt12545335,3.2,552
429,tt0052919,6.1,11
430,tt12538548,7.3,109
432,tt12539385,5.9,6
433,tt12541491,6.0,5
434,tt12535619,5.7,123
436,tt12533482,8.1,5
