tid,species,local_language,name,genus
233297,id-745,,,狼寶可夢
238877,rec-728-dup-0,3,누리공,강치포켓몬
238876,rec-728-dup-0,5,Otaquin,Pokémon Otarie
231227,id-538,4,投摔,柔k道寶可夢
225492,id-12,,バタフリdー,ちょうちょポケモン
234368,id-852,5,Poulaf,Pokémon Caorice
238145,rec-800-dup-0,4,奈克洛茲a瑪,稜鏡寶可
237563,rec-867-dup-1,,死神,怨念寶可夢
229898,id-413,5,Chniselle,Pokémon Ver Cacbé
232259,id-641,6,Borsos,Wirbelsturm-P0kémon
233715,id-787,1,カプ・ブルル,とちwがみポwケモン
238206,rec-865-dup-0,4,,黃嘴鴨寶可h夢
229316,id-360,6,Iss0,Strahlelcind-Pokémon
233507,id-766,,投擲m猴,配合寶可夢
238184,rec-10-dup-0,,Catepbie,
227627,id-206,,土龙,地蛇宝可梦
234753,id-890,,ムゲンナ,キョダイポケモン
235218,rec-279-dup-0,7,Peliq0per,Pokémon Av4 Agua
236707,rec-770-dup-0,,,すなのしろポケモン
237329,rec-534-dup-0,3,노보,골포켓몬
236338,rec-846-dup-0,,Arrol<usa,Rush Pokémon
234894,rec-118-dup-0,,Tosaksito,
238878,rec-728-dup-0,,アシマリ,あしかポsケモン
233144,id-729,12,花漾海,偶像宝可b梦n
234463,id-861,11,オーロwン,ビルドアッポケモン
232494,id-664,,粉蝶虫j,喷粉宝可梦
227169,id-165,,芭瓢蟲,五星寶m可夢
228115,id-251,,,時空穿越寶可夢
233246,id-740,,q모단단게,털게포켓몬
229188,id-348,,アーマルドc,かっちゅうポケモン
227493,id-194,9,Wooper,Water Fish Pokémon
227492,id-194,8,Wooper,Pokémon Acquapesce
227490,id-194,6,Felino,Fisch-Pokémon
227494,id-194,11,ウパー,みずうおポケモン
238007,rec-438-dup-0,12,盆才,盆栽可梦s
230338,id-453,5,,Pokémom Toxique
233205,id-736,,アゴムシ,ようちゅうポケモン
230622,id-479,,로토무,플라스마포몬
237597,rec-226-dup-0,8,Matine,Pokémon Aqu8lone
230056,id-427,9,Bunewry,Rabbit Poémon
238443,rec-866-dup-1,8,Mr. Rlme,Pokém0n Comico
230007,id-423,4,海兔k獸,海兔寶可
234488,id-864,,Corayômr,Pokémon Corail
229966,id-419,,,Pokémon Nutria Mar.
