sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,483,1.00,1.00,79,0,54,0,1,7,0.004744446840629717,1.0,0.0094440867138871
1,2,467,1.00,1.00,79,0,54,0,1,7,0.004744446840629717,1.0,0.0094440867138871
1,3,634,1.00,1.00,68,0,54,0,1,9,0.004059040590405904,1.0,0.008085262771040058
1,4,519,1.00,1.00,71,0,54,0,1,9,0.009636443276390714,1.0,0.01908893709327549
2,1,624,1.00,1.00,80,0,54,0,1,9,0.002397036391370669,1.0,0.004782608695652175
2,2,467,1.00,1.00,63,0,54,0,1,7,0.004142346074185652,1.0,0.008250515657228577
2,3,521,1.00,1.00,92,0,72,0,1,9,0.0088,1.0,0.01744647105471848
2,4,466,1.00,1.00,76,0,54,0,1,7,0.004142346074185652,1.0,0.008250515657228577
3,1,521,1.00,1.00,61,0,36,0,1,9,0.010341726618705036,1.0,0.02047174009790832
3,2,481,1.00,1.00,66,0,54,0,1,7,0.0047044385354878294,1.0,0.009364820846905538
3,3,455,1.00,1.00,49,0,36,0,1,7,0.0026800279655092053,1.0,0.005345729227193492
3,4,904,1.00,1.00,71,0,54,0,1,11,0.026744186046511628,1.0,0.052095130237825596
4,1,682,1.00,1.00,74,0,54,0,1,9,0.008528784648187633,1.0,0.016913319238900635
4,2,594,1.00,1.00,67,0,54,0,1,9,0.0029287937030935385,1.0,0.00584048183975178
4,3,975,1.00,1.00,64,0,54,0,1,11,0.2711864406779661,1.0,0.4266666666666667
4,4,474,1.00,1.00,97,0,72,0,1,7,0.003486598387448246,1.0,0.006948968512486429
5,1,542,1.00,1.00,85,0,72,0,1,9,0.012065637065637066,1.0,0.02384358607534573
5,2,510,1.00,1.00,75,0,54,0,1,9,0.0058018101647714084,1.0,0.011536686663590217
5,3,463,1.00,1.00,77,0,54,0,1,7,0.00186219739292365,1.0,0.003717472118959108
5,4,481,1.00,1.00,65,0,54,0,1,7,0.005305602716468591,1.0,0.010555203715431708
