tid,species,generation,evolves_from_species,evolution_chain,color,shape,habitat,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate,forms_switchable,is_legendary,is_mythical,conquest_order
239588,id-71,1,id-70,29,5,5,2,4,45,70,0,20,0,4,0,0,0,
239590,id-73,1,id-72,30,2,10,7,4,60,50,0,20,0,1,0,0,0,
239592,id-75,1,id-74,31,3,12,4,4,120,70,0,15,0,4,0,0,0,
239593,id-76,1,id-75,31,3,12,4,4,45,70,0,15,0,4,0,0,0,
239597,id-748,7,id-747,385,2,10,,4,75,50,0,20,0,2,0,0,0,
239598,id-817,8,id-816,432,2,,,1,45,50,0,20,0,4,0,0,0,
239602,id-788,7,,412,7,4,,-1,3,50,0,15,0,1,0,1,0,
239604,id-115,1,,53,3,6,3,8,45,50,0,20,0,2,1,0,0,
239606,id-5,1,id-4,2,8,6,4,1,45,50,0,20,0,4,0,0,0,110
239607,id-6,1,id-5,2,8,6,4,1,45,50,0,20,0,4,1,0,0,111
239610,id-2,1,id-1,1,5,8,3,1,45,50,0,20,0,4,0,0,0,
239611,id-3,1,id-2,1,5,8,3,1,45,50,0,20,1,4,1,0,0,
239616,id-204,2,,102,4,1,2,4,190,70,0,20,0,2,0,0,0,56
239620,id-200,2,,98,4,1,1,4,45,35,0,25,0,3,0,0,0,183
239626,id-615,5,,311,2,1,,-1,25,50,0,25,0,2,0,0,0,
239627,id-614,5,id-613,310,9,8,,4,60,50,0,20,0,2,0,0,0,105
239629,id-209,2,,105,6,12,8,6,190,70,0,20,0,3,0,0,0,
239634,id-811,8,id-810,430,5,,,1,45,50,0,20,0,4,0,0,0,
239635,id-589,5,id-588,299,4,4,,4,75,50,0,15,0,2,0,0,0,
239636,id-588,5,,299,2,12,,4,200,50,0,15,0,2,0,0,0,
239641,id-813,8,,431,9,,,1,45,50,0,20,0,4,0,0,0,
239642,id-168,2,id-167,85,8,14,2,4,90,70,0,15,0,3,0,0,0,
239644,id-879,8,id-878,460,5,,,4,90,50,0,25,0,2,0,0,0,
239646,id-873,8,id-872,455,9,,,4,75,50,0,20,0,2,0,0,0,
239648,id-871,8,,454,7,,,4,75,50,0,20,0,2,0,0,0,
239649,id-870,8,,453,10,,,-1,45,50,0,25,0,2,0,0,0,
239650,id-877,8,,459,10,,,4,180,50,0,10,0,2,0,0,0,
239654,id-626,5,,318,3,8,,4,45,50,0,20,0,2,0,0,0,
239655,id-509,5,,261,7,8,,4,255,50,0,20,0,2,0,0,0,
239656,id-508,5,id-507,260,4,8,,4,45,50,0,15,0,4,0,0,0,
239658,id-503,5,id-502,258,2,8,,1,45,70,0,20,0,4,0,0,0,108
239659,id-502,5,id-501,258,2,6,,1,45,70,0,20,0,4,0,0,0,107
239662,id-507,5,id-506,260,4,8,,4,120,50,0,15,0,4,0,0,0,
239666,id-161,2,,82,3,8,3,4,255,70,0,15,0,2,0,0,0,
239667,id-625,5,id-624,317,8,12,,4,45,35,0,20,0,2,0,0,0,159
239668,id-756,7,id-755,389,7,12,,4,75,50,0,20,0,2,0,0,0,
239670,id-160,2,id-159,81,2,6,9,1,45,70,0,20,0,4,0,0,0,
239671,id-622,5,,316,5,12,,-1,190,50,0,25,0,2,0,0,0,
239672,id-623,5,id-622,316,5,12,,-1,90,50,0,25,0,2,0,0,0,
239674,id-489,4,,250,2,4,,-1,30,70,0,40,0,1,0,0,1,
239677,id-483,4,,244,9,8,,-1,3,0,0,120,0,1,0,1,0,195
239678,id-480,4,,241,10,6,,-1,3,140,0,80,0,1,0,1,0,
239680,id-486,4,,247,9,12,,-1,3,0,0,120,0,1,0,1,0,
239683,id-485,4,,246,3,8,,4,3,100,0,10,0,1,0,1,0,
239687,id-475,4,id-281,140,9,12,,0,45,35,0,20,0,1,1,0,0,12
239689,id-378,3,,194,2,12,1,-1,3,35,0,80,0,1,0,1,0,
239690,id-379,3,,195,4,12,1,-1,3,35,0,80,0,1,0,1,0,193
239692,id-470,4,id-133,67,5,8,,1,45,35,0,35,0,2,0,0,0,7
239693,id-374,3,,192,2,5,6,-1,3,35,0,40,0,1,0,0,0,82
239696,id-377,3,,193,3,12,1,-1,3,35,0,80,0,1,0,1,0,
239697,id-370,3,,190,6,3,7,6,225,70,0,20,0,3,0,0,0,
239698,id-371,3,,191,2,12,6,4,45,35,0,40,0,1,0,0,0,
239699,id-372,3,id-371,191,9,8,6,4,45,35,0,40,0,1,0,0,0,
239700,id-373,3,id-372,191,2,8,6,4,45,35,0,40,0,1,1,0,0,
239702,id-579,5,id-578,294,5,4,,4,50,50,0,20,0,4,0,0,0,
239706,id-575,5,id-574,293,7,12,,6,100,50,0,20,0,4,0,0,0,64
239708,id-573,5,id-572,292,4,8,,6,60,50,0,15,0,3,0,0,0,97
