1,2
id-458,rec-458-dup-0
id-51,rec-51-dup-0
id-181,rec-181-dup-0
id-45,rec-45-dup-0
id-279,rec-279-dup-0
id-614,rec-614-dup-1
id-34,rec-34-dup-0
rec-166-dup-0,rec-166-dup-1
id-847,rec-847-dup-0
id-82,rec-82-dup-0
rec-311-dup-1,rec-311-dup-0
id-437,rec-437-dup-0
id-549,rec-549-dup-0
id-166,rec-166-dup-0
id-740,rec-740-dup-0
id-829,rec-829-dup-1
id-886,rec-886-dup-0
rec-37-dup-0,rec-37-dup-1
rec-540-dup-1,rec-540-dup-0
id-813,rec-813-dup-0
id-812,rec-812-dup-1
rec-889-dup-0,rec-889-dup-1
id-872,rec-872-dup-0
id-768,rec-768-dup-0
rec-832-dup-1,rec-832-dup-0
id-208,rec-208-dup-0
rec-835-dup-1,rec-835-dup-0
rec-375-dup-0,rec-375-dup-1
id-579,rec-579-dup-0
rec-614-dup-1,rec-614-dup-0
id-382,rec-382-dup-1
rec-786-dup-0,rec-786-dup-1
id-852,rec-852-dup-0
rec-835-dup-0,rec-835-dup-1
rec-331-dup-0,rec-331-dup-1
rec-96-dup-0,rec-96-dup-1
rec-72-dup-0,rec-72-dup-1
rec-626-dup-0,rec-626-dup-1
rec-249-dup-1,rec-249-dup-0
rec-691-dup-0,rec-691-dup-1
id-134,rec-134-dup-0
rec-812-dup-1,rec-812-dup-0
id-368,rec-368-dup-0
rec-832-dup-0,rec-832-dup-1
id-481,rec-481-dup-1
id-166,rec-166-dup-1
id-37,rec-37-dup-1
id-694,rec-694-dup-0
id-614,rec-614-dup-0
rec-241-dup-1,rec-241-dup-0
rec-398-dup-1,rec-398-dup-0
id-149,rec-149-dup-1
id-773,rec-773-dup-1
rec-398-dup-0,rec-398-dup-1
rec-867-dup-1,rec-867-dup-0
id-134,rec-134-dup-1
rec-331-dup-1,rec-331-dup-0
rec-395-dup-1,rec-395-dup-0
id-10,rec-10-dup-0
rec-311-dup-0,rec-311-dup-1
rec-368-dup-0,rec-368-dup-1
rec-431-dup-1,rec-431-dup-0
id-302,rec-302-dup-0
id-443,rec-443-dup-0
id-431,rec-431-dup-1
id-171,rec-171-dup-0
rec-721-dup-0,rec-721-dup-1
rec-626-dup-1,rec-626-dup-0
id-297,rec-297-dup-0
id-808,rec-808-dup-0
id-431,rec-431-dup-0
rec-34-dup-1,rec-34-dup-0
id-368,rec-368-dup-1
id-812,rec-812-dup-0
id-196,rec-196-dup-1
rec-419-dup-1,rec-419-dup-0
rec-614-dup-0,rec-614-dup-1
id-152,rec-152-dup-0
id-443,rec-443-dup-1
id-591,rec-591-dup-1
id-259,rec-259-dup-0
id-776,rec-776-dup-0
id-50,rec-50-dup-1
rec-375-dup-1,rec-375-dup-0
id-728,rec-728-dup-0
id-398,rec-398-dup-1
id-616,rec-616-dup-1
rec-134-dup-1,rec-134-dup-0
id-343,rec-343-dup-0
id-849,rec-849-dup-0
id-448,rec-448-dup-1
id-34,rec-34-dup-1
rec-431-dup-0,rec-431-dup-1
id-864,rec-864-dup-0
id-563,rec-563-dup-0
rec-438-dup-1,rec-438-dup-0
id-794,rec-794-dup-0
rec-812-dup-0,rec-812-dup-1
id-784,rec-784-dup-0
id-894,rec-894-dup-0
id-398,rec-398-dup-0
id-626,rec-626-dup-0
rec-778-dup-0,rec-778-dup-1
id-372,rec-372-dup-0
rec-395-dup-0,rec-395-dup-1
rec-37-dup-1,rec-37-dup-0
id-867,rec-867-dup-1
id-219,rec-219-dup-0
id-387,rec-387-dup-0
id-192,rec-192-dup-1
rec-241-dup-0,rec-241-dup-1
rec-591-dup-0,rec-591-dup-1
id-701,rec-701-dup-0
id-167,rec-167-dup-0
rec-591-dup-1,rec-591-dup-0
rec-271-dup-1,rec-271-dup-0
rec-82-dup-0,rec-82-dup-1
id-800,rec-800-dup-0
id-236,rec-236-dup-0
rec-271-dup-0,rec-271-dup-1
rec-443-dup-0,rec-443-dup-1
id-604,rec-604-dup-0
id-714,rec-714-dup-1
rec-826-dup-1,rec-826-dup-0
id-82,rec-82-dup-1
id-347,rec-347-dup-0
rec-368-dup-1,rec-368-dup-0
rec-867-dup-0,rec-867-dup-1
rec-786-dup-1,rec-786-dup-0
rec-34-dup-0,rec-34-dup-1
rec-249-dup-0,rec-249-dup-1
rec-419-dup-0,rec-419-dup-1
rec-728-dup-0,rec-728-dup-1
rec-443-dup-1,rec-443-dup-0
id-419,rec-419-dup-0
id-126,rec-126-dup-0
id-280,rec-280-dup-0
rec-438-dup-0,rec-438-dup-1
rec-134-dup-0,rec-134-dup-1
rec-721-dup-1,rec-721-dup-0
id-416,rec-416-dup-0
rec-826-dup-0,rec-826-dup-1
id-574,rec-574-dup-0
id-37,rec-37-dup-0
rec-82-dup-1,rec-82-dup-0
id-835,rec-835-dup-1
rec-728-dup-1,rec-728-dup-0
id-585,rec-585-dup-0
rec-166-dup-1,rec-166-dup-0
id-379,rec-379-dup-0
id-756,rec-756-dup-0
id-626,rec-626-dup-1
id-601,rec-601-dup-0
id-817,rec-817-dup-0
id-867,rec-867-dup-0
id-419,rec-419-dup-1
id-598,rec-598-dup-0
id-724,rec-724-dup-0
id-728,rec-728-dup-1
rec-540-dup-0,rec-540-dup-1
id-636,rec-636-dup-1
id-550,rec-550-dup-0
id-591,rec-591-dup-0
id-421,rec-421-dup-0
rec-778-dup-1,rec-778-dup-0
id-124,rec-124-dup-0
rec-691-dup-1,rec-691-dup-0
rec-72-dup-1,rec-72-dup-0
rec-889-dup-1,rec-889-dup-0
rec-96-dup-1,rec-96-dup-0
id-734,rec-734-dup-0
id-835,rec-835-dup-0
