1,2
rec-18-dup-0,rec-18-dup-1
id-458,rec-458-dup-0
rec-19-dup-1,rec-19-dup-0
id-51,rec-51-dup-0
id-205,rec-205-dup-0
id-181,rec-181-dup-0
rec-317-dup-0,rec-317-dup-1
id-45,rec-45-dup-0
id-826,rec-826-dup-0
id-568,rec-568-dup-0
id-803,rec-803-dup-0
id-450,rec-450-dup-0
id-573,rec-573-dup-0
id-279,rec-279-dup-0
id-614,rec-614-dup-1
rec-196-dup-0,rec-196-dup-1
id-16,rec-16-dup-0
rec-448-dup-0,rec-448-dup-1
id-34,rec-34-dup-0
rec-364-dup-1,rec-364-dup-0
id-539,rec-539-dup-0
rec-166-dup-0,rec-166-dup-1
id-847,rec-847-dup-0
rec-207-dup-0,rec-207-dup-1
id-826,rec-826-dup-1
rec-568-dup-1,rec-568-dup-0
id-775,rec-775-dup-0
id-829,rec-829-dup-0
rec-42-dup-1,rec-42-dup-0
rec-317-dup-1,rec-317-dup-0
id-82,rec-82-dup-0
rec-714-dup-0,rec-714-dup-1
rec-311-dup-1,rec-311-dup-0
rec-239-dup-0,rec-239-dup-1
rec-590-dup-1,rec-590-dup-0
id-252,rec-252-dup-0
id-437,rec-437-dup-0
rec-252-dup-0,rec-252-dup-1
id-549,rec-549-dup-0
rec-173-dup-0,rec-173-dup-1
rec-124-dup-1,rec-124-dup-0
id-101,rec-101-dup-0
id-166,rec-166-dup-0
id-740,rec-740-dup-0
id-829,rec-829-dup-1
rec-836-dup-0,rec-836-dup-1
id-886,rec-886-dup-0
rec-616-dup-0,rec-616-dup-1
rec-37-dup-0,rec-37-dup-1
id-33,rec-33-dup-0
rec-540-dup-1,rec-540-dup-0
id-547,rec-547-dup-0
id-147,rec-147-dup-0
rec-3-dup-1,rec-3-dup-0
id-813,rec-813-dup-0
id-812,rec-812-dup-1
id-18,rec-18-dup-1
rec-240-dup-1,rec-240-dup-0
rec-824-dup-1,rec-824-dup-0
rec-207-dup-1,rec-207-dup-0
rec-889-dup-0,rec-889-dup-1
id-540,rec-540-dup-0
rec-161-dup-1,rec-161-dup-0
id-872,rec-872-dup-0
rec-52-dup-1,rec-52-dup-0
id-252,rec-252-dup-1
id-192,rec-192-dup-0
id-801,rec-801-dup-0
