1,2
id-458,rec-458-dup-0
id-205,rec-205-dup-0
rec-317-dup-0,rec-317-dup-1
rec-866-dup-0,rec-866-dup-1
id-45,rec-45-dup-0
id-568,rec-568-dup-0
id-450,rec-450-dup-0
id-356,rec-356-dup-0
id-279,rec-279-dup-0
rec-196-dup-0,rec-196-dup-1
id-16,rec-16-dup-0
rec-556-dup-1,rec-556-dup-0
rec-448-dup-0,rec-448-dup-1
id-34,rec-34-dup-0
id-539,rec-539-dup-0
id-682,rec-682-dup-0
rec-207-dup-0,rec-207-dup-1
rec-568-dup-1,rec-568-dup-0
id-775,rec-775-dup-0
id-829,rec-829-dup-0
rec-317-dup-1,rec-317-dup-0
id-82,rec-82-dup-0
rec-571-dup-1,rec-571-dup-0
rec-397-dup-1,rec-397-dup-0
rec-714-dup-0,rec-714-dup-1
rec-311-dup-1,rec-311-dup-0
rec-590-dup-1,rec-590-dup-0
id-252,rec-252-dup-0
id-437,rec-437-dup-0
rec-252-dup-0,rec-252-dup-1
rec-40-dup-1,rec-40-dup-0
rec-50-dup-0,rec-50-dup-1
rec-173-dup-0,rec-173-dup-1
rec-124-dup-1,rec-124-dup-0
id-101,rec-101-dup-0
id-740,rec-740-dup-0
rec-836-dup-0,rec-836-dup-1
rec-616-dup-0,rec-616-dup-1
rec-704-dup-0,rec-704-dup-1
id-33,rec-33-dup-0
id-547,rec-547-dup-0
id-109,rec-109-dup-0
rec-3-dup-1,rec-3-dup-0
id-813,rec-813-dup-0
id-812,rec-812-dup-1
id-345,rec-345-dup-0
rec-240-dup-1,rec-240-dup-0
rec-824-dup-1,rec-824-dup-0
rec-207-dup-1,rec-207-dup-0
id-71,rec-71-dup-0
rec-161-dup-1,rec-161-dup-0
rec-316-dup-0,rec-316-dup-1
id-252,rec-252-dup-1
id-801,rec-801-dup-0
id-356,rec-356-dup-1
id-768,rec-768-dup-0
rec-832-dup-1,rec-832-dup-0
id-427,rec-427-dup-1
id-208,rec-208-dup-0
id-204,rec-204-dup-0
id-207,rec-207-dup-0
id-124,rec-124-dup-1
id-598,rec-598-dup-1
id-36,rec-36-dup-0
id-579,rec-579-dup-0
id-300,rec-300-dup-0
rec-552-dup-0,rec-552-dup-1
id-214,rec-214-dup-0
id-382,rec-382-dup-1
id-142,rec-142-dup-0
rec-3-dup-0,rec-3-dup-1
rec-786-dup-0,rec-786-dup-1
rec-520-dup-0,rec-520-dup-1
id-704,rec-704-dup-1
id-118,rec-118-dup-0
rec-331-dup-0,rec-331-dup-1
