sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,23,0.97,0.55,2666,2186,4766,86,4,34,0.8417085427135679,0.9605734767025089,0.8972212922664882
1,2,19,0.96,0.59,2849,2018,4735,132,5,37,0.6964824120603015,0.9774330042313117,0.8133802816901409
1,3,14,0.97,0.82,2960,668,3525,103,5,39,0.20160332541567696,0.9672364672364673,0.3336609336609337
1,4,18,0.97,0.76,3801,1191,4871,121,5,41,0.8245614035087719,0.9690721649484536,0.8909952606635071
2,1,18,0.96,0.67,2985,1474,4337,122,6,46,0.4393203883495146,0.9761797752808988,0.6059422513600223
2,2,12,0.98,0.92,3448,305,3678,75,1,7,0.9151670951156813,0.9678296329859538,0.9407619467077737
2,3,13,0.95,0.49,2012,2089,4002,99,4,28,0.06825334382376082,0.7572285870158211,0.12521990166448646
2,4,18,0.96,0.72,3407,1358,4621,144,4,30,0.0970170058544745,0.956481905634448,0.17616536595654925
3,1,18,0.97,0.50,2135,2122,4189,68,3,23,0.921146953405018,0.9135071090047393,0.9173111243307555
3,2,14,0.97,0.64,2536,1408,3864,80,3,23,0.31655480984340045,0.9614949037372593,0.4762973352033661
3,3,22,0.96,0.49,2056,2156,4125,87,5,41,0.14646074646074647,0.765814266487214,0.24589455488331896
3,4,17,0.96,0.80,4161,1044,5034,171,6,48,0.6330275229357798,0.9489971346704871,0.7594588397156615
4,1,17,0.96,0.73,3347,1230,4427,150,6,46,0.13634983297904646,0.9291257113295396,0.23780205230056276
4,2,21,0.96,0.50,2039,2044,4005,78,4,32,0.19617943764756385,0.9379168804515136,0.32448744119996453
4,3,16,0.95,0.60,2584,1710,4167,127,4,30,0.10703540847026151,0.9438775510204082,0.19226771980877155
4,4,17,0.97,0.73,2555,945,3424,76,5,39,0.15000756086496295,0.978786383818451,0.2601455451386613
5,1,16,0.97,0.70,2761,1194,3864,91,4,32,0.394263862332696,0.9476102941176471,0.5568458007021334
5,2,18,0.96,0.64,2957,1679,4510,126,5,37,0.06363112391930836,0.9817696754112939,0.11951608974532466
5,3,19,0.96,0.60,2839,1903,4620,122,4,28,0.40293040293040294,0.927400468384075,0.5617818130231238
5,4,17,0.96,0.68,3168,1497,4520,145,4,32,0.1615614493836384,0.8606965174129353,0.27205535461550556
