sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,147,0.93,0.78,7185,2031,8710,506,19,169,0.10102229163708647,0.9906021580229725,0.18334675471090353
1,2,163,0.94,0.78,7550,2073,9108,515,18,160,0.3607060629316961,0.986013986013986,0.5281887994006368
1,3,171,0.94,0.75,7142,2370,9017,495,18,160,0.25278676734987415,0.9845938375350141,0.4022889842632332
2,1,156,0.93,0.76,7988,2475,9841,622,21,185,0.2958801498127341,0.9853006681514477,0.45509721222096494
2,2,142,0.93,0.76,7910,2440,9751,599,17,149,0.40065028901734107,0.9866548042704626,0.5698869475847893
2,3,158,0.93,0.79,7957,2071,9424,604,20,178,0.2858984274297499,0.9866548042704626,0.44333399960023984
3,1,179,0.93,0.74,7654,2758,9817,595,25,223,0.14697020421827922,0.9782729805013928,0.25554827912391764
3,2,136,0.93,0.76,7160,2201,8853,508,25,219,0.06871707468236753,0.983370288248337,0.12845763939174512
3,3,171,0.94,0.72,7146,2786,9445,487,13,115,0.3523102310231023,0.9644268774703557,0.5160900438132648
4,1,180,0.93,0.76,8030,2500,9927,603,18,160,0.40300276570525484,0.9927007299270073,0.5732752564282704
4,2,168,0.93,0.77,7779,2373,9531,621,23,205,0.12830803963376394,0.9941690962099126,0.22728282603865807
4,3,151,0.94,0.76,6856,2169,8556,469,20,178,0.3312763884378045,0.9927007299270073,0.49677340801168873
5,1,162,0.92,0.76,7614,2432,9418,628,22,196,0.2637388445279474,0.9902998236331569,0.4165430267062315
5,2,159,0.93,0.74,7623,2625,9653,595,19,169,0.2777354658542777,0.9772219740955784,0.43253929030344956
5,3,141,0.93,0.76,7637,2462,9485,614,24,212,0.06970424671385238,0.9813167259786477,0.13016285107387301
