sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,149,0.89,0.48,8585,9165,16679,1071,4,36,0.947008547008547,0.8663017982799062,0.9048591261739485
1,2,153,0.89,0.40,6973,10608,16686,895,4,34,0.8359522313010685,0.9568345323741008,0.8923180140892318
2,1,117,0.90,0.41,7038,10217,16459,796,4,34,0.9541511771995044,0.8067050811943426,0.8742548963951178
2,2,130,0.89,0.45,7576,9077,15754,899,5,43,0.8040485829959514,0.9315196998123827,0.863102998696219
3,1,149,0.88,0.45,8747,10617,18225,1139,3,25,0.8987951807228916,0.8971737823211064,0.8979837496238338
3,2,112,0.88,0.34,5747,10930,15930,747,3,25,0.9327296248382924,0.8803418803418803,0.9057788944723617
4,1,140,0.90,0.52,9201,8624,16810,1015,4,34,0.7617845117845118,0.9329896907216495,0.8387395736793326
4,2,157,0.89,0.40,6814,10174,16116,872,4,36,0.685690653432589,0.8894849785407726,0.7744044838860346
5,1,137,0.90,0.47,8409,9395,16853,951,3,25,0.9583333333333334,0.7972689075630253,0.8704128440366974
5,2,110,0.90,0.41,7275,10569,17054,790,2,16,0.9959514170040485,0.7838555496548062,0.8772659732540862
