theta,delta,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
0.5,1,329,0.85,0.17,3072,14753,17269,556,,315,0.38675496688741723,0.43582089552238806,0.4098245614035088,0.24452782989368355,0.5483870967741935,0.3382352941176471
0.5,0.6,338,0.85,0.17,3070,14755,17269,556,,317,0.38675496688741723,0.43582089552238806,0.4098245614035088,0.24452782989368355,0.5483870967741935,0.3382352941176471
0.5,0.4,361,0.85,0.17,3068,14757,17273,552,,328,0.38675496688741723,0.43582089552238806,0.4098245614035088,0.24405506883604505,0.5473684210526316,0.3375892663925557
0.5,0.25,356,0.86,0.17,2962,14863,17349,476,,301,0.5516528925619835,0.40608365019011405,0.46780551905387646,0.3117505995203837,0.5473684210526316,0.39724980901451495
0.5,0.2,332,0.87,0.13,2404,15421,17456,369,,114,0.8663366336633663,0.28618152085036797,0.430239704978488,0.43159203980099503,0.5021707670043415,0.4642140468227424
0.5,0.15,215,0.90,0.03,455,17370,17773,52,,20,1.0,0.03745318352059925,0.07220216606498195,1.0,0.1043956043956044,0.1890547263681592
0.5,0.1,190,1.00,0.00,15,17810,17825,0,,20,,,,1.0,0.0019305019305019305,0.0038535645472061652
1,1,412,0.84,0.30,5376,12449,16801,1024,,310,0.20306859205776173,0.6008010680907877,0.30354131534569984,0.11498843809123398,0.6915297092288243,0.1971881759192502
1,0.6,419,0.84,0.30,5374,12451,16801,1024,,301,0.20306859205776173,0.6008010680907877,0.30354131534569984,0.11498843809123398,0.6915297092288243,0.1971881759192502
1,0.4,436,0.84,0.30,5349,12476,16827,998,,292,0.21672439386442355,0.5895020188425303,0.31693198263386396,0.11907894736842105,0.688212927756654,0.20302860347728546
1,0.25,463,0.88,0.29,5219,12606,17095,730,,280,0.5267857142857143,0.5653661875427789,0.5453945196434468,0.3426930440331844,0.683206106870229,0.45643858903527407
1,0.2,439,0.89,0.27,4845,12980,17237,588,,150,0.9887323943661972,0.5017869907076483,0.6657183499288761,0.7431192660550459,0.6390532544378699,0.687168610816543
1,0.15,418,0.89,0.17,3043,14782,17452,373,,67,1.0,0.4169184290030212,0.5884861407249466,1.0,0.511861969805895,0.6771279125059438
1,0.1,219,1.00,0.00,15,17810,17825,0,,20,,,,1.0,0.0019305019305019305,0.0038535645472061652
1.5,1,454,0.85,0.49,8738,9087,16258,1567,,340,0.3131595282433271,0.9810403500243072,0.4747676743912481,0.09819401954011645,0.9802955665024631,0.1785073555794761
1.5,0.6,450,0.85,0.49,8738,9087,16258,1567,,340,0.3131595282433271,0.9810403500243072,0.4747676743912481,0.09819401954011645,0.9802955665024631,0.1785073555794761
1.5,0.4,484,0.85,0.49,8735,9090,16282,1543,,360,0.3131595282433271,0.9810403500243072,0.4747676743912481,0.09954977488744372,0.9802955665024631,0.18074477747502274
1.5,0.25,538,0.89,0.48,8522,9303,16752,1073,,348,0.6013513513513513,0.9659595461272817,0.7412455044482301,0.37141779788838614,0.9752475247524752,0.5379574003276898
1.5,0.2,549,0.90,0.47,8343,9482,16889,936,,267,0.9161793372319688,0.9456740442655935,0.9306930693069306,0.5675043834015195,0.9680957128614157,0.7155490051584378
1.5,0.15,537,0.91,0.36,6395,11430,17161,664,,133,1.0,0.8043354249857387,0.8915586468542523,1.0,0.9012738853503185,0.948073701842546
1.5,0.1,140,0.94,0.00,15,17810,17824,1,,20,,,,1.0,0.0019305019305019305,0.0038535645472061652
2,1,449,0.82,0.55,9870,7955,15595,2230,,288,0.13157213157213157,0.9844961240310077,0.23212245830477493,0.09613907030349597,0.9833005893909627,0.1751531058617673
2,0.6,443,0.84,0.55,9863,7962,15904,1921,,270,0.13157213157213157,0.9844961240310077,0.23212245830477493,0.09613907030349597,0.9833005893909627,0.1751531058617673
2,0.4,458,0.85,0.55,9849,7976,16034,1791,,281,0.2885543879579665,0.9844961240310077,0.4462991434219196,0.09744937694704049,0.9833005893909627,0.17732506643046944
2,0.25,520,0.88,0.54,9704,8121,16506,1319,,258,0.6877551020408164,0.982030111704711,0.8089617923584717,0.3524416135881104,0.9807976366322009,0.5185474424053105
2,0.2,523,0.90,0.52,9269,8556,16757,1068,,224,0.9143407122232916,0.950950950950951,0.9322865554465162,0.5707656612529002,0.974739970282318,0.7199561002377903
2,0.15,554,0.91,0.44,7823,10002,17012,813,,74,1.0,0.9071949947862357,0.9513395297977036,1.0,0.92018779342723,0.9584352078239609
2,0.1,189,0.94,0.00,15,17810,17824,1,,20,,,,1.0,0.0019305019305019305,0.0038535645472061652
2.5,1,383,0.82,0.69,12233,5592,15149,2676,,298,0.06986190089358245,0.9923076923076923,0.13053377181887174,0.0846957694252486,0.9852941176470589,0.15598323762222566
2.5,0.6,394,0.84,0.69,12224,5601,15537,2288,,282,0.11763364869485923,0.9923076923076923,0.21033323142769794,0.09032084119708816,0.9852941176470589,0.1654729562855026
2.5,0.4,419,0.85,0.68,12195,5630,15693,2132,,293,0.2480173035328046,0.9923076923076923,0.3968467602384157,0.0915133855399745,0.9852941176470589,0.16747208798533575
2.5,0.25,465,0.88,0.68,12069,5756,16117,1708,,279,0.36431358637814826,0.9898795180722891,0.5326072863995851,0.29205607476635514,0.9828009828009828,0.45029832263874825
2.5,0.2,495,0.89,0.65,11615,6210,16428,1397,,218,0.6110056925996205,0.9592850049652433,0.7465224111282844,0.512182477967859,0.9767671774592189,0.6719945587485122
