theta,delta,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
0.5,1,146,0.85,0.10,1760,16065,17517,308,7,65,0.9448275862068966,0.23122362869198312,0.37152542372881353,0.788961038961039,0.38028169014084506,0.5131995776135163
0.5,0.6,150,0.85,0.11,1912,15913,17498,327,7,65,0.9876543209876543,0.26490066225165565,0.41775456919060056,0.7604456824512534,0.41743119266055045,0.5389930898321816
0.5,0.4,147,0.86,0.11,1887,15938,17511,314,7,65,0.9490445859872612,0.24895572263993315,0.39444076770350756,0.7201017811704835,0.4294385432473445,0.538022813688213
0.5,0.25,157,0.85,0.10,1698,16127,17529,296,6,56,0.9801324503311258,0.24749163879598662,0.3951935914552737,0.8416666666666667,0.3265966046887631,0.47058823529411764
0.5,0.2,170,0.86,0.08,1503,16322,17586,239,5,51,0.9775280898876404,0.15330396475770924,0.26504188880426505,0.9850746268656716,0.2262210796915167,0.36794425087108007
0.5,0.15,179,0.87,0.03,506,17319,17752,73,2,18,1.0,0.048417132216014895,0.09236234458259324,1.0,0.10612991765782251,0.19189412737799835
0.5,0.1,174,1.00,0.00,15,17810,17825,0,3,29,,,,1.0,0.0019305019305019305,0.0038535645472061652
1,1,84,0.84,0.18,3154,14671,17246,579,6,52,0.49776785714285715,0.35090479937057434,0.4116289801568989,0.66,0.51931330472103,0.5812650120096077
1,0.6,85,0.85,0.18,3213,14612,17269,556,6,52,0.554726368159204,0.35090479937057434,0.4298795180722891,0.42934196332254587,0.5554780181437544,0.4843322178278065
1,0.4,111,0.85,0.17,3064,14761,17264,561,6,52,0.4823232323232323,0.3083131557707829,0.3761693746922698,0.703125,0.5161290322580645,0.5952873088052915
1,0.25,113,0.88,0.17,3015,14810,17411,414,5,45,0.9153439153439153,0.2833742833742834,0.4327704815509694,0.96398891966759,0.5032537960954447,0.6612826603325417
1,0.2,133,0.86,0.12,2130,15695,17487,338,5,47,0.9710144927536232,0.22673434856175972,0.3676268861454047,0.9743589743589743,0.36104513064133015,0.5268630849220104
1,0.15,155,0.89,0.15,2648,15177,17506,319,3,29,1.0,0.356078431372549,0.525159051474841,1.0,0.4294385432473445,0.6008492569002124
1,0.1,179,1.00,0.00,15,17810,17825,0,2,20,,,,1.0,0.0019305019305019305,0.0038535645472061652
1.5,1,71,0.86,0.30,5370,12455,16928,897,7,57,0.5555555555555556,0.5673274094326726,0.5613797768008116,0.6057803468208093,0.6722257857601026,0.6372757677105503
1.5,0.6,69,0.86,0.31,5439,12386,16919,906,7,57,0.5608465608465608,0.5760869565217391,0.5683646112600537,0.6120591581342435,0.684043229497775,0.646052236565596
1.5,0.4,89,0.86,0.30,5307,12518,16958,867,7,59,0.616793893129771,0.5564738292011019,0.5850832729905864,0.6498771498771498,0.6764705882352942,0.662907268170426
1.5,0.25,142,0.90,0.32,5754,12071,17152,673,6,54,0.9642147117296223,0.6327462491846053,0.7640803465931469,0.8920741989881956,0.6764705882352942,0.7694545454545455
1.5,0.2,137,0.89,0.28,4913,12912,17234,591,5,45,0.9844789356984479,0.5951742627345844,0.7418546365914787,0.9345991561181435,0.5994587280108254,0.7304204451772466
1.5,0.15,182,0.91,0.33,5939,11886,17222,603,4,38,1.0,0.7677836566725456,0.8686398403724642,1.0,0.7078651685393258,0.8289473684210525
1.5,0.1,205,1.00,0.00,15,17810,17825,0,3,29,,,,1.0,0.0019305019305019305,0.0038535645472061652
2,1,68,0.86,0.35,6220,11605,16841,984,7,57,0.5614266842800528,0.5770536320434487,0.5691329092735186,0.6341201716738197,0.7269372693726938,0.6773638968481376
2,0.6,66,0.86,0.35,6220,11605,16841,984,7,57,0.5614266842800528,0.5770536320434487,0.5691329092735186,0.6341201716738197,0.7269372693726938,0.6773638968481376
2,0.4,87,0.86,0.30,5307,12518,16958,867,7,59,0.616793893129771,0.5564738292011019,0.5850832729905864,0.6498771498771498,0.6764705882352942,0.662907268170426
2,0.25,137,0.90,0.37,6661,11164,17079,746,6,54,0.9638009049773756,0.5780189959294437,0.7226463104325701,0.7660668380462725,0.7308399754751687,0.7480389080640101
2,0.2,165,0.90,0.37,6648,11177,17101,724,6,54,0.9634703196347032,0.5741496598639456,0.7195225916453538,0.8119891008174387,0.7308399754751687,0.7692804130364634
2,0.15,185,0.91,0.35,6153,11672,17187,638,4,36,1.0,0.7792661619103087,0.8759410801963994,1.0,0.7261538461538461,0.8413547237076648
2,0.1,204,1.00,0.00,15,17810,17825,0,2,20,,,,1.0,0.0019305019305019305,0.0038535645472061652
2.5,1,64,0.86,0.32,5776,12049,16879,946,7,57,0.5714285714285714,0.6137566137566137,0.5918367346938775,0.5675925925925925,0.7439320388349514,0.64390756302521
2.5,0.6,68,0.86,0.32,5776,12049,16879,946,7,57,0.5714285714285714,0.6137566137566137,0.5918367346938775,0.5675925925925925,0.7439320388349514,0.64390756302521
2.5,0.4,89,0.86,0.32,5672,12153,16935,890,7,59,0.7272727272727273,0.5913978494623656,0.6523350630096367,0.5832521908471275,0.7331701346389229,0.6496746203904555
2.5,0.25,141,0.90,0.34,6048,11777,17133,692,6,54,0.9635627530364372,0.6246719160104987,0.7579617834394904,0.7835723598435462,0.7347188264058679,0.7583596214511041
2.5,0.2,152,0.89,0.32,5659,12166,17117,708,6,54,0.8666666666666667,0.605455755156354,0.7128867998433216,0.6124197002141327,0.7118855009334163,0.6584172661870503
2.5,0.15,196,0.90,0.34,6028,11797,17137,688,3,27,0.953168044077135,0.7954022988505747,0.8671679197994987,0.8803317535545023,0.8357705286839145,0.8574725908828621
2.5,0.1,197,1.00,0.00,15,17810,17825,0,2,20,,,,1.0,0.0019305019305019305,0.0038535645472061652
3,1,38,0.85,0.45,8034,9791,16413,1412,5,39,0.7549407114624506,0.9535696455317024,0.842709022722259,0.30505812126924287,0.9680957128614157,0.46392737697085523
3,0.6,42,0.85,0.46,8126,9699,16381,1444,5,39,0.7549407114624506,0.9535696455317024,0.842709022722259,0.3046067063616421,0.968609865470852,0.46346406007867447
3,0.4,55,0.85,0.45,8082,9743,16385,1440,6,48,0.6110761485210825,0.9618623080733036,0.7473542428324034,0.3082901554404145,0.9582284851534978,0.46649516109273553
3,0.25,108,0.89,0.43,7643,10182,16841,984,5,43,0.8388278388278388,0.9327902240325866,0.8833172613307618,0.6252559726962458,0.93900563813429,0.7506658471624668
3,0.2,116,0.89,0.42,7555,10270,16873,952,5,43,0.8388278388278388,0.9327902240325866,0.8833172613307618,0.6280027453671929,0.9384615384615385,0.752467105263158
3,0.15,138,0.89,0.45,7939,9886,16859,966,4,34,0.85941893158388,0.9333333333333333,0.894852403025128,0.70141065830721,0.927461139896373,0.7987505577867025
3,0.1,183,1.00,0.00,15,17810,17825,0,2,20,,,,1.0,0.0019305019305019305,0.0038535645472061652
3.5,1,38,0.85,0.46,8126,9699,16381,1444,5,39,0.7549407114624506,0.9535696455317024,0.842709022722259,0.3046067063616421,0.968609865470852,0.46346406007867447
3.5,0.6,39,0.85,0.46,8126,9699,16381,1444,5,39,0.7549407114624506,0.9535696455317024,0.842709022722259,0.3046067063616421,0.968609865470852,0.46346406007867447
