theta,delta,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
0.5,1,310,0.84,0.14,2568,16076,18162,482,,357,0.26533996683250416,0.3018867924528302,0.2824360105913504,0.22802704363859866,0.5277382645803699,0.3184549356223176
0.5,0.6,319,0.84,0.14,2568,16076,18155,489,,357,0.26533996683250416,0.3018867924528302,0.2824360105913504,0.22774708410067526,0.5277382645803699,0.3181818181818182
0.5,0.4,319,0.84,0.14,2563,16081,18161,483,,372,0.26533996683250416,0.3018867924528302,0.2824360105913504,0.22727272727272727,0.5266903914590747,0.31752842737609954
0.5,0.25,313,0.86,0.11,2106,16538,18287,357,,221,0.7174887892376681,0.3018867924528302,0.42496679946879146,0.6196911196911197,0.47345132743362833,0.536789297658863
0.5,0.2,295,0.86,0.08,1517,17127,18400,244,,92,0.8888888888888888,0.16326530612244897,0.27586206896551724,0.968,0.3790133124510572,0.5447383230163197
0.5,0.15,171,0.89,0.00,55,18589,18637,7,,29,,,,1.0,0.011527377521613832,0.02279202279202279
0.5,0.1,201,0.95,0.00,21,18623,18643,1,,22,,,,1.0,0.0019305019305019305,0.0038535645472061652
1,1,436,0.84,0.29,5376,13268,17599,1045,,339,0.13374635568513119,0.579321231254933,0.217320503330866,0.19388909845341382,0.6636539703034215,0.3001021748649832
1,0.6,437,0.84,0.29,5376,13268,17599,1045,,339,0.13374635568513119,0.579321231254933,0.217320503330866,0.19388909845341382,0.6636539703034215,0.3001021748649832
1,0.4,461,0.84,0.29,5372,13272,17611,1033,,339,0.13374635568513119,0.579321231254933,0.217320503330866,0.19388909845341382,0.6636539703034215,0.3001021748649832
1,0.25,496,0.88,0.27,5077,13567,17922,722,,262,0.71900826446281,0.5576923076923077,0.628158844765343,0.4837758112094395,0.6444007858546169,0.552653748946925
1,0.2,474,0.88,0.23,4365,14279,18039,605,,139,0.8586956521739131,0.5197368421052632,0.6475409836065573,0.7820267686424475,0.5664819944598338,0.6570281124497993
1,0.15,295,0.89,0.07,1397,17247,18469,175,,29,1.0,0.2,0.33333333333333337,1.0,0.1534344335414808,0.26604795050270685
1,0.1,193,1.00,0.00,5,18639,18644,0,,20,,,,1.0,0.0019305019305019305,0.0038535645472061652
1.5,1,509,0.83,0.48,8894,9750,16842,1802,,395,0.13953488372093023,0.8047808764940239,0.2378335949764521,0.09732261020054973,0.9603214465092919,0.17673429773073904
1.5,0.6,506,0.84,0.48,8891,9753,16972,1672,,386,0.14242068155111634,0.8047808764940239,0.24201277955271566,0.09732261020054973,0.9603214465092919,0.17673429773073904
1.5,0.4,518,0.85,0.48,8886,9758,17084,1560,,406,0.14574314574314573,0.8047808764940239,0.24679291386682953,0.09758089210982954,0.9603214465092919,0.1771600648598564
1.5,0.25,574,0.88,0.45,8478,10166,17523,1121,,345,0.7218137254901961,0.791134989926125,0.7548862544056393,0.3658153241650295,0.9471007121057986,0.5277777777777778
1.5,0.2,548,0.90,0.39,7316,11328,17813,831,,190,0.9723756906077348,0.7394957983193278,0.8400954653937948,1.0,0.8762214983713354,0.9340277777777778
1.5,0.15,466,0.89,0.21,3917,14727,18171,473,,130,1.0,0.5553772070626003,0.7141382868937047,1.0,0.6088709677419355,0.7568922305764411
1.5,0.1,202,1.00,0.00,5,18639,18644,0,,20,,,,1.0,0.0019305019305019305,0.0038535645472061652
2,1,488,0.82,0.56,10435,8209,16314,2330,,301,0.17297979797979798,0.9547038327526133,0.29289150187065743,0.09604302727621974,0.9828009828009828,0.1749857824051796
