idDBLP,idACM
conf/sigmod/ChaudhuriDN01,375694
conf/sigmod/RinfretOO01,375669
conf/sigmod/BreunigKKS01,375672
conf/sigmod/NazeriBO01,375743
conf/sigmod/ChenZCKR01,375789
conf/sigmod/BohmBKK01,375714
conf/sigmod/HernandezMHYHT01,375767
conf/sigmod/LeeWMS01,375709
conf/sigmod/KiesslingHFE01,375754
conf/sigmod/YanMHF01,375729
conf/sigmod/FernandezMS01,375674
conf/sigmod/CandanLLHA01,375736
conf/sigmod/BorkarDS01,375682
conf/sigmod/Maguire01,375742
conf/sigmod/GodfreyGXZ01,375749
conf/sigmod/OlstonWL01,375710
conf/sigmod/LahiriG01,375751
conf/sigmod/Meseck01,375745
conf/sigmod/ShahC01,375773
conf/sigmod/Smith01,375814
conf/sigmod/TatarinovIHW01,375720
conf/sigmod/ShouCTRH01,375755
conf/sigmod/MistryRSR01,375703
conf/sigmod/Larson01,375792
conf/sigmod/GoldsteinL01,375706
conf/sigmod/Bussler01,375810
conf/sigmod/BabuGR01,375693
conf/sigmod/LamCKNH01,375779
conf/sigmod/DraperHW01,375744
conf/sigmod/AgichteinGV01,375774
conf/sigmod/KimCK01,375679
conf/sigmod/ClaypoolRZSK01,375765
conf/sigmod/BertinoCF01,375764
conf/sigmod/Galindo-LegariaJ01,375748
conf/sigmod/DeshpandeGR01,375685
conf/sigmod/BrunoCG01,375686
conf/sigmod/Sahuguet01,375757
conf/sigmod/AgrawalCN01,375769
conf/sigmod/CarinoKKB01,375733
conf/sigmod/AggarwalY01,375668
conf/sigmod/WynblattN01,375737
conf/sigmod/GunopulosD01,375808
conf/sigmod/DoanDH01,375731
conf/sigmod/IpeirotisGS01,375671
conf/sigmod/JoshiA01,375673
conf/sigmod/WuAA01,375724
conf/sigmod/Amer-YahiaCLS01,375730
conf/sigmod/WhitneyS01,375783
conf/sigmod/KriegelMPS01,375777
conf/sigmod/CasatiS01,375812
conf/sigmod/Rosenthal01,375796
conf/sigmod/NguyenACP01,375723
conf/sigmod/ChangC01,375776
conf/sigmod/Lomet00,335378
conf/sigmod/LabioWGG00,335379
conf/sigmod/AggarwalY00,335383
conf/sigmod/PalmerF00,335384
conf/sigmod/ZaharioudakisCLPU00,335390
conf/sigmod/HellersteinA00,335420
conf/sigmod/AgrawalW00,335423
conf/sigmod/ForlizziGNS00,335426
conf/sigmod/OhHP00,335436
conf/sigmod/SzalayGKT00,335439
conf/sigmod/AcharyaGP00,335450
conf/sigmod/WaasG00,335451
conf/sigmod/HsiaoN00,335461
conf/sigmod/Weininger00,335465
conf/sigmod/Jhingran00,335469
conf/sigmod/WangSSZZW00,335495
conf/sigmod/ChenDLT00,336560
conf/sigmod/OriaOILY00,336589
conf/sigmod/HanPY00,335372
conf/sigmod/RiedelFGN00,335375
conf/sigmod/ShenoyHSBBS00,335376
conf/sigmod/BreunigKNS00,335388
conf/sigmod/ChoG00,335391
conf/sigmod/SalemBCL00,335393
conf/sigmod/ChristophidesCS00,335395
conf/sigmod/GarofalakisGRSS00,335409
conf/sigmod/FaloutsosSTT00,335412
conf/sigmod/RodriguezR00,335413
conf/sigmod/LeeKOTM00,335416
conf/sigmod/LitwinS00,335418
conf/sigmod/GoldmanW00,335422
conf/sigmod/BarclaySG00,335424
conf/sigmod/SaltenisJLL00,335427
conf/sigmod/LabrinidisR00,335430
conf/sigmod/JagadishKS00,335434
conf/sigmod/RaoR00,335449
conf/sigmod/LehnerSPC00,335454
conf/sigmod/PonnekantiK00,335462
conf/sigmod/AnnamalaiCD00,335463
conf/sigmod/ChenCPPSTM00,335466
conf/sigmod/OrdonezC00,335468
conf/sigmod/Ramakrishnan00,335471
conf/sigmod/Nori00,335474
conf/sigmod/IvesLPST00,335492
conf/sigmod/FegarasSRM00,335494
conf/sigmod/MerialdoAMMP00,335497
conf/sigmod/BerckenDS00,336562
conf/sigmod/Sarawagi00,336564
conf/sigmod/PeiMHZ00,336572
conf/sigmod/HsuLG00,336573
conf/sigmod/Rodriguez-Martinez00,336575
conf/sigmod/YangYW00,336578
conf/sigmod/LiBCS00,336583
conf/sigmod/BressanGOT00,336587
conf/sigmod/ReveszCKLLW00,336590
conf/sigmod/ChakrabartiM99,304185
conf/sigmod/AdaliSS99,304193
conf/sigmod/VitterW99,304199
conf/sigmod/BlohsfeldKS99,304203
conf/sigmod/IvesFFLW99,304209
conf/sigmod/MayrS99,304213
conf/sigmod/BeyerR99,304214
conf/sigmod/KotidisR99,304215
conf/sigmod/AggarwalWY99,304218
conf/sigmod/Keim99,304219
conf/sigmod/YerneniLGU99,304221
conf/sigmod/DavulcuFKR99,304225
conf/sigmod/Ozsu99,304228
conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99,304239
conf/sigmod/Kohler99,304241
conf/sigmod/Greer99,304242
conf/sigmod/TrisoliniLN99,304569
conf/sigmod/NgLHM99,304575
conf/sigmod/CruzJ99,304587
conf/sigmod/MamoulisP99,304183
conf/sigmod/LometT99,304189
conf/sigmod/JagadishLMSV99,304194
conf/sigmod/Hidber99,304195
conf/sigmod/LakshmananNHP99,304196
conf/sigmod/Wu99,304202
conf/sigmod/AcharyaGPR99a,304207
conf/sigmod/FlorescuLMS99,304210
conf/sigmod/MaratheS99,304211
conf/sigmod/LabioYG99,304216
conf/sigmod/NatsevRS99,304217
conf/sigmod/DeutschFS99,304220
conf/sigmod/PapakonstantinouV99,304222
conf/sigmod/GarofalakisRRS99,304227
conf/sigmod/Chakrabarti99,304231
conf/sigmod/CareyCNVDRSM99,304234
conf/sigmod/Brown99,304236
conf/sigmod/KanthRSB99,304240
conf/sigmod/Team99,304244
conf/sigmod/BergstraesserBPS99,304248
conf/sigmod/DoRD99,304250
conf/sigmod/JarkeQBLMS99,304568
conf/sigmod/BargaL99,304577
conf/sigmod/RundensteinerCLCZNJLW99,304579
conf/sigmod/ZhouLP99,304580
conf/sigmod/BrodskySCE99,304582
conf/sigmod/BonnetBCCCHKMMOSS99,304583
conf/sigmod/RoussopoulosKS99,304584
conf/sigmod/BohlenBD99,304585
conf/sigmod/BouguettayaBH99,304589
conf/sigmod/GuhaRS98,276312
conf/sigmod/Bayardo98,276313
conf/sigmod/KabraD98,276315
