sample,sub_sample,test_precision,test_recall,test_f1
1,1,0.7419354838709677,0.8618266978922716,0.7973997833152763
1,2,,,
1,3,0.7419354838709677,0.8618266978922716,0.7973997833152763
1,4,,,
1,5,,,
2,1,0.6750902527075813,0.9012048192771084,0.7719298245614035
2,2,0.6750902527075813,0.9012048192771084,0.7719298245614035
2,3,0.6750902527075813,0.9012048192771084,0.7719298245614035
2,4,0.6750902527075813,0.9012048192771084,0.7719298245614035
2,5,,,
3,1,0.8380952380952381,0.9166666666666666,0.8756218905472636
3,2,0.8380952380952381,0.9166666666666666,0.8756218905472636
3,3,0.8380952380952381,0.9166666666666666,0.8756218905472636
3,4,0.8380952380952381,0.9166666666666666,0.8756218905472636
3,5,0.8380952380952381,0.9166666666666666,0.8756218905472636
4,1,,,
4,2,0.6653225806451613,0.8776595744680851,0.756880733944954
4,3,,,
4,4,0.6043956043956044,0.8776595744680851,0.7158351409978307
4,5,0.6226415094339622,0.8776595744680851,0.7284768211920529
5,1,0.8324607329842932,0.888268156424581,0.8594594594594595
5,2,0.8324607329842932,0.888268156424581,0.8594594594594595
5,3,,,
5,4,0.8324607329842932,0.888268156424581,0.8594594594594595
5,5,,,
