sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,9,1.00,0.79,118,32,148,0,1,7,0.7419354838709677,0.8618266978922716,0.7973997833152763
1,2,6,1.00,0.88,113,15,128,0,3,21,0.0005699411993700114,0.9593147751605996,0.0011392055821073522
1,3,8,1.00,0.87,127,19,144,0,2,14,0.3747841105354059,0.9434782608695652,0.5364647713226206
1,4,6,1.00,0.84,107,21,128,0,3,21,N/A,N/A,0
1,5,5,1.00,0.92,121,10,128,0,3,21,N/A,N/A,0
2,1,6,1.00,0.84,109,20,128,0,2,14,0.5578034682080925,0.9168646080760094,0.6936208445642407
2,2,8,1.00,0.79,114,31,144,0,1,7,0.6750902527075813,0.9012048192771084,0.7719298245614035
2,3,7,1.00,0.82,121,26,144,0,2,16,0.6486486486486487,0.9142857142857143,0.7588932806324111
2,4,6,1.00,0.90,138,15,152,0,2,14,0.3504273504273504,0.9468822170900693,0.511540860885839
2,5,6,1.00,0.91,139,14,152,0,3,21,0.0005284324609963493,0.9541284403669725,0.0010562799141772571
3,1,7,1.00,0.88,122,16,136,0,2,14,0.34054054054054056,0.9521410579345088,0.5016589250165893
3,2,6,1.00,0.89,119,14,132,0,2,14,0.34054054054054056,0.9521410579345088,0.5016589250165893
3,3,6,1.00,0.89,119,14,132,0,2,14,0.34054054054054056,0.9521410579345088,0.5016589250165893
3,4,5,1.00,0.97,129,4,132,0,2,14,0.34054054054054056,0.9521410579345088,0.5016589250165893
3,5,5,1.00,0.90,111,13,124,0,2,14,0.34054054054054056,0.9521410579345088,0.5016589250165893
4,1,6,1.00,0.89,125,15,140,0,3,21,N/A,N/A,0
4,2,8,1.00,0.74,128,44,172,0,2,16,0.5581395348837209,0.8865435356200527,0.6850152905198776
4,3,5,1.00,0.92,123,11,132,0,3,21,N/A,N/A,0
4,4,7,1.00,0.80,118,30,148,0,3,23,0.011881188118811881,0.8865435356200527,0.023448131477022925
4,5,7,1.00,0.82,126,27,152,0,2,16,0.5581395348837209,0.8865435356200527,0.6850152905198776
5,1,7,1.00,0.91,130,13,140,0,2,14,0.3333333333333333,0.9498680738786279,0.4934886908841672
5,2,7,1.00,0.85,106,18,124,0,2,14,0.3333333333333333,0.9498680738786279,0.4934886908841672
5,3,7,1.00,0.74,89,32,120,0,4,30,N/A,N/A,0
5,4,7,1.00,0.85,122,22,144,0,2,14,0.3333333333333333,0.9498680738786279,0.4934886908841672
5,5,7,1.00,0.79,124,33,156,0,4,30,0.000598188046672579,0.9272237196765498,0.0011956047622605967
2,1,6,0.98,0.91,117,12,126,2,3,21,0.00011291003524756752,0.9517241379310345,0.00022579328297706806
2,2,7,0.98,0.82,119,26,142,2,3,21,0.00010711517934562266,0.9345794392523364,0.00021420580786917168
2,3,7,0.99,0.92,135,12,143,1,2,14,0.3504273504273504,0.9468822170900693,0.511540860885839
2,4,6,1.00,0.91,139,14,152,0,3,21,0.00011291003524756752,0.9517241379310345,0.00022579328297706806
2,5,6,1.00,0.92,140,13,152,0,4,28,0.00010790878932504594,0.958904109589041,0.00021579329468578184
3,1,6,0.99,0.89,123,15,135,1,3,21,0.0004642217653690563,0.9521410579345088,0.0009279910834295898
3,2,6,0.99,0.91,121,12,131,1,3,21,0.0004642217653690563,0.9521410579345088,0.0009279910834295898
3,3,6,1.00,0.89,119,14,132,0,2,14,0.34054054054054056,0.9521410579345088,0.5016589250165893
3,4,6,1.00,0.98,130,3,132,0,3,21,0.0001018068084615102,0.9651741293532339,0.00020359214197298626
3,5,6,1.00,0.90,111,13,124,0,2,14,0.34054054054054056,0.9521410579345088,0.5016589250165893
4,1,5,1.00,0.89,125,15,140,0,3,21,0.00011655093568731082,0.9707317073170731,0.00023307388735035396
4,2,6,0.99,0.87,150,22,171,1,2,14,0.2859237536656892,0.9605911330049262,0.4406779661016949
4,3,6,1.00,0.92,123,11,132,0,3,21,0.00011655093568731082,0.9707317073170731,0.00023307388735035396
4,4,6,0.99,0.91,135,13,146,2,4,28,0.00011073629720961059,0.9757281553398058,0.00022144746214047153
4,5,6,0.99,0.84,129,24,151,1,2,14,0.00012092719334348838,0.8952879581151832,0.00024182172365150802
5,1,6,0.99,0.92,132,11,139,1,3,21,0.0005319968487181202,0.9581151832460733,0.001063403239021669
5,2,7,1.00,0.85,106,18,124,0,2,14,0.3333333333333333,0.9498680738786279,0.4934886908841672
5,3,6,1.00,0.87,105,16,120,0,4,28,9.83185855455015,0.9414893617021277,0.0001966166386552755
5,4,6,0.99,0.86,124,20,143,1,3,21,0.0005319968487181202,0.9581151832460733,0.001063403239021669
5,5,6,0.99,0.88,138,19,155,1,2,14,0.3333333333333333,0.9498680738786279,0.4934886908841672
5,5,6,0.99,0.88,138,19,155,1,2,14,0.3333333333333333,0.9498680738786279,0.4934886908841672
