idDBLP,idScholar
conf/sigmod/Agarwal96,Fd0jPlSwFWcJ
conf/sigmod/Aggarwal02,tK1_3wGUIHsJ
conf/sigmod/Aggarwal03,qbubaA6mQawJ
conf/sigmod/BohrerBBCFHKKMNRRSUUW97,wF2-sxlGAu4J
conf/sigmod/BraumandlKK99,4fjXoCHhe1kJ
conf/sigmod/BraumandlKK99,ywe7qzk4E5MJ
conf/sigmod/Brown99,itP4yy9sLUUJ
conf/sigmod/BrunoKS02,GahdNMZNCWgJ
conf/sigmod/BuchmannDZH95,4pl5VSwjXj0J
conf/sigmod/BuchmannDZH95,IU1cjdPVT6cJ
conf/sigmod/BuchmannDZH95,MoNBLfTlYg0J
conf/sigmod/CatarciS94,yaaZKZCP3soJ
conf/sigmod/ChaudhuriMN98,TqXFdQBTW6kJ
conf/sigmod/ChenR94,7Edh53sUX7kJ
conf/sigmod/ColbyGLMT96,1kGIXDE6G90J
conf/sigmod/CruzALRZ97,uh2lQGa6hQUJ
conf/sigmod/CruzALRZ97,YWWvQnGCpDEJ
conf/sigmod/DogacHKOONDMAKE96,fsa72WmA67kJ
conf/sigmod/FaloutsosL95,56AknoQlFB0J
conf/sigmod/FaloutsosL95,dRjSn10qk9wJ
conf/sigmod/FaloutsosL95,roK09GarWdcJ
conf/sigmod/FaloutsosL95,Tpb-LwPZJNMJ
conf/sigmod/FernandezFKLS98,N9NHi5y3K38J
conf/sigmod/GarofalakisG02,6EaC2CmjsmAJ
conf/sigmod/GibbsBT94,cRvuoTzIXRYJ
conf/sigmod/GravanoCGP97,FHEK09LJKfwJ
conf/sigmod/GravanoCGP97,sBVErKh0FqMJ
conf/sigmod/GravanoGT94,iwS7dFGYcyEJ
conf/sigmod/GravanoGT94,OYFpMlm5yCQJ
conf/sigmod/HanKK97,-X-ZldO8A7kJ
conf/sigmod/HanKS97,_EEZCcB1BPYJ
conf/sigmod/HanKS97,nD_Yjp9TNuIJ
conf/sigmod/HellersteinN96,_hDCldPyum0J
conf/sigmod/HsiaoN00,iY5wlS4jsg0J
conf/sigmod/JagadishJOT01,OM7n6h8R8CoJ
conf/sigmod/JoshiA01,H9bMRYKnXMQJ
conf/sigmod/KrishnanVI96,8tFA4ENYqKQJ
conf/sigmod/LarsonG98,QmBz3hMOFh4J
conf/sigmod/LiefkeS00,epCsER2LDJgJ
conf/sigmod/MiloAABN03,fHp5E4Rxt7cJ
conf/sigmod/RafieiM97,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D0294143CI
conf/sigmod/RajagopalanML98,M2bWqRDDfkUJ
conf/sigmod/RamaswamyRS00,o0vnSBVzRQcJ
conf/sigmod/RamaswamyRS00,VJIHPbki2uAJ
conf/sigmod/RoussopoulosKV95,y8Sm4Sh4hokJ
conf/sigmod/Seshadri99,url:http://portal.acm.org/citation.cfm%3Fid%3D304182.304226
conf/sigmod/Tajima96,IZSzLlgi8tUJ
conf/sigmod/Team99,DphRY0uPqi8J
conf/sigmod/TheodoulidisAACKS94,srDgEOADv7cJ
conf/sigmod/ViglasN02,2aeb_pBP7lcJ
conf/sigmod/WangSCRZP97,chcojj8yN1sJ
conf/sigmod/WangSSZZW00,CaplZan57x4J
conf/vldb/AgrawalCN00,0KLcrS1Co_kJ
conf/vldb/AnSVKIG01,4Q5ikiCy82UJ
conf/vldb/BaumannDFRW99,OV-zNC5uzHUJ
conf/vldb/CareyKRLABFLOPQRSSUVWY01,_pAcjtd1nbEJ
conf/vldb/ChangG97,mXye9G0HHEwJ
conf/vldb/ChangG97,wDrwjYtI4uEJ
conf/vldb/CherniackFZ01,49EWG8vzsXUJ
conf/vldb/DoR02,bey6io4rYbgJ
conf/vldb/EsterKSWX98,MC7KlhmEQt8J
conf/vldb/GilbertKMS01,9rDLhwM_4mYJ
conf/vldb/GilbertKMS01,Xy_RpFaaxtQJ
conf/vldb/GoldmanW97,UeLjlfHU_gkJ
conf/vldb/HaasKWY97,8Fy6YT12yIgJ
conf/vldb/HaasKWY97,o_WTRsrkx_EJ
conf/vldb/HaasKWY97,U09WdB3GIK4J
conf/vldb/HammelP02,SU2XS1MVb40J
conf/vldb/Hammond96,LDxiVdRU6EEJ
conf/vldb/HanF95,76X91rVs8BQJ
conf/vldb/HanF95,889ULwUj6XUJ
conf/vldb/HanF95,AOXjUq9H2cwJ
conf/vldb/HanF95,EWdjCIv1enwJ
conf/vldb/HanF95,OdpKxDyMwhsJ
conf/vldb/HanF95,ruAAx3U9Q-EJ
conf/vldb/IlyasAE02,nQsk3GveFP0J
conf/vldb/KangC02,gndV1O-oEkMJ
conf/vldb/KiesslingK02,OuVZjeR64pMJ
