tid,id,title,authors,venue,year
69611,conf/vldb/RusinkiewiczKTWM95,Towards a Cooperative Transaction Model - The Cooperative Activity Model,"M Rusinkiewicz, W Klas, T Tesch, J Wäsch, P Muth",VLDB,1995
69612,journals/sigmod/EisenbergM02,SQL/XML is Making Good Progress,"A Eisenberg, J Melton",SIGMOD Record,2002
69614,journals/sigmod/Liu02,Editor's Notes,L Liu,SIGMOD Record,2002
69615,journals/sigmod/Hammer02,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),,,2002
69618,journals/sigmod/BargaL02,Phoenix Project: Fault-Tolerant Applications,"R Barga, D Lomet",SIGMOD Record,2002
69620,conf/vldb/MoserKK95,L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS,"F Moser, A Kraiss, W Klas",VLDB,1995
69622,conf/vldb/ChaudhuriGS95,Retrieval of Composite Multimedia Objects,"S Chaudhuri, S Ghandeharizadeh, C Shahabi",VLDB,1995
69624,conf/vldb/LuTD95,The Fittest Survives: An Adaptive Approach to Query Optimization,"H Lu, K Tan, S Dao",VLDB,1995
69625,journals/sigmod/RossFS02,Reminiscences on Influential Papers,,,2002
69627,journals/sigmod/Geller02,Data Mining: Practical Machine Learning Tools and Techniques - Book Review,J Geller,SIGMOD Record,2002
69628,conf/vldb/MehtaD95,Managing Intra-operator Parallelism in Parallel Database Systems,"M Mehta, D DeWitt",VLDB,1995
69629,journals/sigmod/CaplinskasEV02,Advances in Databases and Information Systems (ADBIS),"A Caplinskas, J Eder, O Vasilecas",SIGMOD Record,2002
69632,journals/sigmod/Aberer02,Book Review Column,K Aberer,SIGMOD Record,2002
69634,journals/sigmod/Kemper02,Databases and Transaction Processing: An Application-Oriented Approach - Book Review,A Kemper,SIGMOD Record,2002
69636,journals/sigmod/Kim02,Conceptual Modeling and Specification Generation for B2B Business Process based on ebXML,H Kim,SIGMOD Record,2002
69638,journals/sigmod/ErdurD02,A Multi-Agent System Infrastructure for Software Component Market-Place: An Ontological Perspective,"R Erdur, O Dikenelli",SIGMOD Record,2002
69640,journals/sigmod/CiliaB02,An Active Functionality Service for E-Business Applications,"M Cilia, A Buchmann",SIGMOD Record,2002
69642,conf/vldb/LometT95,Redo Recovery after System Crashes,"D Lomet, M Tuttle",VLDB,1995
69644,journals/sigmod/Winslett02a,David DeWitt Speaks Out,M Winslett,ecord,2002
69645,conf/vldb/SumiyaYTSI95,A Product Specification Database for Visual Prototyping,"K Sumiya, K Yasutake, H Tanaka, N Sanada, Y Imai",VLDB,1995
69648,journals/sigmod/HalkidiBV02,Cluster Validity Methods: Part I,"M Halkidi, Y Batistakis, M Vazirgiannis",SIGMOD Record,2002
69649,journals/sigmod/PourabbasR02,A Pictorial Query Language for Querying Geographic Databases using Positional and OLAP Operators,"E Pourabbas, M Rafanelli",SIGMOD Record,2002
69651,journals/sigmod/SlivinskasJS02,Bringing Order to Query Optimization,"G Slivinskas, C Jensen, R Snodgrass",SIGMOD Record,2002
69653,journals/sigmod/Liu02a,Editor's Notes,L Liu,SIGMOD Record,2002
69657,journals/sigmod/LuoI02,Interviewing During a Tight Job Market,,,2002
69662,conf/vldb/WienerN95,OODB Bulk Loading Revisited: The Partitioned-List Approach,"J Wiener, J Naughton",VLDB,1995
69669,conf/vldb/BestavrosB95,Value-cognizant Speculative Concurrency Control,"A Bestavros, S Braoudakis",VLDB,1995
69670,journals/sigmod/Goethals02,Data Warehousing and Business Intelligence for E-Commerce - Book Review,F Goethals,SIGMOD Record,2002
69671,journals/sigmod/BerzalM02,Data Mining: Concepts and Techniques - Book Review,"F Galiano, N Marín",SIGMOD Record,2002
69673,conf/vldb/MogiK95,Hot Block Clustering for Disk Arrays with Dynamic Striping,"K Mogi, M Kitsuregawa",VLDB,1995
69674,journals/sigmod/Aberer02a,Book Review Column,K Aberer,SIGMOD Record,2002
69677,journals/sigmod/YaoG02,The Cougar Approach to In-Network Query Processing in Sensor Networks,"Y Yao, J Gehrke",SIGMOD Record,2002
69682,conf/vldb/WienerN94,Bulk Loading into an OODB: A Performance Study,"J Wiener, J Naughton",VLDB,1994
69683,conf/vldb/NgH94,Efficient and Effective Clustering Methods for Spatial Data Mining,"R Ng, J Han",VLDB,1994
69686,conf/vldb/BrownCC94,Fast Incremental Indexing for Full-Text Information Retrieval,"E Brown, J Callan, W Croft",VLDB,1994
69687,journals/sigmod/Ozsu02a,Chair's Message,,,2002
69688,conf/vldb/FuC94,A Transaction Replication Scheme for a Replicated Database with Node Autonomy,"A Fu, D Cheung",VLDB,1994
69689,journals/sigmod/Hammer02a,Treasurer's Message,,,2002
69690,conf/vldb/OuzzaniAB94,A Top-Down Approach for Two Level Serializability,"M Ouzzani, M Atroun, N Belkhodja",VLDB,1994
69692,journals/sigmod/SofferMC02,Report on the Mobile Search Workshop at WWW 2002,,,2002
69693,conf/vldb/Guting94,GraphDB: Modeling and Querying Graphs in Databases,R Güting,VLDB,1994
69694,journals/sigmod/LeveneP02,Report on the Web Dynamics Workshop at WWW 2002,,,2002
69696,conf/vldb/GutierrezPST94,Database Graph Views: A Practical Model to Manage Persistent Graphs,"A Gutiérrez, P Pucheral, H Steffen, J Thévenin",VLDB,1994
69697,conf/vldb/KemperK94,Dual-Buffering Strategies in Object Bases,"A Kemper, D Kossmann",VLDB,1994
69699,journals/sigmod/Winslett02b,Hector Garcia-Molina Speaks Out,M Winslett,,2002
69702,journals/sigmod/LightstoneLZ02,Toward Autonomic Computing with DB2 Universal Database,"S Lightstone, G Lohman, D Zilio",SIGMOD Record,2002
69704,conf/vldb/BaralisW94,An Algebraic Approach to Rule Analysis in Expert Database Systems,"E Baralis, J Widom",VLDB,1994
69706,conf/vldb/AgrawalS94,Fast Algorithms for Mining Association Rules in Large Databases,"R Agrawal, R Srikant",VLDB,1994
69707,journals/sigmod/Badia02,Ontologies: A Silver Bullet for Knowledge Management and Electronic Commerce - Book Review,,,2002
69709,journals/sigmod/GobleR02a,The Grid: An Application of the Semantic Web,"C Goble, D Roure",SIGMOD Record,2002
69710,conf/vldb/AgrawalPWZ95,Querying Shapes of Histories,"R Agrawal, G Psaila, E Wimmers, M Zaït",VLDB,1995
69711,journals/sigmod/Winslett02c,Interview with David Maier,,,2002
69712,conf/vldb/EvangelidisLS95,"The hBP-tree: A Modified hB-tree Supporting Concurrency, Recovery and Node Consolidation","G Evangelidis, D Lomet, B Salzberg",VLDB,1995
69713,journals/sigmod/Wu02,Small Worlds: the Dynamics of Networks between Order and Randomness - Book Review,,,2002
69714,conf/vldb/KalusD95,Flexible Relations - Operational Support of Variant Relational Structures,"C Kalus, P Dadam",VLDB,1995
69715,conf/vldb/Sarawagi95,Query Processing in Tertiary Memory Databases,S Sarawagi,VLDB,1995
69716,journals/sigmod/FininJ02,"Agents, Turst, and Information Access on the Semantic Web","T Finin, A Joshi",SIGMOD Record,2002
69718,conf/vldb/Brin95,Near Neighbor Search in Large Metric Spaces,S Brin,VLDB,1995
69719,conf/vldb/RamakrishnanGRSWZ95,Scientific Journals: Extinction or Explosion? (Panel),"R Ramakrishnan, H Garcia-Molina, G Rossbach, A Silberschatz, G Wiederhold, J Zijlstra",VLDB,1995
