theta,delta,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
0.5,1,48,0.99,0.66,1455,754,2189,19,,45,0.8777777777777778,0.7488151658767772,0.8081841432225063,0.8,0.8112676056338028,0.8055944055944056
0.5,0.8,47,0.99,0.66,1455,754,2189,19,,45,0.8777777777777778,0.7488151658767772,0.8081841432225063,0.8,0.8112676056338028,0.8055944055944056
0.5,0.5,47,0.99,0.66,1455,754,2189,19,,45,0.8777777777777778,0.7488151658767772,0.8081841432225063,0.8,0.8112676056338028,0.8055944055944056
0.5,0.25,48,0.99,0.66,1455,754,2189,19,,45,0.8777777777777778,0.7488151658767772,0.8081841432225063,0.8,0.8112676056338028,0.8055944055944056
0.5,0.1,50,0.99,0.66,1455,754,2189,19,,45,0.8777777777777778,0.7488151658767772,0.8081841432225063,0.8,0.8112676056338028,0.8055944055944056
0.5,0.08,50,0.99,0.66,1455,754,2189,19,,45,0.8777777777777778,0.7488151658767772,0.8081841432225063,0.8,0.8112676056338028,0.8055944055944056
0.5,0.05,52,0.99,0.66,1451,758,2199,9,,47,0.9294117647058824,0.7488151658767772,0.8293963254593176,0.9056603773584906,0.8112676056338028,0.8558692421991084
0.5,0.025,52,0.99,0.66,1451,758,2199,9,,47,0.9294117647058824,0.7488151658767772,0.8293963254593176,0.9056603773584906,0.8112676056338028,0.8558692421991084
0.8,1,49,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
0.8,0.8,51,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
0.8,0.5,46,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
0.8,0.25,49,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
0.8,0.1,51,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
0.8,0.08,49,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
0.8,0.05,49,0.99,0.67,1475,734,2188,20,,45,0.8777777777777778,0.7488151658767772,0.8081841432225063,0.8596491228070176,0.8212290502793296,0.84
0.8,0.025,49,0.99,0.67,1475,734,2188,20,,45,0.8777777777777778,0.7488151658767772,0.8081841432225063,0.8596491228070176,0.8212290502793296,0.84
1,1,49,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
1,0.8,47,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
1,0.5,47,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
1,0.25,50,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
1,0.1,48,0.98,0.67,1480,729,2177,31,,45,0.8061224489795918,0.7488151658767772,0.7764127764127763,0.7589743589743589,0.8245125348189415,0.7903871829105473
