tid,titleId,ordering,title,region,isOriginalTitle
6900,tt12544519,9,Vingança Nua,BR,0
6901,tt12540984,1,Back to OZ,US,0
6902,tt12537455,10,Anthropos stis rages,GR,0
6903,tt12538541,4,Vera,PL,0
6904,tt12541101,2,Garda personală,RO,1
6905,tt0285073,1,Eunice,US,0
6906,tt12531453,1,Сердце мира,RU,0
6909,tt3089896,1,Ali AlZibaq,EG,0
6913,tt3142914,3,Ask aglatir,TR,0
6914,tt1334247,2,Johnny Cash ja Folsom Prison,FI,0
6915,tt12539505,6,Se 52 milia o tromos,GR,0
6916,tt12543129,7,Supa Modo,IT,0
6917,tt4213788,1,Kokhon Tomar Asbe Telephone,IN,0
6918,tt0055719,4,300 Spartanere,NO,0
6920,tt0271887,1,Zivi mrtvaci,YUCS,0
6921,tt0055630,30,Yojimbo el mercenario,MX,0
6923,tt0457121,3,Соловей,RU,0
6924,tt12538519,8,Frankenstein vs Baragon,XWW,0
6925,tt12537166,4,Un Amore Per Due,IT,1
6926,tt12532330,14,Deliciosa Mentira,BR,0
6927,tt12533289,7,Tempo de Espera,BR,0
6928,tt1863203,4,Работодатель,RU,0
6929,tt0220626,1,Hölmölän kylän veijarit,FI,0
6930,tt12537650,6,El diablo blanco,ES,0
6931,tt12541706,10,El médico alemán,MX,0
6932,tt12541101,3,Yojimbo Livvakten,SE,0
6933,tt0247196,18,Πριν πέσει η νύχτα,GR,0
6934,tt5078214,17,В легло с Виктория,BG,0
6935,tt3314940,1,Roar,AU,0
6936,tt0087190,9,No Topo do Mundo,BR,0
6937,tt0055719,13,Der Löwe von Sparta,XWG,0
6938,tt0247196,6,Antes que anochezca,PE,0
6939,tt12545484,4,The Prodigals Mother,US,0
6940,tt12538616,6,Kwelling,BE,1
6941,tt0043677,7,Inside the Walls of Folsom Prison,US,0
6942,tt0019035,10,Paixão Sem Freio,BR,0
6943,tt2080042,1,Peter Punk,AR,0
6945,tt12534801,2,Les clichés de la haine,CM,0
6947,tt12543922,1,Kiusaus,FI,0
6948,tt12538381,2,Killing Jesus,XEU,1
6949,tt12533220,8,Khodahafez Dokhtar Shirazi,IR,1
6950,tt0158117,14,Scrisoarea,RO,0
6951,tt5078214,5,Na Cama Com Victoria,PT,0
6954,tt1663660,5,On the Ice,FR,0
6955,tt0068972,12,Smrt se osmehuje ubici,XYU,0
6956,tt12541654,8,The Mystery of St Pauls Hospital,XWW,0
6957,tt0202181,9,Koara bôi kokkî,JP,0
6958,tt12535879,2,Upptäcka kon,SE,0
6959,tt4134678,1,Tutti insieme allimprovviso,IT,0
6960,tt0457495,16,Alex Rider Stormbreaker,FR,0
6961,tt3399368,7,Убийствен финал,BG,0
6962,tt0085273,2,Brandende liefde,NL,0
6964,tt12533379,24,Smiertelny weekend,PL,0
6965,tt12535109,2,SNAP,GB,0
