tid,titleId,ordering,title,region,isOriginalTitle
6908,tt0059205,8,Frankenstein vs Baragon,XWW,0
6909,tt3089896,1,Ali AlZibaq,EG,0
6917,tt4213788,1,Kokhon Tomar Asbe Telephone,IN,0
6918,tt0055719,4,300 Spartanere,NO,0
6919,tt0071449,8,Monsieur Dupont,XWG,0
6921,tt0055630,30,Yojimbo el mercenario,MX,0
6924,tt12538519,8,Frankenstein vs Baragon,XWW,0
6925,tt12537166,4,Un Amore Per Due,IT,1
6937,tt0055719,13,Der Löwe von Sparta,XWG,0
6944,tt6957448,1,Rampage 91,US,0
6946,tt0071449,3,The Common Man,US,0
6953,tt0354068,2,Superprodukcja,PL,0
6960,tt0457495,16,Alex Rider Stormbreaker,FR,0
6964,tt12533379,24,Smiertelny weekend,PL,0
6965,tt12535109,2,SNAP,GB,0
6968,tt0055630,17,大鏢客,TW,0
6969,tt0071449,14,Это случилось в праздник,SUHH,0
6978,tt1145500,11,Puissance planète,FR,0
6995,tt0457495,19,Алекс Райдър Операция Стормбрейкър,BG,0
7003,tt12538662,2,6 sullautobus,IT,1
7006,tt12544263,1,Inside Out,GB,0
7007,tt0090825,3,Melody of Passion,CH,0
7016,tt12541592,31,Невероятният Хълк,BG,0
7018,tt12536237,9,Dianomi kat oikon,GR,1
7022,tt12534503,6,Mahkumlar,AZ,0
7027,tt0108622,7,Blade of Fury,FR,0
7038,tt12532475,3,Vánocní príbeh,CZ,0
7041,tt0063241,11,Die Wölfin,XWG,0
7049,tt0457495,17,Alex Rider Operation Stormbreaker,CA,0
7052,tt6224632,2,Isolation,XWW,0
7054,tt12536309,1,68 Kill,US,0
7064,tt4852398,4,Hopomythumb,XWW,0
7066,tt0055719,11,De tappra 300,SE,0
7070,tt12537406,1,The Land Where the Blues Began,US,0
7071,tt12539959,11,Crvene podvezice,XYU,0
7072,tt0055630,2,Yojimbo  Der Leibwächter,XWG,0
7077,tt12541358,17,Tu nas jamais été vraiment là,CA,0
7078,tt1754567,1,Ta mig,SE,0
7080,tt8485166,3,Un Entretien,FR,0
7085,tt12545807,5,21 and a WakeUp,US,1
7096,tt12538614,8,Kwelling,BE,0
7105,tt0264066,3,WWF Survivor Series,US,0
7106,tt0181449,1,Death A Love Story,US,0
7112,tt12542026,7,Simbad E Il Califfo Di Bagdad,IN,0
7115,tt2040565,2,To Epos tou Biorn,GR,0
7122,tt12533379,5,Fin de semaine infernale,CA,0
7123,tt12538281,4,Хиллсайдские каннибалы,RU,0
7126,tt6988208,10,Дом Ведьмы,RU,0
7135,tt12532885,12,Inside the Walls of Folsom Prison,GB,0
7140,tt12541068,1,Napjainkban,HU,0
7150,tt12538614,19,Mennesker i trapez,DK,0
7153,tt0055630,36,The Bodyguard,XWW,0
7155,tt12545862,1,The Strange Calls,US,0
7163,tt12537199,7,MasterChef Turkey,TR,0
7171,tt0055630,5,Yojimbo o GuardaCostas,BR,0
7172,tt2390480,1,Wings,ES,0
7176,tt0038635,8,In Dutch,US,0
7182,tt0045066,15,Tre piger fra Rom,DK,0
7196,tt12537876,1,Na Linha de Fogo,BR,1
7212,tt0059205,21,Frankenstein  Der Schrecken mit dem Affengesicht,AT,0
7215,tt10097954,1,Quest for Real Immunity,US,0
7216,tt12540108,4,Victoria,FR,0
7218,tt12541732,3,Erotic Tales II,US,0
7219,tt12537678,12,The Boondock Saints II All Saints Day,US,0
7225,tt3526322,1,American Made,US,0
7226,tt5644396,1,Marry Me,AU,0
7234,tt1255975,3,Обреченные,RU,0
7235,tt12540873,10,Juana Azurduy Guerrillera de la Patria Grande,BO,1
7238,tt0034251,9,Farligt område,SE,0
7240,tt0045066,8,Die Drei vom Spanischen Platz,XWG,0
7242,tt12536103,6,Keine Angst vor Liebe,DE,0
7244,tt0063241,3,La gatta dagli artigli doro,IT,0
7247,tt0457495,15,Громобой,RU,0
7249,tt0055719,19,Los 300 héroes,AR,0
7254,tt12533122,8,Το Έπος του Biorn,GR,0
7275,tt12537040,3,Молодежка,RU,1
7276,tt12531473,10,Father of Four  On the Sunny Side,XWW,1
7287,tt12537678,1,Святые из Бундока II День всех святых,RU,1
7293,tt12535243,1,Waco II the Big Lie Continues,US,0
7298,tt0055719,26,300 spartaner,FI,0
7299,tt12538614,12,Du sollst nicht töten,AT,0
7302,tt0055719,10,300 spartalaista,FI,0
7310,tt0055719,3,I mahi ton Thermopylon,GR,0
7312,tt0045066,4,Raparigas de Roma,PT,0
7319,tt0055630,18,Yojimbo the Bodyguard,US,0
7333,tt12537068,1,Buffy zabíjecka upíru,CZ,0
7338,tt12542026,2,Simbad,GB,0
7341,tt12537919,1,Σταυραετοί,GR,0
7353,tt0034251,25,Mocvara,XYU,0
7364,tt0034251,5,O Segredo do Pântano,BR,0
7365,tt12540296,8,Kutchi Vahan Pani Wala,IN,1
7367,tt12542026,3,Der Schatz des Piraten,XWG,0
7373,tt12544325,5,Peter spiller op,DK,0
7380,tt12533122,2,To Epos tou Biorn,GR,0
7384,tt12542011,10,Myungwol the Spy,XWW,1
7391,tt0288289,3,宇能鴻一郎の女体育教師,JP,0
7403,tt12531236,1,Transit,GB,0
7411,tt12534903,3,La banda Vallanzasca 1977,IT,0
7422,tt0055630,43,Охоронець,UA,0
7424,tt12537678,14,Sveci protiv mafije 2  Svi sveti,RS,0
7425,tt0977673,3,Vánocní príbeh,CZ,0
7434,tt12538519,3,Frankenstein alla conquista della Terra,IT,1
7442,tt1198083,3,Rainbow Six Vegas,CA,0
7444,tt12538519,5,Frankenstein vs Godjirra,JP,1
7445,tt12532919,5,Cat on a Hot Tin Roof,US,1
7452,tt12540307,1,MaDiWoDoVrijdagShow,NL,0
7472,tt0071449,5,Monsieur Dupont  Zwischenfall an der Côte DAzur,DDDE,0
7475,tt0045066,10,Les jeunes filles devant lamour,BE,0
7478,tt12535557,2,World Cup KoreaJapan,XWW,0
7481,tt2040565,5,Сага о Бьорне,RU,0
7484,tt4852398,3,Tom Thumb,XWW,0
7488,tt0055630,3,A testőr,HU,0
7492,tt12540107,10,Los casos de Victoria,ES,0
7497,tt12539448,2,Σάββατο,GR,1
7498,tt12541068,2,Questi giorni,IT,1
7515,tt12538459,1,Airport,HR,0
7519,tt12537068,1,Buffy Caçadora de Vampiros,PT,1
7523,tt12537068,27,Buffy la caza vampiros,AR,0
7542,tt12535109,5,Manche mögens prall,XWG,1
7548,tt12542504,1,Jezískova rodina,CZ,0
7549,tt9056818,1,Le survivant des abysses,FR,0
7554,tt1296418,1,Race 2 Race,US,0
7565,tt12534925,6,Gerard Damianos Memories Within Miss Aggie,US,0
7578,tt0034251,17,スワンプ・ウォーター,JP,0
7584,tt0412270,1,100 Blowjobs 15,US,0
7588,tt12545734,1,Distortion,CA,0
7590,tt0029646,2,Texas Vovehalse,DK,0
7595,tt1343104,1,Red Dwarf Its Cold Outside  Series II,GB,0
7598,tt12540108,1,Victoria y el sexo,AR,0
7601,tt12531751,8,The Incident at Tower 37,US,1
7606,tt1984239,1,Részletkérdések,HU,0
7611,tt12541592,1,Невероятный Халк,RU,0
7617,tt12535533,12,Дюпон Лажуа,SUHH,0
7618,tt0055719,25,The 300 Spartans,US,0
7619,tt12532919,9,National Theatre Live Kotka na goracym blaszanym dachu,PL,0
7629,tt0063241,6,La loba solitaria,MX,0
7636,tt0055719,28,Os 300 de Esparta,BR,0
7638,tt1172587,7,Delhi Safari,IN,0
7639,tt12539563,5,Hamatora,IT,1
7640,tt0043680,3,Its a Big Country An American Anthology,US,0
7644,tt0059205,6,Frankenstein alla conquista della Terra,IT,0
7646,tt0063241,7,The Lone She Wolf,XWW,0
7651,tt12535533,5,Monsieur Dupont  Zwischenfall an der Côte DAzur,DDDE,0
7654,tt0108622,1,Dühöngő kard,HU,0
7656,tt5535270,3,The Jimmy Star Show with Ron Russell,US,0
7671,tt0055719,14,A háromszáz spártai,HU,0
7672,tt12535244,1,Waco II the Big Lie Continues,US,0
7678,tt0034251,24,Sumpen,DK,0
7687,tt0415727,1,Crazy Legs Conti Zen and the Art of Competitive Eating,US,0
7691,tt0072885,8,Дневник директора школы,SUHH,0
7693,tt12537038,6,Vrisak banši,RS,0
7695,tt12531855,1,Unwarranted Influence,US,0
7700,tt12541358,2,Yom Nifla,IL,1
7701,tt12532303,10,Американская принцесса,RU,0
7714,tt0055630,14,Yojimbo Telesna straža,XYU,0
7728,tt0055630,29,Yojimbo  O Invencível,PT,0
7729,tt0457495,7,Alex Rider Misja Stormbreaker,PL,0
7731,tt0197267,1,Bangkok  Ein Mädchen verschwindet,DE,0
7739,tt0977673,1,A Christmas Tale,XWW,0
7741,tt0059205,20,Frankenstein Contra o Mundo,BR,0
7753,tt12538865,1,Импулс,BG,0
7754,tt12537456,4,Sangre sobre los rieles,AR,0
7776,tt1145500,7,Earth The Power of the Planet,GB,0
7778,tt0059205,15,Frankenstein a la conquista de la Tierra,VE,0
7783,tt0055719,20,Os 300 Espartanos,PT,0
7788,tt0055630,47,Yojimbo  livvakten,NO,0
7789,tt12537778,21,Tämä maa on minun,FI,0
7794,tt0055630,20,Yojimbo,RO,0
7799,tt12542391,6,沙河悲歌,TW,0
7811,tt1456970,1,Clemente,US,0
7826,tt12541358,5,Тебе ніколи тут не було,UA,0
7830,tt12533399,1,Hopi Songs of the Fourth World,CA,0
7840,tt1171628,3,Die Stimme aus dem Hut  Eine Geschichte aus Soho,XWG,0
7844,tt12538791,5,East and West,XWW,0
7849,tt0210824,5,Madams Fancies,US,0
7850,tt0320558,3,El séptimo arcángel,AR,0
7852,tt12542555,3,Südpol,AT,0
7855,tt0055630,44,Onnensoturi,FI,0
7875,tt12536339,7,Garotas da Praça de Espanha,BR,0
7884,tt2112157,1,Get Married 3,ID,0
7896,tt1978512,1,Portraits in Dramatic Time,US,0
7901,tt12538614,7,Gewissensnot,DDDE,0
7904,tt12541592,23,Incredibilul Hulk,RO,0
7907,tt12532332,2,En flicka med melodi,SE,1
7908,tt0045066,16,Girls of the Spanish Steps,GB,0
7910,tt12535557,4,2002 FIFA World Cup KoreaJapan,XWW,0
7931,tt12541358,8,You Were Never Really Here,IE,1
7934,tt12540136,1,La mort a souri à lassassin,FR,0
7939,tt5919848,2,Dil Se Di Dua Saubhagyavati Bhava,IN,0
7940,tt0034251,16,La palude della morte,IT,0
7944,tt0043750,5,Lola i piconera,GR,0
7945,tt2564196,1,Awkward Moments with Catwoman,US,0
7949,tt12541358,15,Tevis te nebija,LV,0
7953,tt12543569,9,Crash Goes the Hash,US,0
7954,tt12536103,1,Dont Be Afraid of Love,US,0
7955,tt0055630,7,Yojimbo,GB,0
7958,tt12545483,3,La madre pródiga,MX,0
7959,tt0488542,1,Finding Jack Kerouac,US,0
7963,tt12542722,3,Who Is Dayani Cristal,GB,0
7964,tt12541592,3,Uskumatu Hulk,EE,1
7968,tt12543717,7,Кто поёт  дурно не думает,SUHH,0
7973,tt12537778,3,Caminho da Glória,PT,1
7974,tt12537456,3,Człowiek na torze,PL,1
7980,tt12532885,10,Motín,MX,0
7982,tt0457495,21,Alex Rider,VE,0
7993,tt0072885,7,Dziennik dyrektora szkoły,PL,0
7995,tt12540106,10,Victoria  Männer und andere Missgeschicke,AT,0
8002,tt12535719,7,Peace in Our Time,XWW,0
8004,tt0457495,14,Громобій,UA,0
8014,tt12540919,7,Подруги поневоле,RU,0
8020,tt12545750,1,Marry Me,AU,0
8032,tt9056818,5,Der letzte Atemzug Gefangen am Meeresgrund,DE,0
8040,tt12531827,3,Rainbow Six Vegas,CA,0
8043,tt12541062,9,The Slap Maxwell Story,US,0
8045,tt0457495,11,アレックス・ライダー,JP,0
8055,tt12537068,20,Buffy  Lammazzavampiri,IT,0
8057,tt0043750,6,Tra due bandiere,IT,0
8063,tt0055630,11,Yojimbo  lyckoriddare,FI,0
8065,tt0029646,1,Texas Trail,US,0
8074,tt12541756,6,Fifi to louloudaki,GR,0
8086,tt2390480,3,Asas,BR,0
8090,tt0038635,2,Pluto na Holanda,BR,0
8091,tt9435488,1,Kolera  Seni Seviyorsun,TR,0
8100,tt12540137,5,O dolofonos me to angeliko hamogelo,GR,0
8108,tt0071449,4,Oskyldigt offer,SE,0
8124,tt0264066,2,Survivor Series,US,0
8126,tt10525592,3,Neil Armstrong Az ember és az űrhajós,HU,0
8132,tt0043680,5,Its a Big Country,US,0
8146,tt12537876,6,Line of Fire,US,0
8153,tt1329495,1,Gleich links hinterm Mond,DDDE,0
8157,tt0034251,26,Létang tragique,FR,0
8161,tt1935899,1,The Autistic Me One Year On,GB,0
8168,tt2040565,6,Το Έπος του Biorn,GR,0
8174,tt0457495,3,Stormbreaker,GB,0
8181,tt12537531,2,Crazy Blind Love,AU,0
8186,tt12541591,38,The Incredible Hulk,TR,0
8191,tt0796932,1,Che Rise and Fall,AR,0
8195,tt0055719,24,Los 300 héroes,CL,0
8202,tt0467771,3,Ass Worship 7,US,0
8207,tt0055630,38,Garda personală,RO,0
8215,tt0059205,7,Frankenstein vs Godjirra,JP,0
8216,tt12541592,5,Nerealusis Halkas,LT,0
8217,tt12533448,8,Doble juego,ES,0
