sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,325,1.00,0.98,838,14,846,0,6,62,0.9333333333333333,0.9882352941176471,0.96
1,2,358,1.00,0.97,800,21,819,0,5,51,0.9333333333333333,0.9882352941176471,0.96
1,3,1681,1.00,0.91,799,82,873,0,4,46,1.0,0.9554655870445344,0.9772256728778468
2,1,455,1.00,0.91,728,69,792,0,5,53,0.8717948717948718,0.9444444444444444,0.9066666666666667
2,2,390,1.00,0.97,747,21,765,0,5,49,0.9096385542168675,0.9966996699669967,0.9511811023622047
2,3,257,1.00,0.98,811,18,828,0,6,66,0.9141104294478528,0.9900332225913622,0.9505582137161085
3,1,271,1.00,0.97,853,25,873,0,5,51,0.9618320610687023,0.980544747081712,0.9710982658959537
3,2,386,1.00,0.97,851,25,873,0,5,53,0.9921875,0.9844961240310077,0.9883268482490272
3,3,421,1.00,0.98,843,15,855,0,6,64,0.9552238805970149,0.9884169884169884,0.9715370018975333
4,1,312,1.00,0.96,779,33,810,0,5,51,0.9625,0.9716088328075709,0.967032967032967
4,2,301,1.00,0.95,760,39,792,0,4,36,0.9683544303797469,0.9683544303797469,0.9683544303797469
4,3,366,1.00,0.97,820,28,846,0,6,68,0.40458015267175573,0.9875776397515528,0.5740072202166066
5,1,373,1.00,0.98,891,17,900,0,6,64,0.965034965034965,0.9963898916967509,0.9804618117229129
5,2,313,1.00,0.99,873,8,873,0,1,9,0.9455782312925171,1.0,0.9720279720279721
5,3,398,1.00,0.98,882,21,900,0,5,49,0.9784172661870504,0.9890909090909091,0.9837251356238699
