sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,444,1.00,0.96,1510,67,1573,2,4,36,0.9609375,0.9761904761904762,0.968503937007874
1,2,818,1.00,0.97,1532,40,1563,3,5,53,1.0,0.9882352941176471,0.9940828402366864
2,1,310,1.00,0.97,1448,45,1484,1,5,53,0.9371069182389937,0.9900332225913622,0.962843295638126
2,2,557,1.00,0.99,1334,20,1348,2,6,62,0.8988095238095238,0.9966996699669967,0.945226917057903
3,1,353,1.00,0.90,1351,147,1493,1,4,44,0.9914529914529915,0.9392712550607287,0.9646569646569646
3,2,399,1.00,0.98,1509,29,1528,2,6,66,0.9552238805970149,0.9884169884169884,0.9715370018975333
4,1,316,1.00,0.97,1493,50,1536,3,5,53,0.9814814814814815,0.9875776397515528,0.9845201238390092
4,2,359,1.00,0.97,1443,46,1483,2,5,51,0.9695121951219512,0.9875776397515528,0.9784615384615385
5,1,342,1.00,0.98,1563,26,1580,4,6,66,0.9716312056737588,0.9927536231884058,0.9820788530465949
5,2,758,1.00,0.98,1520,30,1547,1,6,64,0.965034965034965,0.9963898916967509,0.9804618117229129
