sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,433,1.00,0.96,1510,67,1573,2,4,36,0.9609375,0.9761904761904762,0.968503937007874
1,2,699,1.00,0.97,1532,40,1563,3,5,53,1.0,0.9882352941176471,0.9940828402366864
2,1,322,1.00,0.97,1448,45,1484,1,5,53,0.9367088607594937,0.9932885906040269,0.9641693811074918
2,2,316,1.00,0.99,1337,17,1348,2,6,64,0.9096385542168675,0.9966996699669967,0.9511811023622047
3,1,669,1.00,0.90,1351,147,1493,1,4,44,0.9807692307692307,0.9855072463768116,0.983132530120482
3,2,546,1.00,0.98,1509,29,1528,2,6,66,0.9552238805970149,0.9884169884169884,0.9715370018975333
4,1,451,1.00,0.97,1493,50,1536,3,5,53,0.9814814814814815,0.9875776397515528,0.9845201238390092
4,2,285,1.00,0.97,1443,46,1485,0,5,51,0.9695121951219512,0.9875776397515528,0.9784615384615385
5,1,472,1.00,0.98,1563,26,1580,4,6,66,0.9716312056737588,0.9927536231884058,0.9820788530465949
5,2,399,1.00,0.98,1520,30,1548,0,6,64,0.965034965034965,0.9963898916967509,0.9804618117229129
