tid,tconst,averageRating,numVotes
1,tt0374594,4.4,10
5,tt12533088,5.4,138
7,tt12535755,6.3,150
8,tt5132414,6.9,13
10,tt12534669,7.0,5
12,tt12541355,6.1,124
13,tt0040146,5.6,14
14,tt2578260,6.6,5
15,tt12534907,7.3,18812
19,tt12542391,8.0,16
20,tt0108622,6.7,355
21,tt12532849,8.3,5
22,tt12540390,6.6,60
25,tt12533523,8.5,10
27,tt0927634,6.4,8
31,tt12541831,4.4,9
33,tt12533929,7.3,11
34,tt12532783,6.5,39
36,tt9035628,5.1,60
37,tt12531849,6.8,2
38,tt12533952,7.8,258
39,tt12539741,5.1,29
40,tt0039847,6.7,377
42,tt12534268,6.8,42
43,tt12533076,9.3,6
46,tt12545610,7.1,17
47,tt12534667,7.6,7
48,tt12540917,5.8,432
49,tt8181336,6.4,19
51,tt12541653,6.5,24
54,tt12540418,7.2,842
55,tt12538716,5.9,39
57,tt12532968,7.0,39
58,tt12541427,8.3,12
61,tt0311234,6.8,11
63,tt12538434,8.6,21
64,tt12541634,5.3,15
65,tt12538062,7.4,52
66,tt12536025,6.3,149
68,tt12543926,5.1,247
69,tt12543819,6.5,38
75,tt12539123,4.0,-1
76,tt12544195,4.6,30
78,tt12532254,7.4,61
79,tt12541733,5.2,64
80,tt0015156,5.2,5
83,tt12531395,5.8,28
85,tt4708408,2.2,8
88,tt12542257,9.1,15
89,tt6620638,6.5,8
90,tt12535633,4.5,11
91,tt12545654,5.5,48
92,tt12539677,4.3,15
94,tt12542350,6.7,20
95,tt0035697,7.4,8
97,tt12531800,5.0,755
98,tt12543138,6.5,5
99,tt12539478,8.2,11
100,tt12531600,4.9,10
101,tt1337354,7.2,847
103,tt12533288,6.6,247
105,tt12531413,6.7,1811
106,tt12532204,2.6,24
108,tt12535644,4.9,8
109,tt12534926,6.4,126
110,tt12544497,7.2,8
111,tt3399368,5.0,290
113,tt12540297,6.1,10
114,tt12541775,6.1,18
115,tt12535190,7.8,8
118,tt0234528,8.6,9
119,tt12545974,6.4,143
121,tt12534531,4.7,68
125,tt12543702,7.4,165
126,tt12533194,7.3,7
128,tt12536078,5.3,14
129,tt12542733,7.5,66
130,tt12539070,6.0,8
131,tt12538966,5.0,285
132,tt12532136,7.1,76
134,tt12533392,4.6,7
135,tt0494712,2.3,805
136,tt12535808,6.2,28
137,tt12539959,5.8,304
138,tt12536340,7.0,184
139,tt7388830,7.7,16
140,tt12543980,5.1,17
141,tt12534020,1.5,11
142,tt12541380,4.4,1189
143,tt12540779,5.9,6
144,tt12539473,5.4,10
146,tt12533448,4.5,386
147,tt12543668,6.3,2400
148,tt12531194,7.5,17
149,tt12531668,10.0,15
150,tt1124107,7.3,21
151,tt2308048,6.6,13
152,tt12534147,6.4,7
156,tt12541379,4.4,1186
158,tt12545148,9.0,7602
162,tt1674052,6.6,5
165,tt12533850,6.9,10
167,tt12540137,5.6,1057
168,tt7349906,4.6,8
169,tt12532474,7.0,7
171,tt12541929,6.9,0
172,tt12531231,5.0,7
173,tt8667604,8.3,12
174,tt12544455,4.2,1
175,tt12540048,7.6,9
176,tt12536968,9.1,2113
177,tt12539622,6.0,-4
178,tt0378450,8.0,23
179,tt12536033,7.1,9
180,tt12539386,6.2,6
184,tt12541915,4.4,299
186,tt12539885,7.0,6
188,tt12536369,8.0,79
189,tt3073216,6.4,5
190,tt12532745,6.6,7
191,tt12535271,8.2,15
192,tt12537971,5.9,5
195,tt12536221,7.0,13
197,tt12533903,7.1,54
198,tt12532677,8.1,91
199,tt10410130,9.1,8
200,tt12532294,6.3,404
201,tt12538572,6.9,30
202,tt12545683,5.4,188
203,tt1879071,5.5,10
208,tt1024156,9.0,111
209,tt0350750,3.8,13
210,tt12537038,4.0,2173
211,tt12543923,5.6,15
213,tt12536970,9.3,2105
214,tt12536429,7.6,83
216,tt12536445,7.0,256
217,tt12537273,6.7,149
220,tt12542760,7.5,167
223,tt12544082,6.8,7
224,tt12540343,7.5,56
227,tt12544403,5.9,5
229,tt12537583,6.6,59
230,tt12545128,5.8,96
231,tt12532919,7.7,176
232,tt12531870,6.3,0
235,tt12536034,7.2,9
236,tt12537252,6.5,6
237,tt12545129,5.3,95
238,tt12536238,7.9,17
239,tt2302511,6.8,20
240,tt12542126,5.5,15
242,tt12538563,5.0,9
243,tt12542065,7.2,17
245,tt12541919,7.1,28
246,tt12532013,6.4,7
247,tt6876646,8.5,8
248,tt12543632,5.9,8
249,tt12543415,5.0,6
252,tt12534589,7.1,7
