tid,tconst,averageRating,numVotes
1,tt0374594,4.4,10
2,tt12532752,9.5,16
3,tt12543237,6.0,10
5,tt12533088,5.4,138
7,tt12535755,6.3,150
10,tt12534669,7.0,5
12,tt12541355,6.1,124
13,tt0040146,5.6,14
14,tt2578260,6.6,5
15,tt12534907,7.3,18812
16,tt12543213,4.9,5
18,tt12540399,6.0,6
19,tt12542391,8.0,16
20,tt0108622,6.7,355
22,tt12540390,6.6,60
23,tt12531237,7.7,7
24,tt12531412,6.5,1811
26,tt1456970,5.3,13
27,tt0927634,6.4,8
28,tt12535746,7.6,-1
30,tt12540401,7.0,59
31,tt12541831,4.4,9
32,tt12539977,6.4,23
34,tt12532783,6.5,39
35,tt12545357,1.1,122
36,tt9035628,5.1,60
37,tt12531849,6.8,2
38,tt12533952,7.8,258
39,tt12539741,5.1,29
40,tt0039847,6.7,377
41,tt12538930,7.2,32
42,tt12534268,6.8,42
43,tt12533076,9.3,6
44,tt12535785,9.1,28006
45,tt2061640,8.9,8
46,tt12545610,7.1,17
47,tt12534667,7.6,7
48,tt12540917,5.8,432
49,tt8181336,6.4,19
50,tt12535723,5.8,121
51,tt12541653,6.5,24
54,tt12540418,7.2,842
55,tt12538716,5.9,39
57,tt12532968,7.0,39
58,tt12541427,8.3,12
59,tt12542918,7.0,14
60,tt12538296,5.2,6
61,tt0311234,6.8,11
62,tt12537280,7.8,25
63,tt12538434,8.6,21
64,tt12541634,5.3,15
65,tt12538062,7.4,52
66,tt12536025,6.3,149
67,tt12543825,4.8,24
69,tt12543819,6.5,38
72,tt12545396,5.7,16
74,tt12544709,8.3,19
75,tt12539123,4.0,-1
76,tt12544195,4.6,30
77,tt12544362,7.8,89
78,tt12532254,7.4,61
79,tt12541733,5.2,64
81,tt2083932,5.9,15
82,tt6548410,4.0,10
85,tt4708408,2.2,8
86,tt0499179,8.6,16
87,tt12535533,7.3,754
88,tt12542257,9.1,15
89,tt6620638,6.5,8
90,tt12535633,4.5,11
92,tt12539677,4.3,15
93,tt12532992,5.3,17
94,tt12542350,6.7,20
96,tt12542144,5.7,1172
97,tt12531800,5.0,755
98,tt12543138,6.5,5
100,tt12531600,4.9,10
101,tt1337354,7.2,847
102,tt12538281,2.5,803
103,tt12533288,6.6,247
104,tt12542862,7.3,15
105,tt12531413,6.7,1811
106,tt12532204,2.6,24
107,tt0471839,5.2,31
108,tt12535644,4.9,8
109,tt12534926,6.4,126
110,tt12544497,7.2,8
113,tt12540297,6.1,10
114,tt12541775,6.1,18
115,tt12535190,7.8,8
116,tt12536172,7.0,5
117,tt0074004,8.4,690
118,tt0234528,8.6,9
119,tt12545974,6.4,143
120,tt12531195,7.9,11
121,tt12534531,4.7,68
123,tt1459073,7.4,11
124,tt12545778,7.4,55
125,tt12543702,7.4,165
126,tt12533194,7.3,7
127,tt12541504,4.9,243
128,tt12536078,5.3,14
130,tt12539070,6.0,8
131,tt12538966,5.0,285
132,tt12532136,7.1,76
133,tt12533597,7.2,673
136,tt12535808,6.2,28
137,tt12539959,5.8,304
139,tt7388830,7.7,16
140,tt12543980,5.1,17
142,tt12541380,4.4,1189
143,tt12540779,5.9,6
144,tt12539473,5.4,10
145,tt12545636,7.2,439
146,tt12533448,4.5,386
147,tt12543668,6.3,2400
148,tt12531194,7.5,17
150,tt1124107,7.3,21
151,tt2308048,6.6,13
152,tt12534147,6.4,7
154,tt12535270,8.0,12
155,tt12545048,6.3,1034
157,tt12534827,7.4,6
159,tt0828149,8.6,12
160,tt12531236,7.1,11
161,tt12536038,6.0,-4
162,tt1674052,6.6,5
163,tt12545536,5.1,22995
164,tt5421602,8.7,28009
165,tt12533850,6.9,10
166,tt12537406,8.2,16
167,tt12540137,5.6,1057
168,tt7349906,4.6,8
169,tt12532474,7.0,7
170,tt12544580,7.2,-4
171,tt12541929,6.9,0
172,tt12531231,5.0,7
173,tt8667604,8.3,12
175,tt12540048,7.6,9
177,tt12539622,6.0,-4
179,tt12536033,7.1,9
180,tt12539386,6.2,6
182,tt12542856,8.0,22
183,tt12534312,7.9,18
184,tt12541915,4.4,299
185,tt0250200,6.2,6
188,tt12536369,8.0,79
189,tt3073216,6.4,5
191,tt12535271,8.2,15
192,tt12537971,5.9,5
196,tt0350037,6.3,149
197,tt12533903,7.1,54
198,tt12532677,8.1,91
199,tt10410130,9.1,8
201,tt12538572,6.9,30
202,tt12545683,5.4,188
204,tt12545482,7.8,53
205,tt12544326,4.6,52
206,tt12534789,6.0,22
207,tt12536731,6.2,-1
209,tt0350750,3.8,13
210,tt12537038,4.0,2173
212,tt12535451,8.7,6
213,tt12536970,9.3,2105
214,tt12536429,7.6,83
215,tt12535069,5.7,21
216,tt12536445,7.0,256
217,tt12537273,6.7,149
219,tt12543760,4.6,12
220,tt12542760,7.5,167
222,tt12534923,6.7,348
224,tt12540343,7.5,56
225,tt12533514,8.4,9
226,tt12532053,7.4,7
227,tt12544403,5.9,5
228,tt3526322,7.2,5
229,tt12537583,6.6,59
230,tt12545128,5.8,96
231,tt12532919,7.7,176
232,tt12531870,6.3,0
233,tt12535438,5.4,55
235,tt12536034,7.2,9
236,tt12537252,6.5,6
237,tt12545129,5.3,95
238,tt12536238,7.9,17
240,tt12542126,5.5,15
241,tt2513610,8.0,5
242,tt12538563,5.0,9
243,tt12542065,7.2,17
245,tt12541919,7.1,28
246,tt12532013,6.4,7
247,tt6876646,8.5,8
249,tt12543415,5.0,6
250,tt12542735,7.0,66
252,tt12534589,7.1,7
253,tt12541832,4.0,11
254,tt12545611,7.1,7
255,tt12532704,1.7,26
257,tt12541697,8.8,18
258,tt0457121,7.4,43
259,tt0835031,7.0,8
260,tt12535614,6.8,13
261,tt0189439,6.9,29
263,tt12541068,6.0,231
265,tt2141569,7.4,15
266,tt12531325,7.3,29
267,tt0493322,3.6,552
269,tt12539069,5.9,14
270,tt12544050,6.4,92
271,tt12543140,5.4,-5
272,tt0954423,7.8,9
273,tt0030861,6.8,24
274,tt12545091,7.4,44
275,tt12531863,4.6,2149
276,tt12538615,6.5,96
277,tt12538867,7.8,33
278,tt12543861,4.7,28
280,tt12542375,1.9,103
281,tt12535196,5.3,34
282,tt12542127,5.5,21
283,tt12542142,5.6,4
284,tt12543389,7.1,19
285,tt0314490,6.0,5
286,tt1155541,6.6,9
287,tt12544049,6.5,84
289,tt12537970,6.2,6
290,tt4995922,6.0,5
291,tt12537760,7.3,88
292,tt12544866,4.7,20
293,tt1096871,6.0,52
294,tt12545898,7.6,15
295,tt12538176,8.0,4
296,tt12534252,5.9,10
298,tt12536597,6.1,5
299,tt12539619,7.7,7
300,tt12541993,6.1,19
301,tt12542555,6.6,29
302,tt12544459,8.0,131
304,tt12539679,4.3,5
306,tt12541213,6.4,-4
309,tt12532389,7.1,17
310,tt12537301,6.4,36
311,tt1672376,6.4,5
312,tt1754315,8.8,11
313,tt12532006,6.3,25
314,tt12539242,7.0,6
315,tt12536433,8.5,13
317,tt12534012,8.3,12
318,tt12536696,7.0,18
320,tt12541065,5.7,10
321,tt12540368,6.7,217
322,tt0448136,4.0,27
323,tt12535434,7.2,24
324,tt12537920,4.8,-3
325,tt12536682,6.7,31
327,tt12540460,5.8,145
328,tt7897052,8.2,11
330,tt0210959,7.4,7
332,tt12532813,5.3,6
333,tt12532520,7.0,218
334,tt12540918,5.6,426
335,tt12535716,7.2,9
336,tt0036374,7.8,44
337,tt12536713,8.5,8
338,tt12540974,6.8,11
339,tt0255901,7.6,7
340,tt12531232,4.7,5
341,tt12539456,7.1,30
343,tt12544532,4.0,2
346,tt12532388,7.0,14
347,tt12532954,6.5,88
348,tt12537456,7.9,504
350,tt9652752,7.6,13
351,tt12544011,5.6,5
352,tt12543390,7.1,13
353,tt7773250,4.0,5
354,tt12543216,8.7,7
356,tt2770480,6.9,11052
358,tt12536026,5.8,149
