tid,species,generation,evolves_from_species,evolution_chain,color,shape,habitat,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate,forms_switchable,is_legendary,is_mythical,conquest_order
239588,id-71,1,id-70,29,5,5,2,4,45,70,0,20,0,4,0,0,0,
239593,id-76,1,id-75,31,3,12,4,4,45,70,0,15,0,4,0,0,0,
239596,id-79,1,,33,6,8,9,4,190,50,0,20,0,2,0,0,0,
239598,id-817,8,id-816,432,2,,,1,45,50,0,20,0,4,0,0,0,
239600,id-64,1,id-63,27,3,6,8,2,100,50,0,20,1,4,0,0,0,128
239630,id-611,5,id-610,309,5,6,,4,60,35,0,40,0,1,0,0,0,145
239632,id-828,8,id-827,436,3,,,4,127,50,0,15,0,3,0,0,0,
239635,id-589,5,id-588,299,4,4,,4,75,50,0,15,0,2,0,0,0,
239643,id-770,7,id-769,397,3,2,,4,60,50,0,15,0,2,0,0,0,
239644,id-879,8,id-878,460,5,,,4,90,50,0,25,0,2,0,0,0,
239652,id-875,8,,457,2,,,4,60,50,0,25,0,1,0,0,0,
239655,id-509,5,,261,7,8,,4,255,50,0,20,0,2,0,0,0,
239683,id-485,4,,246,3,8,,4,3,100,0,10,0,1,0,1,0,
239684,id-552,5,id-551,281,3,8,,4,90,50,0,20,0,4,0,0,0,67
239687,id-475,4,id-281,140,9,12,,0,45,35,0,20,0,1,1,0,0,12
239700,id-373,3,id-372,191,2,8,6,4,45,35,0,40,0,1,1,0,0,
239707,id-572,5,,292,4,8,,6,255,50,0,15,0,3,0,0,0,96
239709,id-570,5,,291,4,8,,1,75,50,0,25,0,4,0,0,0,154
239710,id-571,5,id-570,291,4,6,,1,45,50,0,20,0,4,0,0,0,155
239725,id-251,2,,129,5,12,2,-1,45,100,0,120,0,4,0,0,1,
239728,id-653,6,,338,8,8,,1,45,70,0,20,0,4,0,0,0,
239743,id-719,6,,371,6,4,,-1,3,50,0,25,0,1,1,0,1,
