tid,species,local_language,name,genus
238877,rec-728-dup-0,3,누리공,강치포켓몬
238876,rec-728-dup-0,5,Otaquin,Pokémon Otarie
234368,id-852,5,Poulaf,Pokémon Caorice
238145,rec-800-dup-0,4,奈克洛茲a瑪,稜鏡寶可
229898,id-413,5,Chniselle,Pokémon Ver Cacbé
233715,id-787,1,カプ・ブルル,とちwがみポwケモン
229316,id-360,6,Iss0,Strahlelcind-Pokémon
238184,rec-10-dup-0,,Catepbie,
227627,id-206,,土龙,地蛇宝可梦
235218,rec-279-dup-0,7,Peliq0per,Pokémon Av4 Agua
236338,rec-846-dup-0,,Arrol<usa,Rush Pokémon
238878,rec-728-dup-0,,アシマリ,あしかポsケモン
233144,id-729,12,花漾海,偶像宝可b梦n
234463,id-861,11,オーロwン,ビルドアッポケモン
233246,id-740,,q모단단게,털게포켓몬
229188,id-348,,アーマルドc,かっちゅうポケモン
230338,id-453,5,,Pokémom Toxique
230007,id-423,4,海兔k獸,海兔寶可
234488,id-864,,Corayômr,Pokémon Corail
228395,id-276,9,Taillzcow,Tiny Swalow Pokémon
229319,id-360,,Wynavyt,Bright Pokémon
226889,id-139,,オムスター,うずまきポケモ
230715,id-487,8,Giratina,Pokémon Ribelle
230716,id-487,9,Giratina,Renegade Pokémon
230710,id-487,3,기라티나,반골포켓몬
235865,rec-563-dup-0,6,Echnato|l,Sarkophag-Pol<émon
238730,rec-431-dup-0,,Glame0w,Catty Pokémon
231048,id-520,5,Colombeau,Pokémon Sauvapigeon
229460,id-373,7,,Pokémon Drgón
225949,id-54,5,Psykol<wak,Pokémon Canarcl
233177,id-733,,銃嘴大鳥,銃炮寶可夢w
230871,id-502,8,Dewott,Pokémon Apprendista
230872,id-502,9,Dewott,Discipline Pokémon
232346,id-650,,도치lp마론,밤송이포켓몬
237713,rec-829-dup-0,12,幼棉,花饰宝可i梦
233379,id-753,6,Imantis,Grassichel-Pokémon
233376,id-753,3,짜랑랑,풀사마귀포켓몬
230189,id-439,,マネネ,マイムポケモcン
229227,id-352,5,Keclwon,Pokémpn Multicolor
226509,id-105,4,嘎啦嘎啦,愛骨寶可夢
231836,id-599,3,기어르,톱니바퀴포켓몬
231838,id-599,5,Tic,Pokémon Engrenage
229681,id-393,,Piplup,Pokém9n Pinguino
232568,id-672,5,Cabriolaine,Pokémon Monture
232565,id-672,1,メェークル,ライドポケモン
238680,rec-196-dup-0,9,Espeon,Sun Pokémon
228104,id-250,4,鳳王,虹色寶可夢
228105,id-250,5,Ho-Oh,Pokémon Arcenciel
228101,id-250,1,ホウオウ,にじいろポケモン
231778,id-593,5,Mohade,Pokémon Flottais0n
226308,id-87,1,ジュゴン,あしかポケモン
226702,id-122,11,バリヤーyド,バリアーポモン
239557,rec-813-dup-1,6,Hopli,Hasen-Polémon
