theta,delta,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,val_precision,val_recall,val_f1,test_precision,test_recall,test_f1
0.5,1,1521,1.00,1.00,288,0,234,0,1,11,0.21739130434782608,1.0,0.3571428571428571,0.41509433962264153,1.0,0.5866666666666668
0.5,0.8,1709,1.00,1.00,288,0,234,0,1,11,0.21739130434782608,1.0,0.3571428571428571,0.41509433962264153,1.0,0.5866666666666668
0.5,0.5,1248,1.00,1.00,288,0,234,0,1,11,0.21739130434782608,1.0,0.3571428571428571,0.41509433962264153,1.0,0.5866666666666668
0.5,0.25,1231,1.00,1.00,288,0,234,0,1,11,0.21739130434782608,1.0,0.3571428571428571,0.41509433962264153,1.0,0.5866666666666668
0.5,0.1,1746,1.00,1.00,288,0,234,0,1,11,0.21739130434782608,1.0,0.3571428571428571,0.41509433962264153,1.0,0.5866666666666668
0.5,0.08,2066,1.00,1.00,288,0,234,0,1,11,0.21739130434782608,1.0,0.3571428571428571,0.41509433962264153,1.0,0.5866666666666668
0.5,0.05,2094,1.00,1.00,288,0,234,0,1,11,0.21739130434782608,1.0,0.3571428571428571,0.41509433962264153,1.0,0.5866666666666668
0.5,0.025,1202,1.00,1.00,288,0,234,0,1,11,0.21739130434782608,1.0,0.3571428571428571,0.41509433962264153,1.0,0.5866666666666668
0.8,1,2370,1.00,1.00,288,0,234,0,1,11,0.21739130434782608,1.0,0.3571428571428571,0.41509433962264153,1.0,0.5866666666666668
0.8,0.8,1815,1.00,1.00,288,0,234,0,1,11,0.21739130434782608,1.0,0.3571428571428571,0.41509433962264153,1.0,0.5866666666666668
0.8,0.5,1490,1.00,1.00,288,0,234,0,1,11,0.21739130434782608,1.0,0.3571428571428571,0.41509433962264153,1.0,0.5866666666666668
0.8,0.25,1140,1.00,1.00,288,0,234,0,1,11,0.21739130434782608,1.0,0.3571428571428571,0.41509433962264153,1.0,0.5866666666666668
0.8,0.1,1201,1.00,1.00,288,0,234,0,1,11,0.21739130434782608,1.0,0.3571428571428571,0.41509433962264153,1.0,0.5866666666666668
0.8,0.08,1739,1.00,1.00,288,0,234,0,1,11,0.21739130434782608,1.0,0.3571428571428571,0.41509433962264153,1.0,0.5866666666666668
0.8,0.05,1615,1.00,1.00,288,0,234,0,1,11,0.21739130434782608,1.0,0.3571428571428571,0.41509433962264153,1.0,0.5866666666666668
0.8,0.025,337,,,,,,,,,,,,,,
