1,2
rec-18-dup-0,rec-18-dup-1
rec-866-dup-0,rec-866-dup-1
id-826,rec-826-dup-0
id-568,rec-568-dup-0
id-803,rec-803-dup-0
id-450,rec-450-dup-0
id-892,rec-892-dup-0
rec-556-dup-1,rec-556-dup-0
id-317,rec-317-dup-0
rec-448-dup-0,rec-448-dup-1
id-34,rec-34-dup-0
id-539,rec-539-dup-0
id-127,rec-127-dup-1
id-826,rec-826-dup-1
rec-568-dup-1,rec-568-dup-0
rec-571-dup-1,rec-571-dup-0
rec-397-dup-1,rec-397-dup-0
rec-714-dup-0,rec-714-dup-1
rec-311-dup-1,rec-311-dup-0
rec-239-dup-0,rec-239-dup-1
rec-809-dup-0,rec-809-dup-1
rec-590-dup-1,rec-590-dup-0
rec-252-dup-0,rec-252-dup-1
rec-809-dup-1,rec-809-dup-0
rec-260-dup-1,rec-260-dup-0
rec-37-dup-0,rec-37-dup-1
id-271,rec-271-dup-1
rec-161-dup-1,rec-161-dup-0
id-872,rec-872-dup-0
rec-52-dup-1,rec-52-dup-0
id-801,rec-801-dup-0
id-356,rec-356-dup-1
id-190,rec-190-dup-0
id-768,rec-768-dup-0
id-361,rec-361-dup-0
rec-832-dup-1,rec-832-dup-0
id-427,rec-427-dup-1
id-204,rec-204-dup-0
id-598,rec-598-dup-1
id-579,rec-579-dup-0
id-128,rec-128-dup-0
rec-552-dup-0,rec-552-dup-1
id-382,rec-382-dup-1
rec-520-dup-0,rec-520-dup-1
rec-67-dup-1,rec-67-dup-0
rec-341-dup-0,rec-341-dup-1
id-247,rec-247-dup-0
id-583,rec-583-dup-0
id-473,rec-473-dup-0
rec-738-dup-0,rec-738-dup-1
rec-161-dup-0,rec-161-dup-1
rec-149-dup-1,rec-149-dup-0
id-395,rec-395-dup-1
id-341,rec-341-dup-0
rec-866-dup-1,rec-866-dup-0
id-368,rec-368-dup-0
id-385,rec-385-dup-0
id-481,rec-481-dup-0
rec-832-dup-0,rec-832-dup-1
id-825,rec-825-dup-1
id-481,rec-481-dup-1
id-166,rec-166-dup-1
id-813,rec-813-dup-1
id-647,rec-647-dup-0
id-503,rec-503-dup-1
id-161,rec-161-dup-0
id-857,rec-857-dup-0
