tid,species,generation,evolves_from_species,evolution_chain,color,shape,habitat,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate,forms_switchable,is_legendary,is_mythical,conquest_order
239587,id-70,1,id-69,29,5,5,2,4,120,70,0,20,0,4,0,0,0,
239590,id-73,1,id-72,30,2,10,7,4,60,50,0,20,0,1,0,0,0,
239591,id-74,1,,31,3,4,4,4,255,70,0,15,0,4,0,0,0,
239593,id-76,1,id-75,31,3,12,4,4,45,70,0,15,0,4,0,0,0,
239594,id-77,1,,32,10,8,3,4,190,50,0,20,0,2,0,0,0,
239597,id-748,7,id-747,385,2,10,,4,75,50,0,20,0,2,0,0,0,
239598,id-817,8,id-816,432,2,,,1,45,50,0,20,0,4,0,0,0,
239599,id-112,1,id-111,50,4,6,6,4,60,50,0,20,1,1,0,0,0,161
239601,id-113,1,id-440,51,6,6,8,8,30,140,0,40,0,3,0,0,0,
239602,id-788,7,,412,7,4,,-1,3,50,0,15,0,1,0,1,0,
239603,id-114,1,,52,2,7,3,4,45,50,0,20,0,2,0,0,0,
239605,id-4,1,,2,8,6,4,1,45,50,0,20,0,4,0,0,0,109
239606,id-5,1,id-4,2,8,6,4,1,45,50,0,20,0,4,0,0,0,110
239607,id-6,1,id-5,2,8,6,4,1,45,50,0,20,0,4,1,0,0,111
239609,id-1,1,,1,5,8,3,1,45,50,0,20,0,4,0,0,0,
239610,id-2,1,id-1,1,5,8,3,1,45,50,0,20,0,4,0,0,0,
239611,id-3,1,id-2,1,5,8,3,1,45,50,0,20,1,4,1,0,0,
239614,id-8,1,id-7,3,2,6,9,1,45,50,0,20,0,4,0,0,0,
239616,id-204,2,,102,4,1,2,4,190,70,0,20,0,2,0,0,0,56
239620,id-200,2,,98,4,1,1,4,45,35,0,25,0,3,0,0,0,183
239621,id-201,2,,99,1,1,5,-1,225,70,0,40,0,2,0,0,0,
239622,id-202,2,id-360,100,2,5,1,4,45,50,0,20,1,2,0,0,0,
239624,id-617,5,id-616,312,8,4,,4,75,50,0,15,0,2,0,0,0,
239625,id-616,5,,312,8,1,,4,200,50,0,15,0,2,0,0,0,
239626,id-615,5,,311,2,1,,-1,25,50,0,25,0,2,0,0,0,
239628,id-208,2,id-95,41,4,2,1,4,25,50,0,25,1,2,1,0,0,176
239629,id-209,2,,105,6,12,8,6,190,70,0,20,0,3,0,0,0,
239630,id-611,5,id-610,309,5,6,,4,60,35,0,40,0,1,0,0,0,145
239634,id-811,8,id-810,430,5,,,1,45,50,0,20,0,4,0,0,0,
239635,id-589,5,id-588,299,4,4,,4,75,50,0,15,0,2,0,0,0,
239636,id-588,5,,299,2,12,,4,200,50,0,15,0,2,0,0,0,
239639,id-821,8,,434,2,,,4,255,50,0,15,0,4,0,0,0,
239640,id-240,2,,61,8,6,4,2,45,50,1,25,0,2,0,0,0,
239642,id-168,2,id-167,85,8,14,2,4,90,70,0,15,0,3,0,0,0,
239643,id-770,7,id-769,397,3,2,,4,60,50,0,15,0,2,0,0,0,
239645,id-878,8,,460,10,,,4,190,50,0,25,0,2,0,0,0,
239646,id-873,8,id-872,455,9,,,4,75,50,0,20,0,2,0,0,0,
239647,id-872,8,,455,9,,,4,190,50,0,20,0,2,0,0,0,
239648,id-871,8,,454,7,,,4,75,50,0,20,0,2,0,0,0,
239649,id-870,8,,453,10,,,-1,45,50,0,25,0,2,0,0,0,
239650,id-877,8,,459,10,,,4,180,50,0,10,0,2,0,0,0,
239651,id-876,8,,458,7,,,0,30,140,0,40,0,3,0,0,0,
239652,id-875,8,,457,2,,,4,60,50,0,25,0,1,0,0,0,
239654,id-626,5,,318,3,8,,4,45,50,0,20,0,2,0,0,0,
239655,id-509,5,,261,7,8,,4,255,50,0,20,0,2,0,0,0,
239656,id-508,5,id-507,260,4,8,,4,45,50,0,15,0,4,0,0,0,
239657,id-627,5,,319,9,9,,0,190,50,0,20,0,1,0,0,0,169
239658,id-503,5,id-502,258,2,8,,1,45,70,0,20,0,4,0,0,0,108
239659,id-502,5,id-501,258,2,6,,1,45,70,0,20,0,4,0,0,0,107
239661,id-500,5,id-499,257,8,6,,1,45,70,0,20,0,4,0,0,0,123
239662,id-507,5,id-506,260,4,8,,4,120,50,0,15,0,4,0,0,0,
239664,id-505,5,id-504,259,3,6,,4,255,70,0,20,0,2,0,0,0,
239665,id-504,5,,259,3,8,,4,255,70,0,15,0,2,0,0,0,
239666,id-161,2,,82,3,8,3,4,255,70,0,15,0,2,0,0,0,
239668,id-756,7,id-755,389,7,12,,4,75,50,0,20,0,2,0,0,0,
239670,id-160,2,id-159,81,2,6,9,1,45,70,0,20,0,4,0,0,0,
239671,id-622,5,,316,5,12,,-1,190,50,0,25,0,2,0,0,0,
239672,id-623,5,id-622,316,5,12,,-1,90,50,0,25,0,2,0,0,0,
239674,id-489,4,,250,2,4,,-1,30,70,0,40,0,1,0,0,1,
239676,id-482,4,,243,2,6,,-1,3,140,0,80,0,1,0,1,0,
239677,id-483,4,,244,9,8,,-1,3,0,0,120,0,1,0,1,0,195
239679,id-481,4,,242,6,6,,-1,3,140,0,80,0,1,0,1,0,
239680,id-486,4,,247,9,12,,-1,3,0,0,120,0,1,0,1,0,
239681,id-487,4,,248,1,10,,-1,3,0,0,120,0,1,1,1,0,
239682,id-484,4,,245,7,6,,-1,3,0,0,120,0,1,0,1,0,
239683,id-485,4,,246,3,8,,4,3,100,0,10,0,1,0,1,0,
239684,id-552,5,id-551,281,3,8,,4,90,50,0,20,0,4,0,0,0,67
239685,id-477,4,id-356,182,1,4,,4,45,35,0,25,0,3,0,0,0,71
239689,id-378,3,,194,2,12,1,-1,3,35,0,80,0,1,0,1,0,
239690,id-379,3,,195,4,12,1,-1,3,35,0,80,0,1,0,1,0,193
239691,id-471,4,id-133,67,2,8,,1,45,35,0,35,0,2,0,0,0,8
239692,id-470,4,id-133,67,5,8,,1,45,35,0,35,0,2,0,0,0,7
239693,id-374,3,,192,2,5,6,-1,3,35,0,40,0,1,0,0,0,82
239695,id-376,3,id-375,192,2,11,6,-1,3,35,0,40,0,1,1,0,0,84
239697,id-370,3,,190,6,3,7,6,225,70,0,20,0,3,0,0,0,
239699,id-372,3,id-371,191,9,8,6,4,45,35,0,40,0,1,0,0,0,
239702,id-579,5,id-578,294,5,4,,4,50,50,0,20,0,4,0,0,0,
239705,id-574,5,,293,7,12,,6,200,50,0,20,0,4,0,0,0,63
239706,id-575,5,id-574,293,7,12,,6,100,50,0,20,0,4,0,0,0,64
239707,id-572,5,,292,4,8,,6,255,50,0,15,0,3,0,0,0,96
239708,id-573,5,id-572,292,4,8,,6,60,50,0,15,0,3,0,0,0,97
239709,id-570,5,,291,4,8,,1,75,50,0,25,0,4,0,0,0,154
239712,id-397,4,id-396,206,3,9,,4,120,70,0,15,1,4,0,0,0,27
239713,id-394,4,id-393,205,2,6,,1,45,70,0,20,0,4,0,0,0,134
239715,id-392,4,id-391,204,3,6,,1,45,70,0,20,0,4,0,0,0,117
239717,id-259,3,id-258,132,2,6,9,1,45,50,0,20,0,4,0,0,0,
239718,id-258,3,,132,2,8,9,1,45,50,0,20,0,4,0,0,0,
239719,id-257,3,id-256,131,8,6,3,1,45,50,0,20,1,4,1,0,0,
239720,id-256,3,id-255,131,8,6,3,1,45,50,0,20,1,4,0,0,0,
239722,id-254,3,id-253,130,5,6,2,1,45,50,0,20,0,4,1,0,0,132
239724,id-252,3,,130,5,6,2,1,45,50,0,20,0,4,0,0,0,130
239725,id-251,2,,129,5,12,2,-1,45,100,0,120,0,4,0,0,1,
239726,id-250,2,,128,8,9,5,-1,3,0,0,120,0,1,0,1,0,
239728,id-653,6,,338,8,8,,1,45,70,0,20,0,4,0,0,0,
239729,id-652,6,id-651,337,5,6,,1,45,70,0,20,0,4,0,0,0,
239730,id-651,6,id-650,337,5,6,,1,45,70,0,20,0,4,0,0,0,
239732,id-657,6,id-656,339,2,12,,1,45,70,0,20,0,4,0,0,0,
239733,id-656,6,,339,2,8,,1,45,70,0,20,0,4,0,0,0,
239734,id-655,6,id-654,338,8,6,,1,45,70,0,20,0,4,0,0,0,
239737,id-658,6,id-657,339,2,12,,1,45,70,0,20,0,4,0,0,0,
239738,id-728,7,,376,2,3,,1,45,50,0,15,0,4,0,0,0,
239739,id-754,7,id-753,388,6,12,,4,75,50,0,20,0,2,0,0,0,
239744,id-171,2,id-170,86,2,3,7,4,75,50,0,20,0,1,0,0,0,
239745,id-890,8,,469,7,,,-1,255,0,0,120,0,1,0,1,0,
239747,id-892,8,id-891,470,4,,,1,3,50,0,120,0,1,0,1,0,
239750,id-710,6,,365,3,1,,4,120,50,0,20,0,2,0,0,0,
239752,id-716,6,,368,2,8,,-1,45,0,0,120,0,1,1,1,0,
239753,id-717,6,,369,8,9,,-1,45,0,0,120,0,1,0,1,0,
239754,id-714,6,,367,7,9,,4,190,50,0,20,0,2,0,0,0,
239755,id-715,6,id-714,367,7,9,,4,45,50,0,20,0,2,0,0,0,
239756,id-619,5,,314,10,6,,4,180,50,0,25,0,4,0,0,0,
239761,id-647,5,,334,10,8,,-1,3,35,0,80,0,1,1,0,1,
239762,id-41,1,,17,7,9,1,4,255,50,0,15,1,2,0,0,0,23
239765,id-42,1,id-41,17,7,9,1,4,90,50,0,15,1,2,0,0,0,24
239766,id-45,1,id-44,18,8,12,3,4,45,50,0,20,1,4,0,0,0,
239769,id-46,1,,19,8,14,2,4,190,70,0,20,0,2,0,0,0,
239770,id-613,5,,310,9,6,,4,120,50,0,20,0,2,0,0,0,104
239771,id-612,5,id-611,309,10,6,,4,45,35,0,40,0,1,0,0,0,146
239772,id-154,2,id-153,79,5,8,3,1,45,70,0,20,1,4,0,0,0,
239773,id-155,2,,80,10,12,3,1,45,70,0,20,0,4,0,0,0,
239774,id-156,2,id-155,80,10,8,3,1,45,70,0,20,0,4,0,0,0,
239775,id-157,2,id-156,80,10,8,3,1,45,70,0,20,0,4,0,0,0,
239776,id-150,1,,77,7,6,5,-1,3,0,0,120,0,1,1,1,0,196
239778,id-152,2,,79,5,8,3,1,45,70,0,20,0,4,0,0,0,
239779,id-153,2,id-152,79,5,8,3,1,45,70,0,20,0,4,0,0,0,
239782,id-159,2,id-158,81,2,6,9,1,45,70,0,20,0,4,0,0,0,
239784,id-629,5,,320,3,9,,8,190,35,0,20,0,1,0,0,0,
239788,id-883,8,,464,2,,,-1,45,50,0,35,0,1,0,0,0,
239789,id-880,8,,461,5,,,-1,45,50,0,35,0,1,0,0,0,
239791,id-842,8,id-840,442,5,,,4,45,50,0,20,0,5,0,0,0,
239792,id-843,8,,443,5,,,4,255,50,0,20,0,2,0,0,0,
239793,id-279,3,id-278,139,10,9,7,4,45,50,0,20,0,2,0,0,0,
239796,id-847,8,id-846,445,3,,,4,60,50,0,20,0,1,0,0,0,
239797,id-844,8,id-843,443,5,,,4,120,50,0,20,0,2,0,0,0,
239798,id-845,8,,444,2,,,4,45,50,0,20,0,2,0,0,0,
239799,id-848,8,,446,7,,,4,75,50,1,25,0,4,0,0,0,
239800,id-849,8,id-848,446,7,,,4,45,50,0,25,0,4,0,0,0,
239802,id-532,5,,272,4,12,,2,180,70,0,20,0,4,0,0,0,101
