1,2
rec-18-dup-0,rec-18-dup-1
rec-19-dup-1,rec-19-dup-0
id-51,rec-51-dup-0
id-181,rec-181-dup-0
rec-317-dup-0,rec-317-dup-1
id-45,rec-45-dup-0
id-826,rec-826-dup-0
id-573,rec-573-dup-0
id-279,rec-279-dup-0
id-16,rec-16-dup-0
rec-448-dup-0,rec-448-dup-1
id-34,rec-34-dup-0
id-539,rec-539-dup-0
rec-166-dup-0,rec-166-dup-1
id-847,rec-847-dup-0
rec-207-dup-0,rec-207-dup-1
rec-568-dup-1,rec-568-dup-0
rec-317-dup-1,rec-317-dup-0
rec-311-dup-1,rec-311-dup-0
rec-239-dup-0,rec-239-dup-1
rec-590-dup-1,rec-590-dup-0
id-252,rec-252-dup-0
id-437,rec-437-dup-0
id-549,rec-549-dup-0
id-166,rec-166-dup-0
id-740,rec-740-dup-0
id-829,rec-829-dup-1
rec-836-dup-0,rec-836-dup-1
rec-616-dup-0,rec-616-dup-1
id-33,rec-33-dup-0
rec-3-dup-1,rec-3-dup-0
rec-240-dup-1,rec-240-dup-0
rec-824-dup-1,rec-824-dup-0
rec-207-dup-1,rec-207-dup-0
id-540,rec-540-dup-0
rec-161-dup-1,rec-161-dup-0
id-872,rec-872-dup-0
rec-52-dup-1,rec-52-dup-0
id-192,rec-192-dup-0
id-149,rec-149-dup-0
id-768,rec-768-dup-0
id-208,rec-208-dup-0
id-124,rec-124-dup-1
rec-835-dup-1,rec-835-dup-0
rec-375-dup-0,rec-375-dup-1
id-786,rec-786-dup-1
rec-614-dup-1,rec-614-dup-0
id-382,rec-382-dup-1
id-52,rec-52-dup-0
rec-3-dup-0,rec-3-dup-1
rec-786-dup-0,rec-786-dup-1
rec-520-dup-0,rec-520-dup-1
id-852,rec-852-dup-0
rec-835-dup-0,rec-835-dup-1
rec-331-dup-0,rec-331-dup-1
id-448,rec-448-dup-0
rec-96-dup-0,rec-96-dup-1
rec-72-dup-0,rec-72-dup-1
rec-626-dup-0,rec-626-dup-1
rec-249-dup-1,rec-249-dup-0
rec-161-dup-0,rec-161-dup-1
rec-149-dup-1,rec-149-dup-0
id-134,rec-134-dup-0
id-341,rec-341-dup-0
id-368,rec-368-dup-0
id-481,rec-481-dup-0
id-481,rec-481-dup-1
id-166,rec-166-dup-1
id-161,rec-161-dup-0
id-857,rec-857-dup-0
id-37,rec-37-dup-1
id-311,rec-311-dup-0
rec-382-dup-1,rec-382-dup-0
id-694,rec-694-dup-0
id-93,rec-93-dup-0
rec-142-dup-1,rec-142-dup-0
rec-241-dup-1,rec-241-dup-0
rec-398-dup-1,rec-398-dup-0
rec-19-dup-0,rec-19-dup-1
rec-568-dup-0,rec-568-dup-1
